Dataset,Feature Set,Normalization,Classifier,Nested CV AUC,Mean AUC,Std AUC
HaluEval (Qwen2.5-3B),0D Only,None,lr_l2,0.827 ± 0.017,0.8267200000000001,0.016573566303001903
HaluEval (Qwen2.5-3B),0D Only,None,lr_l1,0.827 ± 0.016,0.8274625,0.015852914755652977
HaluEval (Qwen2.5-3B),0D Only,None,svm,0.828 ± 0.015,0.8281525000000001,0.014913284556059399
HaluEval (Qwen2.5-3B),0D Only,None,rf,0.763 ± 0.021,0.76298,0.021092072118452484
HaluEval (Qwen2.5-3B),0D Only,None,xgb,0.812 ± 0.025,0.8124712500000001,0.02530583989541739
HaluEval (Qwen2.5-3B),0D Only,None,mlp,0.809 ± 0.019,0.8089375000000001,0.018522223982286784
HaluEval (Qwen2.5-3B),1D Only,raw,lr_l2,0.696 ± 0.014,0.69555,0.014074826819538509
HaluEval (Qwen2.5-3B),0D + 1D,raw,lr_l2,0.837 ± 0.013,0.8374675,0.013315146685260366
HaluEval (Qwen2.5-3B),1D Only,raw,lr_l1,0.695 ± 0.014,0.6950575000000001,0.013731779063544534
HaluEval (Qwen2.5-3B),0D + 1D,raw,lr_l1,0.838 ± 0.013,0.838465,0.01283734396205073
HaluEval (Qwen2.5-3B),1D Only,raw,svm,0.695 ± 0.014,0.69466,0.014419882974559792
HaluEval (Qwen2.5-3B),0D + 1D,raw,svm,0.840 ± 0.013,0.8398524999999999,0.012686476313381925
HaluEval (Qwen2.5-3B),1D Only,raw,rf,0.696 ± 0.018,0.6956800000000001,0.017533678485988052
HaluEval (Qwen2.5-3B),0D + 1D,raw,rf,0.756 ± 0.021,0.7559450000000001,0.020657746125848333
HaluEval (Qwen2.5-3B),1D Only,raw,xgb,0.709 ± 0.017,0.7088749999999999,0.01709074950814035
HaluEval (Qwen2.5-3B),0D + 1D,raw,xgb,0.820 ± 0.022,0.8199025000000001,0.022447252615854778
HaluEval (Qwen2.5-3B),1D Only,raw,mlp,0.657 ± 0.018,0.65681625,0.01830875819280214
