Dataset,Feature Set,Dim (d),Full LR AUC,Full XGB AUC,Matched LR AUC,Matched XGB AUC
HaluEval (Qwen2.5-3B),Length Baseline,2,0.587 ± 0.007,-,0.495 ± 0.009,-
HaluEval (Qwen2.5-3B),MSP Baseline,2,0.703 ± 0.020,-,0.706 ± 0.027,-
HaluEval (Qwen2.5-3B),TOHA (MTop-Div),1,0.597 ± 0.007,-,0.513 ± 0.010,-
HaluEval (Qwen2.5-3B),MST Per-Layer Proxy,36,0.745 ± 0.013,-,0.732 ± 0.019,-
HaluEval (Qwen2.5-3B),0D Only,72,0.790 ± 0.014,0.813 ± 0.026,0.780 ± 0.022,0.801 ± 0.017
HaluEval (Qwen2.5-3B),1D Only (Raw),144,0.693 ± 0.018,0.710 ± 0.016,0.665 ± 0.017,0.684 ± 0.015
HaluEval (Qwen2.5-3B),1D Only (Norm),144,0.647 ± 0.014,0.694 ± 0.018,0.613 ± 0.015,0.676 ± 0.021
HaluEval (Qwen2.5-3B),0D + 1D (Norm),216,0.790 ± 0.013,0.821 ± 0.017,0.780 ± 0.020,0.809 ± 0.010
TruthfulQA (Qwen2.5-3B),Length Baseline,2,0.452 ± 0.037,-,0.466 ± 0.030,-
TruthfulQA (Qwen2.5-3B),MSP Baseline,1,0.529 ± 0.040,-,0.527 ± 0.029,-
TruthfulQA (Qwen2.5-3B),TOHA (MTop-Div),1,0.444 ± 0.060,-,0.459 ± 0.049,-
TruthfulQA (Qwen2.5-3B),MST Per-Layer Proxy,36,0.734 ± 0.072,-,0.712 ± 0.039,-
TruthfulQA (Qwen2.5-3B),0D Only,72,0.736 ± 0.069,0.680 ± 0.075,0.711 ± 0.036,0.671 ± 0.063
TruthfulQA (Qwen2.5-3B),1D Only (Raw),144,0.588 ± 0.088,0.641 ± 0.072,0.554 ± 0.038,0.654 ± 0.044
TruthfulQA (Qwen2.5-3B),1D Only (Norm),144,0.548 ± 0.112,0.636 ± 0.078,0.558 ± 0.074,0.630 ± 0.076
TruthfulQA (Qwen2.5-3B),0D + 1D (Norm),216,0.736 ± 0.070,0.722 ± 0.084,0.711 ± 0.036,0.682 ± 0.082
TruthfulQA (SmolLM-1.7B),Length Baseline,2,0.530 ± 0.032,-,0.490 ± 0.024,-
TruthfulQA (SmolLM-1.7B),MSP Baseline,1,0.516 ± 0.037,-,0.514 ± 0.019,-
TruthfulQA (SmolLM-1.7B),TOHA (MTop-Div),1,0.529 ± 0.030,-,0.490 ± 0.017,-
TruthfulQA (SmolLM-1.7B),MST Per-Layer Proxy,24,0.583 ± 0.034,-,0.577 ± 0.027,-
TruthfulQA (SmolLM-1.7B),0D Only,48,0.584 ± 0.035,0.559 ± 0.046,0.576 ± 0.027,0.564 ± 0.042
TruthfulQA (SmolLM-1.7B),1D Only (Raw),96,0.520 ± 0.037,0.555 ± 0.062,0.522 ± 0.033,0.543 ± 0.042
TruthfulQA (SmolLM-1.7B),1D Only (Norm),96,0.531 ± 0.028,0.555 ± 0.044,0.523 ± 0.029,0.542 ± 0.041
TruthfulQA (SmolLM-1.7B),0D + 1D (Norm),144,0.585 ± 0.036,0.567 ± 0.045,0.578 ± 0.027,0.575 ± 0.040
TruthfulQA (Phi-3-3.8B),Length Baseline,2,0.461 ± 0.040,-,0.488 ± 0.034,-
TruthfulQA (Phi-3-3.8B),MSP Baseline,1,0.522 ± 0.051,-,0.520 ± 0.033,-
TruthfulQA (Phi-3-3.8B),TOHA (MTop-Div),1,0.440 ± 0.042,-,0.478 ± 0.033,-
TruthfulQA (Phi-3-3.8B),MST Per-Layer Proxy,32,0.608 ± 0.058,-,0.633 ± 0.030,-
TruthfulQA (Phi-3-3.8B),0D Only,64,0.621 ± 0.051,0.585 ± 0.072,0.639 ± 0.032,0.597 ± 0.021
TruthfulQA (Phi-3-3.8B),1D Only (Raw),128,0.514 ± 0.031,0.502 ± 0.123,0.488 ± 0.017,0.493 ± 0.032
TruthfulQA (Phi-3-3.8B),1D Only (Norm),128,0.509 ± 0.060,0.485 ± 0.097,0.489 ± 0.023,0.434 ± 0.072
TruthfulQA (Phi-3-3.8B),0D + 1D (Norm),192,0.620 ± 0.052,0.601 ± 0.092,0.640 ± 0.031,0.576 ± 0.070
