setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen3b_apex,LEN,2.0,0.5287712606499883,0.00034801512350106714,0.5673194614443084,1634,817,0.5
truthfulqa_qwen3b_apex,0D,72.0,0.7365964083303246,0.0016076329327600928,0.7821297429620563,1634,817,0.5
truthfulqa_qwen3b_apex,SINK,72.0,0.7368421052631579,0.0030069774429337184,0.769889840881273,1634,817,0.5
truthfulqa_qwen3b_apex,1D,144.0,0.6171232784360491,0.0017668368587799104,0.6364749082007344,1634,817,0.5
truthfulqa_qwen3b_apex,DEFL,216.0,0.7147863110852763,0.0031096576931464288,0.758873929008568,1634,817,0.5
truthfulqa_qwen3b_apex,ANS,216.0,0.7492453059151537,0.0020471591950780386,0.7576499388004896,1634,817,0.5
truthfulqa_qwen3b_apex,ROWSTAT,72.0,0.7538835845983979,0.0003295957164032665,0.8188494492044064,1634,817,0.5
truthfulqa_qwen3b_apex,LOGPROB,6.0,0.6308972881950115,0.0010212167347534173,0.6817625458996328,1634,817,0.5
truthfulqa_qwen3b_apex,HIDDEN,2048.0,0.9132869605341811,0.0008540433157185817,0.9192166462668299,1634,817,0.5
truthfulqa_qwen3b_apex,LEX,,0.8202756899364634,0.0008218953608146562,0.8280293757649939,1634,817,0.5
truthfulqa_qwen3b_apex,LEGACY_MSTPROXY,36.0,0.7165676138483181,0.0006879605179462217,0.7943696450428397,1634,817,0.5
truthfulqa_qwen3b_apex,APEXDEFL,216.0,0.7091427723902566,0.0019202862621349281,0.7417380660954712,1634,817,0.5
truthfulqa_qwen3b_apex,LLMCHECK,36.0,0.69237545487641,0.0012470303684557166,0.769889840881273,1634,817,0.5
truthfulqa_qwen3b_apex,LOOKBACK,576.0,0.8979593671206567,0.0016025672495216222,0.9118727050183598,1634,817,0.5
truthfulqa_qwen3b_apex,PH_0D,1152.0,0.8523780916239818,0.0017086134720925748,0.8604651162790697,1634,817,0.5
truthfulqa_qwen3b_apex,PH_0DTOT,576.0,0.8420723038132464,0.0008328791131894434,0.8763769889840881,1634,817,0.5
truthfulqa_qwen3b_apex,PH_SINK,576.0,0.8483480626647031,0.0016828679499913794,0.8702570379436965,1634,817,0.5
truthfulqa_qwen3b_apex,PH_ENT,576.0,0.856908503361104,0.000990300274759506,0.8996328029375765,1634,817,0.5
truthfulqa_qwen3b_apex,0D+SINK,144.0,0.7438369770887611,0.001746781164724603,0.7833537331701347,1634,817,0.5
truthfulqa_qwen3b_apex,0D+1D,216.0,0.7503059975520195,0.0006311285372510295,0.7858017135862914,1634,817,0.5
truthfulqa_qwen3b_apex,SINK+DEFL,288.0,0.7647077330113305,0.0001425074326329235,0.7858017135862914,1634,817,0.5
truthfulqa_qwen3b_apex,SINK+ANS,288.0,0.7853297956970078,0.0007143624986324254,0.7858017135862914,1634,817,0.5
truthfulqa_qwen3b_apex,SINK+1D,216.0,0.7461111718694989,0.0009963603338978607,0.7723378212974297,1634,817,0.5
truthfulqa_qwen3b_apex,SINK+APEXDEFL,288.0,0.7625054495280073,0.0005100938161861275,0.7821297429620563,1634,817,0.5
truthfulqa_qwen3b_apex,NONTOPO+APEXDEFL,2954.0,0.9275508660067806,0.0006972073267584461,0.9314565483476133,1634,817,0.5
truthfulqa_qwen3b_apex,PH_SINK+PH_0DTOT,1152.0,0.8579497190215869,0.004393410175117704,0.9020807833537332,1634,817,0.5
truthfulqa_qwen3b_apex,NONTOPO,2738.0,0.9268662105293121,0.000536147287437921,0.9375764993880049,1634,817,0.5
truthfulqa_qwen3b_apex,NONTOPO+0D,2810.0,0.926821265968428,0.0003974149281352199,0.9339045287637698,1634,817,0.5
truthfulqa_qwen3b_apex,NONTOPO+DEFL,2954.0,0.9275898179595469,0.0005491557728662135,0.9326805385556916,1634,817,0.5
truthfulqa_qwen3b_apex,LOGPROB+0D,78.0,0.7750509746228028,0.002724120045331963,0.8127294981640147,1634,817,0.5
truthfulqa_qwen3b_apex,HIDDEN+0D,2120.0,0.9132599937976505,0.0008370781370008017,0.9155446756425949,1634,817,0.5
truthfulqa_qwen3b_apex,LEX+0D,,0.8411599292272981,0.0013357955659942487,0.8531211750305998,1634,817,0.5
truthfulqa_qwen3b_apex,LEX+SINK,,0.8421636910870441,0.0019974490197363576,0.8567931456548348,1634,817,0.5
truthfulqa_qwen3b_apex,LEX+DEFL,,0.8250847579510674,0.0007006387912675613,0.8433292533659731,1634,817,0.5
