setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_qwen7b_apex,0,0.0,0.0,0.4012827202677727,0.3569341450929642,0.0,0.027613790083101258,0.0,0.14867683698558065,0.999817625053568,0.9976026633760672,0.8972416853889323,0.9988893057459421
truthfulqa_qwen7b_apex,1,0.037037037037037035,0.0,0.33023344725370407,0.2512032389640808,0.0,0.036584967126707814,0.0,0.16019498653249287,0.999854305299454,0.9973206952884914,0.9637342257408393,0.9988893057459421
truthfulqa_qwen7b_apex,2,0.07407407407407407,0.0,0.5069532804191113,0.298941470682621,0.0,0.0200381494212271,0.0,0.1575948917364866,0.999268946599225,0.9966612532609832,0.8340985640503108,0.9988893057459421
truthfulqa_qwen7b_apex,3,0.1111111111111111,0.0,0.4029344990849495,0.3727380782365799,0.0,0.0333341267414554,0.0,0.17530065157754926,0.9995537722182728,0.997546353376371,0.9070805017968582,0.9988893057459421
truthfulqa_qwen7b_apex,4,0.14814814814814814,0.0,0.8956890191184357,0.4152672700583935,0.0,0.014081660627591145,1.0,0.7382219733427964,0.9825525591802754,0.9756522157219529,0.36045824600250953,0.9988893057459421
truthfulqa_qwen7b_apex,5,0.18518518518518517,0.0,0.9211793275317177,0.09603720530867577,0.0,0.005721404553462245,0.0,0.7392897277997033,0.980800122941471,0.9734176587864735,0.37754725818168555,0.9988893057459421
truthfulqa_qwen7b_apex,6,0.2222222222222222,0.0,0.7919865389121696,0.1049966812133789,0.0,0.0149076686732638,1.0,0.6307341579366788,0.9913162172948948,0.9866616898477701,0.7495762505424758,0.9988893057459421
truthfulqa_qwen7b_apex,7,0.25925925925925924,0.0,0.786247985670343,0.16225051507353783,0.0,0.0041220335579972255,0.0,0.5918114946941143,0.9848978111578639,0.981881661395763,0.5153076480068576,0.9988893057459421
truthfulqa_qwen7b_apex,8,0.2962962962962963,0.0,0.845437609415967,0.08925881236791611,0.0,0.004396064860771359,0.0,0.632352143828921,0.9849819097963306,0.9792979938895591,0.4930058679835959,0.9988893057459421
truthfulqa_qwen7b_apex,9,0.3333333333333333,0.0,0.7941005879547447,0.0506744347512722,0.0,0.0038310638776246925,0.0,0.5602247792013553,0.9873670232828398,0.9825214745653058,0.41553327652593597,0.9988893057459421
truthfulqa_qwen7b_apex,10,0.37037037037037035,0.0,0.7984056072309613,0.09574136883020401,0.0,0.0053631055657473135,1.0,0.5956413254365565,0.9822689038643336,0.9717375952638867,0.5902647321583383,0.9988893057459421
truthfulqa_qwen7b_apex,11,0.4074074074074074,0.0,0.8207845424476545,0.11181770171970129,0.0,0.004655800531228525,0.901468788249694,0.5884210401830479,0.9778694359220984,0.9702982272836705,0.3764967653210004,0.9988893057459421
truthfulqa_qwen7b_apex,12,0.4444444444444444,0.0,0.8244892656803131,0.06792334350757301,0.0,0.0022629505705111983,0.9987760097919217,0.5968681329950195,0.981458294686816,0.9770180110237854,0.6509547212329415,0.9988893057459421
truthfulqa_qwen7b_apex,13,0.48148148148148145,0.0,0.7716951796319336,0.10927649680525064,0.0,0.004796759002542538,0.9186046511627907,0.52739045412542,0.9815530022878671,0.9742494882998627,0.62041990599473,0.9988893057459421
truthfulqa_qwen7b_apex,14,0.5185185185185185,0.0,0.8360253368373378,0.06855901761446148,0.0,0.0009475799293955501,0.0,0.6184618193296965,0.9701829224494994,0.9592399907665574,0.3683117085802932,0.9988893057459421
truthfulqa_qwen7b_apex,15,0.5555555555555556,0.0,0.7829490463482216,0.08589938376098871,0.0,0.005560040747628207,0.0,0.5744971214849781,0.988439976356774,0.9846020921962233,0.6833582737002244,0.9988893057459421
truthfulqa_qwen7b_apex,16,0.5925925925925926,0.0,0.8723546149558388,0.07297636778093874,0.0,0.0015037655934544208,0.0,0.5921281330281949,0.9753781139799872,0.9661243530784687,0.4016830932932327,0.9988893057459421
truthfulqa_qwen7b_apex,17,0.6296296296296297,0.0,0.9010563534684479,0.056845970917493105,0.0,0.0016564142066733348,0.0024479804161566705,0.6443306358911557,0.9778355009865841,0.9657326200999262,0.546648728810765,0.9988893057459421
truthfulqa_qwen7b_apex,18,0.6666666666666666,0.0,0.749748898204416,0.05167136853560805,0.0,0.0041926702905418466,1.0,0.5130489879038324,0.9858876332847041,0.9826994457410746,0.5211236276457536,0.9988893057459421
