setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
halueval_qwen3b,LEN,2.0,0.962309,8.877061575893305e-05,0.97,2000,1000,0.5
halueval_qwen3b,0D,72.0,0.816328,0.0008516753424215578,0.929,2000,1000,0.5
halueval_qwen3b,SINK,72.0,0.827338,0.0007655094164454406,0.93,2000,1000,0.5
halueval_qwen3b,1D,144.0,0.708644,0.001049411581157139,0.892,2000,1000,0.5
halueval_qwen3b,DEFL,216.0,0.831571,9.024780699088017e-05,0.958,2000,1000,0.5
halueval_qwen3b,ANS,216.0,0.974079,0.0007597802313827484,0.9735,2000,1000,0.5
halueval_qwen3b,ROWSTAT,72.0,0.829868,0.0002757901778929402,0.975,2000,1000,0.5
halueval_qwen3b,LOGPROB,6.0,0.993446,0.00025480101168471534,0.986,2000,1000,0.5
halueval_qwen3b,HIDDEN,2048.0,0.999309,2.9959231558158575e-05,0.999,2000,1000,0.5
halueval_qwen3b,LEX,,0.981107,0.0003555187133690177,0.977,2000,1000,0.5
halueval_qwen3b,LEGACY_MSTPROXY,36.0,0.732978,9.21821867583804e-05,0.96,2000,1000,0.5
halueval_qwen3b,0D+SINK,144.0,0.857562,0.000897035240234322,0.946,2000,1000,0.5
halueval_qwen3b,0D+1D,216.0,0.829679,0.002305717001040897,0.944,2000,1000,0.5
halueval_qwen3b,SINK+DEFL,288.0,0.882169,0.002641969845904099,0.961,2000,1000,0.5
halueval_qwen3b,SINK+ANS,288.0,0.977947,0.0006581509451992284,0.977,2000,1000,0.5
halueval_qwen3b,SINK+1D,216.0,0.841701,0.00042378165237407054,0.938,2000,1000,0.5
halueval_qwen3b,LOGPROB+0D,78.0,0.993065,0.0002615904347554442,0.99,2000,1000,0.5
halueval_qwen3b,HIDDEN+0D,2120.0,0.99929,7.037044834303874e-05,0.999,2000,1000,0.5
halueval_qwen3b,LEX+0D,,0.978624,6.322973983815687e-05,0.983,2000,1000,0.5
halueval_qwen3b,LEX+SINK,,0.980008,0.00024488409957003116,0.983,2000,1000,0.5
halueval_qwen3b,LEX+DEFL,,0.970322,0.0004513242244280207,0.977,2000,1000,0.5
