setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
triviaqa_phi3,LEN,2.0,0.5807471746031746,0.002188549560406285,,2000,2000,0.4375
triviaqa_phi3,0D,64.0,0.7104213333333333,0.0022499623500484736,,2000,2000,0.4375
triviaqa_phi3,SINK,64.0,0.7066453333333333,0.0018321164617389684,,2000,2000,0.4375
triviaqa_phi3,1D,128.0,0.5456548571428571,0.003078738706090532,,2000,2000,0.4375
triviaqa_phi3,DEFL,192.0,0.6983730793650794,0.002125749341337947,,2000,2000,0.4375
triviaqa_phi3,ANS,192.0,0.7095558095238095,0.00373141687267977,,2000,2000,0.4375
triviaqa_phi3,ROWSTAT,64.0,0.7284073650793651,0.0005544919519911175,,2000,2000,0.4375
triviaqa_phi3,LOGPROB,6.0,0.877367873015873,0.00022603117531584004,,2000,2000,0.4375
triviaqa_phi3,HIDDEN,3072.0,0.8670008888888889,0.0034841509247468764,,2000,2000,0.4375
triviaqa_phi3,LEX,,0.634655492063492,0.008265953709451766,,2000,2000,0.4375
triviaqa_phi3,LEGACY_MSTPROXY,32.0,0.6692744126984127,0.0001912505178058873,,2000,2000,0.4375
triviaqa_phi3,LLMCHECK,32.0,0.6761853968253968,0.0017849329910965442,,2000,2000,0.4375
triviaqa_phi3,LOOKBACK,1024.0,0.8399024761904762,0.0015986887894537194,,2000,2000,0.4375
triviaqa_phi3,PH_0D,2048.0,0.8071690158730159,0.002369581728216518,,2000,2000,0.4375
triviaqa_phi3,PH_0DTOT,1024.0,0.8104899047619047,0.0016233312448326596,,2000,2000,0.4375
triviaqa_phi3,PH_SINK,1024.0,0.8260998095238096,0.0010170684465490355,,2000,2000,0.4375
triviaqa_phi3,PH_ENT,1024.0,0.8171814603174603,0.0020919490858929096,,2000,2000,0.4375
triviaqa_phi3,0D+SINK,128.0,0.7126420317460318,0.0023991532718725343,,2000,2000,0.4375
triviaqa_phi3,0D+1D,192.0,0.7050849523809524,0.0011123453369831214,,2000,2000,0.4375
triviaqa_phi3,SINK+DEFL,256.0,0.7356027936507936,0.0016473909459364475,,2000,2000,0.4375
triviaqa_phi3,SINK+ANS,256.0,0.7355205079365079,0.00455878840991903,,2000,2000,0.4375
triviaqa_phi3,SINK+1D,192.0,0.6990039365079365,0.0011897118814453188,,2000,2000,0.4375
triviaqa_phi3,PH_SINK+PH_0DTOT,2048.0,0.8277526349206349,0.0009018599245022644,,2000,2000,0.4375
triviaqa_phi3,NONTOPO,4198.0,0.8833554285714286,0.0029606103893918645,,2000,2000,0.4375
triviaqa_phi3,NONTOPO+0D,4262.0,0.8832264126984127,0.0029930422394808995,,2000,2000,0.4375
triviaqa_phi3,NONTOPO+DEFL,4390.0,0.8853536507936508,0.003006084388009519,,2000,2000,0.4375
triviaqa_phi3,LOGPROB+0D,70.0,0.8776066031746032,0.0013197729706451234,,2000,2000,0.4375
triviaqa_phi3,HIDDEN+0D,3136.0,0.866624,0.0036707875110930893,,2000,2000,0.4375
triviaqa_phi3,LEX+0D,,0.7206979047619048,0.0031386660133450777,,2000,2000,0.4375
triviaqa_phi3,LEX+SINK,,0.7175547936507937,0.004435836430526519,,2000,2000,0.4375
triviaqa_phi3,LEX+DEFL,,0.7119166984126984,0.002198464216690476,,2000,2000,0.4375
