setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
triviaqa_qwen1.5b,LEN,2.0,0.5879382462721212,0.001201457481852607,,2000,2000,0.686
triviaqa_qwen1.5b,0D,56.0,0.715635503518969,0.00036229167039753126,,2000,2000,0.686
triviaqa_qwen1.5b,SINK,56.0,0.7068021020965256,3.725218076174335e-05,,2000,2000,0.686
triviaqa_qwen1.5b,1D,112.0,0.5743219717368294,0.002387304237723939,,2000,2000,0.686
triviaqa_qwen1.5b,DEFL,168.0,0.6553290560992368,0.0015557385904373066,,2000,2000,0.686
triviaqa_qwen1.5b,ANS,168.0,0.6750721899314776,0.003535724317323944,,2000,2000,0.686
triviaqa_qwen1.5b,ROWSTAT,56.0,0.7204984587101446,0.0008455189318889817,,2000,2000,0.686
triviaqa_qwen1.5b,LOGPROB,6.0,0.8225079385712428,0.0006016993095886873,,2000,2000,0.686
triviaqa_qwen1.5b,HIDDEN,1536.0,0.8551860689680786,0.0030567506198190307,,2000,2000,0.686
triviaqa_qwen1.5b,LEX,,0.6092249911793652,0.0033141458433486896,,2000,2000,0.686
triviaqa_qwen1.5b,LEGACY_MSTPROXY,28.0,0.6850708436240739,0.0014196405412986385,,2000,2000,0.686
triviaqa_qwen1.5b,LLMCHECK,28.0,0.6761434328053333,0.0029050127178615664,,2000,2000,0.686
triviaqa_qwen1.5b,LOOKBACK,336.0,0.8240411041577687,0.0016885744297815025,,2000,2000,0.686
triviaqa_qwen1.5b,PH_0D,672.0,0.7682157712948692,0.0013262539287317442,,2000,2000,0.686
triviaqa_qwen1.5b,PH_0DTOT,336.0,0.7593092514530835,0.005088692034878858,,2000,2000,0.686
triviaqa_qwen1.5b,PH_SINK,336.0,0.7671781861061076,0.0034098333644658357,,2000,2000,0.686
triviaqa_qwen1.5b,PH_ENT,336.0,0.7680997103117863,0.002450201075867398,,2000,2000,0.686
triviaqa_qwen1.5b,0D+SINK,112.0,0.7171976843512655,0.0006247064396908062,,2000,2000,0.686
triviaqa_qwen1.5b,0D+1D,168.0,0.7139363707266346,0.0014747410194181703,,2000,2000,0.686
triviaqa_qwen1.5b,SINK+DEFL,224.0,0.7189536870253106,0.002291069740960948,,2000,2000,0.686
triviaqa_qwen1.5b,SINK+ANS,224.0,0.7255006870810199,0.005916160998429308,,2000,2000,0.686
triviaqa_qwen1.5b,SINK+1D,168.0,0.7092057250561735,0.0027762283675225423,,2000,2000,0.686
triviaqa_qwen1.5b,PH_SINK+PH_0DTOT,672.0,0.7715931459025831,0.0021815905188565924,,2000,2000,0.686
triviaqa_qwen1.5b,NONTOPO,1962.0,0.8726021800895062,0.0023359806265647364,,2000,2000,0.686
triviaqa_qwen1.5b,NONTOPO+0D,2018.0,0.8727785927837923,0.0024726777237952225,,2000,2000,0.686
triviaqa_qwen1.5b,NONTOPO+DEFL,2130.0,0.8719545598039034,0.002381922207140509,,2000,2000,0.686
triviaqa_qwen1.5b,LOGPROB+0D,62.0,0.8283214332138679,0.0006736180080254322,,2000,2000,0.686
triviaqa_qwen1.5b,HIDDEN+0D,1592.0,0.8554297970325527,0.003232298355708179,,2000,2000,0.686
triviaqa_qwen1.5b,LEX+0D,,0.7213596312046202,0.003086150702782734,,2000,2000,0.686
triviaqa_qwen1.5b,LEX+SINK,,0.7147337096804145,0.0036220516604984787,,2000,2000,0.686
triviaqa_qwen1.5b,LEX+DEFL,,0.6718967614343281,0.004657452778300294,,2000,2000,0.686
