setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen1.5b,LEN,2.0,0.5287712606499883,0.00034801512350106714,0.5673194614443084,1634,817,0.5
truthfulqa_qwen1.5b,0D,56.0,0.7260658977151684,0.0006937333670505182,0.7674418604651163,1634,817,0.5
truthfulqa_qwen1.5b,SINK,56.0,0.7231325160414629,0.0019013516124468549,0.7711138310893513,1634,817,0.5
truthfulqa_qwen1.5b,1D,112.0,0.5857849342835613,0.0013740305782742619,0.6438188494492044,1634,817,0.5
truthfulqa_qwen1.5b,DEFL,168.0,0.7031172049277217,0.004249613974162579,0.7552019583843329,1634,817,0.5
truthfulqa_qwen1.5b,ANS,168.0,0.6974886477529967,0.004049512972355455,0.7001223990208079,1634,817,0.5
truthfulqa_qwen1.5b,ROWSTAT,56.0,0.7383267739243643,0.0013592135599389574,0.8151774785801713,1634,817,0.5
truthfulqa_qwen1.5b,LOGPROB,6.0,0.6384629559438433,0.0006844571156966161,0.6817625458996328,1634,817,0.5
truthfulqa_qwen1.5b,HIDDEN,1536.0,0.9157409335584556,0.0012094853910518402,0.9228886168910648,1634,817,0.5
truthfulqa_qwen1.5b,LEX,,0.8200734394124847,0.0013699546120010185,0.8292533659730722,1634,817,0.5
truthfulqa_qwen1.5b,LEGACY_MSTPROXY,28.0,0.698372557450385,0.0009851516336365626,0.7858017135862914,1634,817,0.5
truthfulqa_qwen1.5b,LLMCHECK,28.0,0.6659480530765302,0.0005248556827992378,0.7429620563035496,1634,817,0.5
truthfulqa_qwen1.5b,LOOKBACK,336.0,0.8509473564358364,0.001951583382060141,0.8555691554467564,1634,817,0.5
truthfulqa_qwen1.5b,PH_0D,672.0,0.8377471389041617,0.0011696703573008758,0.847001223990208,1634,817,0.5
truthfulqa_qwen1.5b,PH_0DTOT,336.0,0.8194427174080772,0.0010685912346658293,0.8384332925336597,1634,817,0.5
truthfulqa_qwen1.5b,PH_SINK,336.0,0.8303207992940708,0.0007833095682248031,0.8506731946144431,1634,817,0.5
truthfulqa_qwen1.5b,PH_ENT,336.0,0.8334294647552244,0.0024727718206745885,0.8518971848225214,1634,817,0.5
truthfulqa_qwen1.5b,0D+SINK,112.0,0.7354383368115429,0.0011649696714139282,0.7662178702570379,1634,817,0.5
truthfulqa_qwen1.5b,0D+1D,168.0,0.7177796188401606,0.0013280762609611525,0.7674418604651163,1634,817,0.5
truthfulqa_qwen1.5b,SINK+DEFL,224.0,0.756727077150335,0.0027885548555459474,0.8017135862913096,1634,817,0.5
truthfulqa_qwen1.5b,SINK+ANS,224.0,0.7610507439073902,0.0027201746350488183,0.7527539779681762,1634,817,0.5
truthfulqa_qwen1.5b,SINK+1D,168.0,0.715436509066067,0.0016740721087871188,0.7686658506731946,1634,817,0.5
truthfulqa_qwen1.5b,PH_SINK+PH_0DTOT,672.0,0.8408617969734332,0.001260781548075426,0.8665850673194615,1634,817,0.5
truthfulqa_qwen1.5b,NONTOPO,1962.0,0.9166203487997555,0.0012728946740469525,0.9277845777233782,1634,817,0.5
truthfulqa_qwen1.5b,NONTOPO+0D,2018.0,0.9170293443038012,0.0014261254983883853,0.9265605875152999,1634,817,0.5
truthfulqa_qwen1.5b,NONTOPO+DEFL,2130.0,0.9166488136883154,0.0013632976761888296,0.9228886168910648,1634,817,0.5
truthfulqa_qwen1.5b,LOGPROB+0D,62.0,0.7397500183523623,0.0013064990938242687,0.7968176254589964,1634,817,0.5
truthfulqa_qwen1.5b,HIDDEN+0D,1592.0,0.9164360761001304,0.0013856085875836777,0.9241126070991432,1634,817,0.5
truthfulqa_qwen1.5b,LEX+0D,,0.8349351075448435,0.0016775540579364386,0.8408812729498164,1634,817,0.5
truthfulqa_qwen1.5b,LEX+SINK,,0.8333395756334562,0.0007804057205792088,0.8457772337821298,1634,817,0.5
truthfulqa_qwen1.5b,LEX+DEFL,,0.825182137832983,0.0019492798359443523,0.835985312117503,1634,817,0.5
