setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_smollm,LEN,2.0,0.5240011445881505,0.0002676688975773886,0.554467564259486,1634,817,0.5
truthfulqa_smollm,0D,48.0,0.5838073736046586,0.002787544455298692,0.6548347613219094,1634,817,0.5
truthfulqa_smollm,SINK,48.0,0.6106317856923484,0.0020497986671573092,0.631578947368421,1634,817,0.5
truthfulqa_smollm,1D,96.0,0.5448164688856296,0.0006464826421431564,0.5685434516523867,1634,817,0.5
truthfulqa_smollm,DEFL,144.0,0.5920547005269001,0.0024150787953141615,0.6560587515299877,1634,817,0.5
truthfulqa_smollm,ANS,144.0,0.6286560527589219,0.0033935323563306875,0.6340269277845777,1634,817,0.5
truthfulqa_smollm,ROWSTAT,48.0,0.6733144666054421,0.0013153014534875917,0.7417380660954712,1634,817,0.5
truthfulqa_smollm,LOGPROB,6.0,0.5885894748827322,0.0009954393218060099,0.591187270501836,1634,817,0.5
truthfulqa_smollm,HIDDEN,2048.0,0.893846939799757,0.002170825335026256,0.8910648714810282,1634,817,0.5
truthfulqa_smollm,LEX,,0.8200734394124847,0.0013699546120010185,0.8292533659730722,1634,817,0.5
truthfulqa_smollm,LEGACY_MSTPROXY,24.0,0.5845759255957776,0.0011317705419062675,0.6805385556915544,1634,817,0.5
truthfulqa_smollm,LLMCHECK,24.0,0.6035470247449771,0.0005831077657499816,0.6854345165238678,1634,817,0.5
truthfulqa_smollm,LOOKBACK,768.0,0.8631557973240008,0.0016926445502053978,0.8653610771113831,1634,817,0.5
truthfulqa_smollm,PH_0D,1536.0,0.7983022941202027,0.0010830505196594191,0.8200734394124847,1634,817,0.5
truthfulqa_smollm,PH_0DTOT,768.0,0.8189453309342926,0.0017840082601862613,0.8457772337821298,1634,817,0.5
truthfulqa_smollm,PH_SINK,768.0,0.7197541832150043,0.0009012621070840127,0.7760097919216646,1634,817,0.5
truthfulqa_smollm,PH_ENT,768.0,0.834060186759632,0.0006651288859154264,0.8433292533659731,1634,817,0.5
truthfulqa_smollm,0D+SINK,96.0,0.6408225453902611,0.002731372430391986,0.6695226438188494,1634,817,0.5
truthfulqa_smollm,0D+1D,144.0,0.588150516338097,0.001751264891570205,0.6462668298653611,1634,817,0.5
truthfulqa_smollm,SINK+DEFL,192.0,0.6519672983375007,0.0026600926698343054,0.6744186046511628,1634,817,0.5
truthfulqa_smollm,SINK+ANS,192.0,0.6462278779125948,0.0023823944169152453,0.6548347613219094,1634,817,0.5
truthfulqa_smollm,SINK+1D,144.0,0.6321437506835319,0.002843899028835346,0.6450428396572827,1634,817,0.5
truthfulqa_smollm,PH_SINK+PH_0DTOT,1536.0,0.8251431858802167,0.0020711312291044944,0.8555691554467564,1634,817,0.5
truthfulqa_smollm,NONTOPO,2894.0,0.8993301762276232,0.0015143587695240815,0.9033047735618115,1634,817,0.5
truthfulqa_smollm,NONTOPO+0D,2942.0,0.8991998370010592,0.0012290259502651653,0.9020807833537332,1634,817,0.5
truthfulqa_smollm,NONTOPO+DEFL,3038.0,0.8991488998320571,0.0010778079109320436,0.8971848225214198,1634,817,0.5
truthfulqa_smollm,LOGPROB+0D,54.0,0.613857307011801,0.0011146696329704462,0.627906976744186,1634,817,0.5
truthfulqa_smollm,HIDDEN+0D,2096.0,0.8939652938100853,0.0020597123603184092,0.8910648714810282,1634,817,0.5
truthfulqa_smollm,LEX+0D,,0.8269709313561722,0.0008588240628496315,0.8396572827417381,1634,817,0.5
truthfulqa_smollm,LEX+SINK,,0.8187505711704612,0.001500408045950608,0.824969400244798,1634,817,0.5
truthfulqa_smollm,LEX+DEFL,,0.821878712607998,0.0004552032487374496,0.8421052631578947,1634,817,0.5
