setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
triviaqa_phi3,T1_reduction,0D,SINK,0.7104213333333333,0.7066453333333333,-0.0037760000000000016,0.003731033783312209,-0.011088789510526952,0.003575740914681818,-0.00991857473536908,0.002382757502000865,0.3088,2000,0.0473,True,0.6995032365802554,0.0015,True,0.9824738504171904,0.0,True,0.9997972707152496,0.0,True,0.9999995711898801
triviaqa_phi3,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.7104213333333333,0.6692744126984127,-0.04114692063492065,0.009860452699704828,-0.0605198391323253,-0.0218746262188565,-0.057487212516964085,-0.02482265327885701,0.0,2000,0.9992,False,0.0,0.9968,False,0.0,0.9849,False,0.2986144669613571,0.9482,False,0.6268169820397018
triviaqa_phi3,T2_topo_beyond_sink,SINK,0D+SINK,0.7066453333333333,0.7126420317460318,0.0059966984126984535,0.0033931727117097635,-0.0006085114014326763,0.012608865342494406,0.0003790554984826724,0.0115891968879076,0.077,2000,0.1143,False,0.8071658790260536,0.0048,True,0.9944931870165334,0.0,True,0.9999785593927113,0.0,True,0.9999999895268086
triviaqa_phi3,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7066453333333333,0.7356027936507936,0.02895746031746027,0.00985605542456543,0.009461776671479757,0.04839139449348683,0.012968169376844908,0.045287957701016186,0.0028,2000,0.9724,False,0.0,0.9231,False,0.0,0.8185,False,0.29928520070948816,0.6545,False,0.6274237726463738
triviaqa_phi3,T4_1D_beyond_0D,0D,0D+1D,0.7104213333333333,0.7050849523809524,-0.005336380952380981,0.003443498086688385,-0.01206987285398545,0.0013510363423508685,-0.011052215410590871,0.00026572873068562254,0.1206,2000,0.0865,False,0.7920310856899118,0.0027,True,0.993295616424642,0.0001,True,0.9999686173135225,0.0,True,0.9999999803671322
triviaqa_phi3,T4b_1D_beyond_sink,SINK,SINK+1D,0.7066453333333333,0.6990039365079365,-0.0076413968253968845,0.0032062160252372346,-0.0140091446220646,-0.0014274625383335115,-0.012963337706905831,-0.002436590712529576,0.0136,2000,0.2309,False,0.8595420483844312,0.0113,True,0.9975831216948112,0.0001,True,0.9999956314216851,0.0,True,0.9999999992372901
triviaqa_phi3,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7066453333333333,0.7355205079365079,0.02887517460317457,0.010498728624909383,0.008264326924082886,0.04983872500976513,0.011555726001177779,0.046424465578363085,0.0056,2000,0.9646,False,0.0,0.9071,False,0.0,0.8047,False,0.2052433986841855,0.6449,False,0.538504836439152
triviaqa_phi3,PH_reduction,PH_0DTOT,PH_SINK,0.8104899047619047,0.8260998095238096,0.015609904761904825,0.004061971418422784,0.007623768111972573,0.023587560551124674,0.008993165879547132,0.02234404800528811,0.0004,2000,0.9166,False,0.5860745167037082,0.5589,False,0.9594335863694543,0.1399,False,0.9989577412314112,0.011,True,0.9999935109185665
triviaqa_phi3,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8260998095238096,0.8277526349206349,0.0016528253968253193,0.001380333908249262,-0.0011048770281194165,0.004317112865880393,-0.0006461137208150113,0.0039030468995334957,0.2412,2000,0.0,True,0.9999999785363929,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
triviaqa_phi3,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8071690158730159,0.8171814603174603,0.01001244444444438,0.007332999252904536,-0.004431460708822904,0.024441383475233374,-0.0020259802481531193,0.0219906856404186,0.1722,2000,0.5061,False,0.0,0.2486,False,0.31135464949330505,0.0881,False,0.7209888364369186,0.0211,True,0.9223340960024822
