setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
triviaqa_qwen1.5b,T1_reduction,0D,SINK,0.715635503518969,0.7068021020965256,-0.008833401422443377,0.006783404145186535,-0.022175502193491438,0.004702115407048149,-0.01997740603401398,0.002469301584123796,0.1916,2000,0.4308,False,0.0,0.1764,False,0.4288954362779607,0.0498,True,0.8076022100711255,0.0097,True,0.9587105503171949
triviaqa_qwen1.5b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.715635503518969,0.6850708436240739,-0.030564659894895096,0.009327105566231871,-0.04879287793747643,-0.012545988695652337,-0.04587221680544794,-0.015361766092242393,0.0016,2000,0.9878,False,0.0,0.9537,False,0.0,0.8681,False,0.3825265501619197,0.7219,False,0.699567474485157
triviaqa_qwen1.5b,T2_topo_beyond_sink,SINK,0D+SINK,0.7068021020965256,0.7171976843512655,0.01039558225473991,0.0056904680850726995,-0.0006582595205057411,0.021384319224923218,0.0010687650635207492,0.019654981814966003,0.0668,2000,0.5277,False,0.08955007866181486,0.2115,False,0.678379549970302,0.0443,True,0.9384878105365138,0.0052,True,0.9940123707295185
triviaqa_qwen1.5b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7068021020965256,0.7189536870253106,0.012151584928784986,0.009295554973923035,-0.005956011540123593,0.03034563211432559,-0.003321300263394461,0.02727461619882948,0.1996,2000,0.5873,False,0.0,0.3769,False,0.0,0.2019,False,0.3876433498201439,0.083,False,0.7037939091247001
triviaqa_qwen1.5b,T4_1D_beyond_0D,0D,0D+1D,0.715635503518969,0.7139363707266346,-0.0016991327923343569,0.005821905949460908,-0.013170551513763737,0.009585058262523495,-0.011341317875197803,0.007802710898511031,0.7722,2000,0.0787,False,0.05803228648143266,0.0115,True,0.6484681987740997,0.0009,True,0.9266179980835241,0.0,True,0.9919334802541642
triviaqa_qwen1.5b,T4b_1D_beyond_sink,SINK,SINK+1D,0.7068021020965256,0.7092057250561735,0.002403622959647911,0.006493491507122218,-0.010412231474897874,0.01507798028318054,-0.008276881382866053,0.013063853574290275,0.7092,2000,0.1203,False,0.0,0.0255,True,0.4940465329310382,0.0032,True,0.848756633761738,0.0,True,0.9725567984241767
triviaqa_qwen1.5b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7068021020965256,0.7255006870810199,0.018698584984494282,0.010589873750979206,-0.0020041072554346172,0.03941130793293105,0.001373182891300224,0.03615129701330602,0.079,2000,0.792,False,0.0,0.6349,False,0.0,0.4538,False,0.19257014293670882,0.2788,False,0.5259420694029742
triviaqa_qwen1.5b,PH_reduction,PH_0DTOT,PH_SINK,0.7593092514530835,0.7671781861061076,0.007868934653024073,0.006339307275213627,-0.004408998510000125,0.020249580278322625,-0.0025232118628240475,0.0183139639985817,0.2096,2000,0.3679,False,0.0,0.1268,False,0.5292968848505364,0.0271,True,0.8689732169554671,0.0038,True,0.9784834132532221
triviaqa_qwen1.5b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.7671781861061076,0.7715931459025831,0.004414959796475548,0.0020655872862991058,0.0002905468495615349,0.008443107524507533,0.0010093581307213662,0.007751047122778186,0.0346,2000,0.0032,True,0.9986083848836078,0.0,True,0.9999999805702644,0.0,True,0.9999999999999991,0.0,True,1.0
triviaqa_qwen1.5b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.7682157712948692,0.7680997103117863,-0.00011606098308292179,0.010202778603754722,-0.019976323283049883,0.01987313974416249,-0.016728890679428475,0.01671424450366158,0.9994,2000,0.1639,False,0.0,0.0702,False,0.0,0.0249,True,0.24753952092350695,0.0079,True,0.5794452990765611
