setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
triviaqa_qwen3b,T1_reduction,0D,SINK,0.7322080763488297,0.7167649578028631,-0.015443118545966583,0.0065580075252927505,-0.028156798015679753,-0.0024255062261272836,-0.026033949430079584,-0.004454716135294501,0.0198,2000,0.7918,False,0.0,0.5216,False,0.4794036737417411,0.2394,False,0.8399350498710647,0.0689,False,0.9697864776748195
triviaqa_qwen3b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.7322080763488297,0.6912839657019706,-0.04092411064685908,0.009579264516020435,-0.059450099923822865,-0.021955684141903048,-0.056571169154692916,-0.025009557410935322,0.0,2000,0.9994,False,0.0,0.9965,False,0.0,0.9849,False,0.3422265511292135,0.9501,False,0.6654301817743686
triviaqa_qwen3b,T2_topo_beyond_sink,SINK,0D+SINK,0.7167649578028631,0.7376747213208363,0.020909763517973246,0.005333204981332949,0.010537794162030495,0.03128984039441023,0.012033737365243918,0.029595670290732932,0.0002,2000,0.9815,False,0.182057031810551,0.8655,False,0.7570778766221549,0.5615,False,0.964729284173278,0.2187,False,0.9976558015366495
triviaqa_qwen3b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7167649578028631,0.718624353893117,0.001859396090253873,0.008306840135185106,-0.014760523315325125,0.017829030377962355,-0.012127724481483965,0.015234510790720324,0.828,2000,0.1609,False,0.0,0.0537,False,0.12781772054849316,0.0141,True,0.5544177655023199,0.0033,True,0.8276571500784646
triviaqa_qwen3b,T4_1D_beyond_0D,0D,0D+1D,0.7322080763488297,0.7290296040008227,-0.0031784723480069443,0.005427453055728292,-0.01386919393317276,0.007312424432415351,-0.012061975785310047,0.00573315674061686,0.5634,2000,0.1056,False,0.15666639164559526,0.0145,True,0.7368059499873318,0.0015,True,0.9586612327213344,0.0001,True,0.9969371478876294
triviaqa_qwen3b,T4b_1D_beyond_sink,SINK,SINK+1D,0.7167649578028631,0.717550877559228,0.0007859197563648834,0.005799121743834488,-0.010644825927585137,0.0121234845935781,-0.00879745190131868,0.010217063847427033,0.8896,2000,0.0542,False,0.06340119276727707,0.0076,True,0.653676759948544,0.0004,True,0.9287599864587743,0.0,True,0.9923273176562837
triviaqa_qwen3b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7167649578028631,0.752259263466295,0.035494305663431924,0.009795889107533857,0.01627347021798224,0.05403836927376608,0.019358787104106746,0.05140375534232444,0.0006,2000,0.9965,False,0.0,0.9824,False,0.0,0.9416,False,0.30849916315704684,0.8544,False,0.6357186926647183
triviaqa_qwen3b,PH_reduction,PH_0DTOT,PH_SINK,0.8074097497029776,0.819702025892372,0.012292276189394324,0.005009590323180821,0.0025555299521225925,0.022139811749697105,0.0040198148981936185,0.020637550014164268,0.0106,2000,0.6759,False,0.27464989818118646,0.2959,False,0.8227925048306535,0.065,False,0.981099558733957,0.0056,True,0.9991788767626675
triviaqa_qwen3b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.819702025892372,0.8238076379529655,0.004105612060593566,0.0012946042519978679,0.0015977578804111437,0.006664336710314302,0.001973253585948703,0.006233197371202242,0.0006,2000,0.0,True,0.9999999987945312,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
triviaqa_qwen3b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8067885865622049,0.8097777423022332,0.0029891557400283375,0.008579658290150961,-0.013615552462024977,0.01960102069848493,-0.010972384077650565,0.01690270125336686,0.7296,2000,0.2093,False,0.0,0.0785,False,0.08240825654511008,0.0225,True,0.5074391951043729,0.0061,True,0.7955644054482238
