setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_qwen3b,T1_reduction,0D,SINK,0.7543570006397109,0.7401245563597303,-0.014232444279980605,0.006090844834972824,-0.026310733210584795,-0.0022291378584516617,-0.024475384613079864,-0.004140817301858203,0.0184,817,0.7597,False,0.0,0.4541,False,0.5865622506889507,0.1704,False,0.8987373937743883,0.0403,True,0.9860934129248631
truthfulqa_qwen3b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.7543570006397109,0.7136237451104063,-0.040733255529304624,0.0075787553660141265,-0.05551308710705341,-0.02594642009081792,-0.05313960230056218,-0.02839117948011131,0.0,817,1.0,False,0.0,0.9998,False,0.2618944801964338,0.9977,False,0.6798268448526941,0.9818,False,0.9018401875817152
truthfulqa_qwen3b,T2_topo_beyond_sink,SINK,0D+SINK,0.7401245563597303,0.7574596734927467,0.017335117133016387,0.005084074795262302,0.007390833406992501,0.027341611622064135,0.009084644091513067,0.025754956261451464,0.0006,817,0.928,False,0.2526022966202133,0.6763,False,0.808289500034014,0.3049,False,0.9779205782096569,0.0655,False,0.9989338476422172
truthfulqa_qwen3b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7401245563597303,0.7717745161343483,0.03164995977461804,0.007327921462918563,0.01700511169472464,0.04596352898699457,0.019499572277595488,0.04371997141525928,0.0,817,0.9986,False,0.0,0.9873,False,0.31239806165996975,0.9436,False,0.721827259126643,0.8173,False,0.9227307302017542
truthfulqa_qwen3b,T4_1D_beyond_0D,0D,0D+1D,0.7543570006397109,0.7602222658350924,0.005865265195381553,0.0046087977899447125,-0.00316574505347659,0.014941444727928108,-0.001713960829316985,0.013460970892404188,0.1982,817,0.184,False,0.40035396978503224,0.0241,True,0.8925565584362527,0.0015,True,0.9929542226769119,0.0,True,0.9998428907705035
truthfulqa_qwen3b,T4b_1D_beyond_sink,SINK,SINK+1D,0.7401245563597303,0.7469681148303567,0.006843558470626454,0.004548513529190524,-0.0020360260618526166,0.01599453324324446,-0.0005890733779882637,0.014397315910823954,0.1286,817,0.241,False,0.4201931136086894,0.0376,True,0.9016542876871279,0.002,True,0.9940801342195322,0.0,True,0.9998825782910303
truthfulqa_qwen3b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7401245563597303,0.7842001890667861,0.044075632707055834,0.008881846821610797,0.026539650840687965,0.06151738081076991,0.029204301494107073,0.0585528001210507,0.0,817,1.0,False,0.0,0.9995,False,0.03508310176795959,0.9965,False,0.4561028375770504,0.983,False,0.7579492448152454
truthfulqa_qwen3b,PH_reduction,PH_0DTOT,PH_SINK,0.843519518673716,0.8501458451000691,0.00662632642635308,0.004399122742535247,-0.0022278269754258005,0.01507496752755479,-0.0007776907184987912,0.013821950623905455,0.136,817,0.2202,False,0.4702101638704328,0.0257,True,0.9224223025135789,0.0007,True,0.9962862794094198,0.0,True,0.9999461135668224
truthfulqa_qwen3b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8501458451000691,0.8600441355587882,0.00989829045871915,0.002179066861910802,0.005761817797746519,0.014216264238062288,0.00642827072805689,0.013537376645907278,0.0,817,0.4831,False,0.9967627907848002,0.0115,True,0.9999998383994273,0.0,True,0.9999999999999505,0.0,True,1.0
truthfulqa_qwen3b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8538627602851883,0.858626883738908,0.004764123453719793,0.006264116736442951,-0.00747296959200821,0.016995298798931528,-0.0053846580243270435,0.015074555535746695,0.4344,817,0.2086,False,0.0,0.0505,False,0.5465873406987192,0.0084,True,0.8783620272154102,0.0007,True,0.9810306130540063
