setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_tinyllama,T1_reduction,0D,SINK,0.6538609625027528,0.6437484363038193,-0.010112526198933547,0.0065444181152732785,-0.022878317095862306,0.002889073827433793,-0.02075697127593114,0.0008752953232188166,0.1312,817,0.5029,False,0.0,0.2267,False,0.4824819368007589,0.0614,False,0.841810173544215,0.0114,True,0.970384545529384
truthfulqa_tinyllama,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.6538609625027528,0.6268957241242927,-0.0269652383784601,0.006681200498964977,-0.039864327352211015,-0.013950229891429,-0.037811933979436295,-0.015803855943693452,0.0,817,0.9936,False,0.0,0.9618,False,0.4516616137216052,0.845,False,0.8225410674195537,0.609,False,0.9640054399489586
truthfulqa_tinyllama,T2_topo_beyond_sink,SINK,0D+SINK,0.6437484363038193,0.6633247888729252,0.019576352569105948,0.005521922705677199,0.008648794212338986,0.03014087123533118,0.010402493524237888,0.02852788585280055,0.0008,817,0.9562,False,0.13192944851520494,0.7933,False,0.7160964451008658,0.4638,False,0.9519666437103598,0.1588,False,0.9960553562240695
truthfulqa_tinyllama,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.6437484363038193,0.689040568458806,0.04529213215498673,0.007636190585729422,0.030174280025588418,0.060035521184618766,0.03262952647908796,0.05777181346808706,0.0,817,1.0,False,0.0,0.9998,False,0.2506348684402968,0.9996,False,0.6700692362420595,0.996,False,0.8966933502729171
truthfulqa_tinyllama,T4_1D_beyond_0D,0D,0D+1D,0.6538609625027528,0.6589951295077522,0.005134167004999357,0.004253922500483908,-0.003191288545579093,0.013320856223847892,-0.001814486830494516,0.012106566550160403,0.2334,817,0.1324,False,0.5197608205731719,0.0097,True,0.9400693822115354,0.0001,True,0.9977620401447818,0.0,True,0.9999768455096347
truthfulqa_tinyllama,T4b_1D_beyond_sink,SINK,SINK+1D,0.6437484363038193,0.6507897508423359,0.007041314538516641,0.004545802767889262,-0.0017664336041493228,0.015948165437932284,-0.0003357358698045486,0.014572899328678085,0.1188,817,0.2632,False,0.42109018643015306,0.0404,True,0.9020539138196455,0.0024,True,0.9941273650258171,0.0001,True,0.9998841402389802
truthfulqa_tinyllama,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.6437484363038193,0.686642027059622,0.04289359075580268,0.010365370627339198,0.02278678000686149,0.06274268190187396,0.025736229361083197,0.05968944806581079,0.0,817,0.9996,False,0.0,0.9962,False,0.0,0.9865,False,0.22408620465525164,0.9583,False,0.556932437636876
truthfulqa_tinyllama,PH_reduction,PH_0DTOT,PH_SINK,0.8042634410454704,0.8071608670704685,0.0028974260249980954,0.003903430703917877,-0.004669777329663794,0.010545604496853178,-0.00342814638143849,0.009378506612093955,0.461,817,0.0352,True,0.640854929187999,0.0002,True,0.9720451823160079,0.0,True,0.9994964190123716,0.0,True,0.9999980618519617
truthfulqa_tinyllama,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8071608670704685,0.8109017526880593,0.0037408856175907834,0.0008640194501182046,0.002047786555284101,0.005444284475099925,0.002316143037563112,0.005174766924998101,0.0,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8054140218041046,0.8169093423262406,0.011495320522135977,0.006456853077481098,-0.0010775833009981552,0.02434519520171868,0.0010664595221793751,0.02219212601256349,0.0718,817,0.5897,False,0.0,0.2995,False,0.5023928132657476,0.0949,False,0.8536736305199171,0.0189,True,0.974052829646535
truthfulqa_tinyllama,B_logprob,0D,LOGPROB,0.6538609625027528,0.6366127381874458,-0.017248224315307037,0.012970796302171662,-0.04222912287693132,0.0083956814269598,-0.03865157328435372,0.004061565059499082,0.1814,817,0.7093,False,0.0,0.5667,False,0.0,0.4188,False,0.0,0.2746,False,0.22248056070775468
truthfulqa_tinyllama,B_hidden,0D,HIDDEN,0.6538609625027528,0.8828684817277888,0.22900751922503593,0.009343814064561322,0.21079429773374542,0.24725590983521828,0.2134752033366842,0.24421263871015106,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.3798232940206905,1.0,False,0.6973247199638775
truthfulqa_tinyllama,B_lookback,0D,LOOKBACK,0.6538609625027528,0.8503570845362246,0.19649612203347178,0.00914552030610756,0.17849275418770935,0.21453390992211108,0.18158141931926972,0.2115346470129096,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.4121879531224022,1.0,False,0.7237248820788293
truthfulqa_tinyllama,B_llmcheck,0D,LLMCHECK,0.6538609625027528,0.6143457045734086,-0.03951525792934418,0.009500692155575462,-0.058089234429331456,-0.020702775626265057,-0.055096188851052205,-0.02382039254579477,0.0,817,0.9988,False,0.0,0.9936,False,0.0,0.9793,False,0.35466763235376697,0.9347,False,0.6761286651704226
truthfulqa_tinyllama,B_lex,0D,LEX,0.6538609625027528,0.8200734394124847,0.16621247690973184,0.010471336117036073,0.14581356396884446,0.18659786902855324,0.14903211888135978,0.1835476689503497,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.20908475794690218,1.0,False,0.5422859785516174
truthfulqa_tinyllama,B_rowstat,0D,ROWSTAT,0.6538609625027528,0.6598955188774647,0.006034556374711841,0.007057396932555185,-0.007595668243222007,0.02009179177484568,-0.005182931853558653,0.017738869104958987,0.3838,817,0.2932,False,0.0,0.1081,False,0.36918207045773554,0.026,True,0.7655809689166222,0.0042,True,0.9422418396027228
truthfulqa_tinyllama,B_len,0D,LEN,0.6538609625027528,0.522706741234687,-0.13115422126806586,0.012735358104619716,-0.15606403251589163,-0.10605553050312441,-0.15205883542650145,-0.11013702098461549,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.24965539646392476
truthfulqa_tinyllama,I_0D_beyond_nontopo,NONTOPO,NONTOPO+0D,0.8847576514369525,0.8847951052376893,3.74538007368308e-05,0.0001815817554416327,-0.0003325897505427333,0.0003910176796920739,-0.00026667106124600437,0.00033109159851318903,0.8626,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama,I_defl_beyond_nontopo,NONTOPO,NONTOPO+DEFL,0.8847576514369525,0.8836100669823772,-0.0011475844545753011,0.0006271792663539579,-0.002412024767449286,5.097462280279853e-05,-0.0021932945711464757,-0.00011685585829879219,0.0632,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama,I_0D_beyond_lex,LEX,LEX+0D,0.8200734394124847,0.829463856333213,0.009390416920728284,0.003840099747820218,0.0018274832993502774,0.016851363842700064,0.003176007394878422,0.015735165673142162,0.015,817,0.4362,False,0.6625648636799468,0.0715,False,0.9762589985882932,0.0034,True,0.9996338402510228,0.0,True,0.9999988577093974
truthfulqa_tinyllama,I_sink_beyond_lex,LEX,LEX+SINK,0.8200734394124847,0.831128303237956,0.011054863825471273,0.003719062601892477,0.003756915844306039,0.01839588367748381,0.0049903444101701,0.01720035835796542,0.0034,817,0.6117,False,0.7035127485578372,0.146,False,0.9830790439612014,0.0078,True,0.999810671323849,0.0,True,0.9999996171041883
truthfulqa_tinyllama,I_defl_beyond_lex,LEX,LEX+DEFL,0.8200734394124847,0.8240540293547909,0.003980589942306212,0.005353026770029592,-0.006505088473368087,0.014663912064468487,-0.004577004265238915,0.01303714368326664,0.444,817,0.1347,False,0.17665779224214262,0.0205,True,0.75284992866758,0.0014,True,0.9635033321339406,0.0,True,0.9975169662207033
truthfulqa_tinyllama,I_0D_beyond_logprob,LOGPROB,LOGPROB+0D,0.6366127381874458,0.6824546921372487,0.04584195394980295,0.008278498262480534,0.02942996064354622,0.06195057147009154,0.032281805393047605,0.059446822344637856,0.0,817,1.0,False,0.0,0.9999,False,0.13268440219703104,0.9995,False,0.5593188398298223,0.9937,False,0.8308740601500884
truthfulqa_tinyllama,I_0D_beyond_hidden,HIDDEN,HIDDEN+0D,0.8828684817277888,0.8825958180584249,-0.00027266366936384845,0.00041018061690128424,-0.0010878081885993623,0.0005168624501676877,-0.00094833023465557,0.0003955870433819553,0.5132,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
