setting,alpha,lo,hi
truthfulqa_qwen3b,0.2524206259032217,0.2274833572325286,0.27735789457391474
truthfulqa_qwen1.5b,0.5677912070984347,0.5248899168224197,0.6106924973744496
truthfulqa_phi3,0.9092433637177888,0.8036998051505705,1.014786922285007
truthfulqa_tinyllama,0.32697188534338884,0.2865895138312622,0.3673542568555155
truthfulqa_smollm,0.6166772670005779,0.5392428036861384,0.6941117303150174
halueval_qwen3b,1.4106019779448034,1.326397961187402,1.4948059947022048
halueval_qwen1.5b,1.0998929901026524,1.069326592545297,1.1304593876600078
triviaqa_qwen3b,0.7150160173471943,0.6807619159118571,0.7492701187825316
triviaqa_qwen1.5b,0.7517069754261065,0.7239895980844099,0.7794243527678032
triviaqa_phi3,0.7005610136378551,0.6525957707593011,0.748526256516409
triviaqa_tinyllama,0.026340420232004995,0.018493390168807022,0.03418745029520297
