setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen3b,NONTOPO+DEFL,2954.0,0.9283254106060176,0.0006771393057111,0.9314565483476132,1634,817,0.5
truthfulqa_qwen3b,0D,72.0,0.7543570006397109,0.0017362258467062,0.799265605875153,1634,817,0.5
truthfulqa_qwen3b,SINK,72.0,0.7401245563597303,0.0028107510360443,0.7649938800489596,1634,817,0.5
truthfulqa_qwen3b,1D,144.0,0.6021822082461284,0.0018079379946016,0.5826193390452876,1634,817,0.5
truthfulqa_qwen3b,DEFL,216.0,0.7165316581996107,0.0009385879620343,0.7478580171358629,1634,817,0.5
truthfulqa_qwen3b,ANS,216.0,0.7523240083357179,0.0016602446316939,0.7454100367197063,1634,817,0.5
truthfulqa_qwen3b,ROWSTAT,72.0,0.7512917815874119,0.0003435115921366,0.828641370869033,1634,817,0.5
truthfulqa_qwen3b,LOGPROB,6.0,0.6306635764784139,0.0008117406818403,0.6817625458996328,1634,817,0.5
truthfulqa_qwen3b,HIDDEN,2048.0,0.9133543773755072,0.000766211641581,0.9155446756425948,1634,817,0.5
truthfulqa_qwen3b,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_qwen3b,LEGACY_MSTPROXY,36.0,0.7136237451104063,0.0005572780981915,0.7858017135862914,1634,817,0.5
truthfulqa_qwen3b,LLMCHECK,36.0,0.693268353485975,0.001065048302753,0.7637698898408812,1634,817,0.5
truthfulqa_qwen3b,LOOKBACK,576.0,0.8971398779605356,0.0025539703239574,0.9057527539779682,1634,817,0.5
truthfulqa_qwen3b,PH_0D,1152.0,0.8538627602851883,0.0022313921568025,0.8567931456548348,1634,817,0.5
truthfulqa_qwen3b,PH_0DTOT,576.0,0.843519518673716,0.0010264927909402,0.8678090575275398,1634,817,0.5
truthfulqa_qwen3b,PH_SINK,576.0,0.8501458451000691,0.0018207017774281,0.8653610771113831,1634,817,0.5
truthfulqa_qwen3b,PH_ENT,576.0,0.858626883738908,0.0015522248032108,0.9057527539779682,1634,817,0.5
truthfulqa_qwen3b,0D+SINK,144.0,0.7574596734927467,0.0019308869854564,0.7882496940024479,1634,817,0.5
truthfulqa_qwen3b,0D+1D,216.0,0.7602222658350924,0.0012301548412482,0.7894736842105263,1634,817,0.5
truthfulqa_qwen3b,SINK+DEFL,288.0,0.7717745161343483,0.0031874246847316,0.8017135862913096,1634,817,0.5
truthfulqa_qwen3b,SINK+ANS,288.0,0.7842001890667861,0.0026316893890986,0.7906976744186046,1634,817,0.5
truthfulqa_qwen3b,LEX+DEFL,,0.829171716687466,0.000980233442772,0.8421052631578947,1634,817,0.5
truthfulqa_qwen3b,LEX+SINK,,0.8427314907062139,0.0021294836214991,0.8592411260709915,1634,817,0.5
truthfulqa_qwen3b,LEX+0D,,0.8470296888787681,0.0016434722452321,0.8604651162790697,1634,817,0.5
truthfulqa_qwen3b,HIDDEN+0D,2120.0,0.9143341688027816,0.0008533270205956,0.9167686658506732,1634,817,0.5
truthfulqa_qwen3b,LOGPROB+0D,78.0,0.7873343231124408,0.0021956092544671,0.8200734394124847,1634,817,0.5
truthfulqa_qwen3b,SINK+1D,216.0,0.7469681148303567,0.0021484074699971,0.7674418604651163,1634,817,0.5
truthfulqa_qwen3b,NONTOPO+0D,2810.0,0.9277006812097278,0.0004268252397399,0.9363525091799264,1634,817,0.5
truthfulqa_qwen3b,LEN,2.0,0.5287712606499883,0.000348015123501,0.5673194614443084,1634,817,0.5
truthfulqa_qwen3b,NONTOPO,2738.0,0.9270894351817034,0.0006412281258201,0.9375764993880048,1634,817,0.5
