setting,n_rows,layers,mean_N,cells,bound_violations_h1,bound_violations_p0,frac_cells_coned,frac_cells_coned_any_apex,mean_sink_mass,frac_cells_h1_zero,frac_h1zero_given_coned,median_delta0,median_layer_spearman_P0_star,median_layer_rel_gap,cell_spearman_delta0_h1
truthfulqa_qwen3b,1634,36,44.20685434516524,58824,0,0,0.6215490276077792,0.6215490276077792,0.5000641963000456,0.7638038895688835,1.0,0.0,0.9999972631667792,0.0,0.8417399163104731
truthfulqa_qwen1.5b,1634,28,44.20685434516524,45752,0,0,0.6454362650813079,0.6454362650813079,0.5293511929593034,0.80359328553943,1.0,0.0,0.9999990524230709,2.1238152197011562e-09,0.8011912825874024
truthfulqa_phi3,1634,32,28.961444308445532,52288,0,0,0.8840651774785802,0.8840651774785802,0.6916624219363723,0.9128098225214198,1.0,0.0,1.0,0.0,0.8664975722697205
truthfulqa_tinyllama,1634,22,42.28151774785802,35948,0,0,0.361633470568599,0.361633470568599,0.5271633682061115,0.7465505730499611,1.0,0.1453984454274177,0.999679326007821,0.0403450279250923,0.3283457996298139
truthfulqa_smollm,1634,24,32.350673194614444,39216,0,0,0.0,0.0,0.0210506047331608,0.1332619339045287,,0.841997304931283,0.967478697690152,0.5718504241322795,-0.0769210191714986
halueval_qwen3b,2000,36,126.947,72000,0,0,0.5297083333333333,0.5297361111111111,0.4228435036271045,0.7212222222222222,1.0,0.0,0.9999958967489742,6.330120106924994e-05,0.8072604000879622
halueval_qwen1.5b,1000,28,128.092,28000,0,0,0.6249642857142857,0.6249642857142857,0.453911582849029,0.7911071428571429,1.0,0.0,0.999998037998038,6.71334735200909e-10,0.7920201961625438
triviaqa_qwen3b,2000,36,68.5655,72000,0,0,0.6297777777777778,0.6297777777777778,0.4767100044473824,0.7141111111111111,1.0,0.0,0.9999969932490342,0.0,0.8932794667010339
triviaqa_qwen1.5b,2000,28,68.781,56000,0,0,0.5060535714285714,0.5060535714285714,0.5203266670511193,0.7693928571428571,1.0,0.0,0.9999859569954676,7.756414154016345e-09,0.7552541717824482
triviaqa_phi3,2000,32,46.137,64000,0,0,0.871296875,0.871296875,0.689544495929469,0.9018125,1.0,0.0,1.0,0.0,0.8681748294392704
triviaqa_tinyllama,2000,22,72.0405,44000,0,0,0.3636363636363636,0.3636363636363636,0.5021108052878234,0.6397727272727273,1.0,0.156280517578125,0.9999443657323362,0.0294780835077328,0.4658896369754677
