N,mean_P1,std_P1,morse_lower_bound,trivial_upper_bound,bound_holds
16,1.8380915019661188,0.4555724730739136,0.7911283494238815,60.0,True
24,4.217936037108302,0.6494207439076416,2.22762838304513,138.0,True
32,6.463072003796697,0.8921604812688833,3.9202857638615853,248.0,True
48,13.240467434749007,0.701499768414232,7.731898210842184,564.0,True
64,22.40820894110948,1.7547973830193009,11.887070046095884,1008.0,True
96,41.53284737560898,1.5157336106938464,20.78978220047608,2280.0,True
128,64.90579527616501,2.212075164174327,30.176054382378123,4064.0,True
160,86.83764712419361,3.801872875826815,39.87166870868219,6360.0,True
200,117.13149378588425,2.6844450733043157,52.293818104477594,9950.0,True
256,168.04937766632065,4.191603977714267,70.08433184070809,16320.0,True
