b,gamma,auc_h1,auc_h0,mean_delta0,frac_h1_zero
0,0,0.5640000000000001,0.5142222222222222,0.7766385610059778,0.0
0,2,0.5263111111111112,0.5723555555555555,0.7667544385851329,0.0
0,4,0.5662222222222222,0.8076444444444444,0.8127023994432602,0.0
0,6,0.5210666666666668,0.9396888888888889,0.8693871551165849,0.0
0,8,0.5109777777777778,0.9876,0.8782767409329684,0.0
2,0,0.5418666666666667,0.5831555555555555,0.6599466442022358,0.0
2,2,0.5372,0.5005333333333333,0.6781229462144159,0.0
2,4,0.6502666666666667,0.7125333333333334,0.7296277750002069,0.0
2,6,0.5811555555555555,0.9034222222222222,0.8004516456227491,0.0
2,8,0.6098666666666667,0.9588888888888889,0.8317821811413297,0.0
4,0,0.5064444444444445,0.5307999999999999,0.46491634907019164,0.0
4,2,0.5074222222222222,0.516488888888889,0.4829866119465121,0.01
4,4,0.6170666666666667,0.5303555555555556,0.5495448996653205,0.006666666666666667
4,6,0.8037777777777777,0.7072444444444445,0.6909780829939363,0.006666666666666667
4,8,0.8499555555555556,0.7893777777777777,0.7208020871211629,0.0
6,0,0.5067111111111111,0.5102666666666666,0.14109487831699818,0.6833333333333333
6,2,0.5027111111111111,0.5465333333333333,0.16216596022897858,0.7166666666666667
6,4,0.6005555555555556,0.5827111111111112,0.2489190161178964,0.6866666666666666
6,6,0.8030666666666666,0.5860000000000001,0.4220014332596103,0.45666666666666667
6,8,0.9680444444444444,0.5425333333333333,0.53876572349735,0.34
8,0,0.5000222222222221,0.5050666666666667,0.006571019564770198,0.9933333333333333
8,2,0.51,0.5506666666666666,0.01314921186127942,0.99
8,4,0.5066666666666667,0.6678222222222222,0.03233575587500643,0.9933333333333333
8,6,0.6074222222222222,0.8115555555555556,0.16121971274970429,0.88
8,8,0.8833333333333333,0.8476,0.37334843530286893,0.6166666666666667
