setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star
halueval_qwen3b,0,0.0,0.0,0.36403967440128326,0.3564009927213192,0.0015,0.010186138769157266,0.0,0.1786421334794258,0.9995129977498685,0.9993668723417181
halueval_qwen3b,1,0.02857142857142857,0.0,0.29523662105202675,0.29510362818837166,0.889,0.03352624656345695,0.0,0.15829394362671956,0.9999172425939864,0.999892184473046
halueval_qwen3b,2,0.05714285714285714,0.0,0.19421332515776157,0.19421332515776157,1.0,0.08365518244193737,0.0,0.07015748679202374,0.9998194006198944,0.9998005869501467
halueval_qwen3b,3,0.08571428571428572,1.0,0.0,0.0,1.0,0.6888622837587107,1.0,0.0,0.9999999999999999,1.0
halueval_qwen3b,4,0.11428571428571428,1.0,0.0,0.0,1.0,0.6698998179126185,1.0,0.0,1.0,1.0
halueval_qwen3b,5,0.14285714285714285,1.0,0.0,0.0,1.0,0.7627128430665525,1.0,0.0,1.0,1.0
halueval_qwen3b,6,0.17142857142857143,0.998,0.0,0.0,1.0,0.6775380446762269,1.0,0.0,0.999999994657945,0.9999999939999986
halueval_qwen3b,7,0.2,1.0,0.0,0.0,1.0,0.6742940213611879,1.0,0.0,0.9999999999999999,1.0
halueval_qwen3b,8,0.22857142857142856,1.0,0.0,0.0,1.0,0.6905732404947146,1.0,0.0,1.0,1.0
halueval_qwen3b,9,0.2571428571428571,1.0,0.0,0.0,1.0,0.6419659122011155,1.0,0.0,1.0,1.0
halueval_qwen3b,10,0.2857142857142857,1.0,0.0,0.0,1.0,0.620264758349796,1.0,0.0,1.0,1.0
halueval_qwen3b,11,0.3142857142857143,0.9935,0.0,0.0,1.0,0.5173284639262464,0.9995,0.0,0.999999996799127,0.9999999834999959
halueval_qwen3b,12,0.34285714285714286,0.948,0.0,0.0,1.0,0.5027168290741353,1.0,0.0,0.9999996109148122,0.9999993954998487
halueval_qwen3b,13,0.37142857142857144,1.0,0.0,0.0,1.0,0.5922761429121376,1.0,0.0,1.0,1.0
halueval_qwen3b,14,0.4,0.3515,0.026009798049926758,0.026009798049926758,1.0,0.41151903783189614,0.9035,0.00037172588876967303,0.9999950441876573,0.9999911364977841
halueval_qwen3b,15,0.42857142857142855,0.9695,0.0,0.0,1.0,0.48941147526155276,0.996,0.0,0.9999999531575853,0.9999998874999718
halueval_qwen3b,16,0.45714285714285713,0.1725,0.05041535198688507,0.05041535198688507,1.0,0.40958611528855143,0.62,0.00098792952527102,0.9999899698401886,0.9999845724961431
halueval_qwen3b,17,0.4857142857142857,0.821,0.0,0.0,1.0,0.5074744662534517,0.9995,0.0,0.9999997147364633,0.9999995424998857
halueval_qwen3b,18,0.5142857142857142,0.247,0.025558829307556152,0.025558829307556152,1.0,0.3616329286586059,0.8665,0.0004317358700018902,0.999997085963921,0.9999937344984337
halueval_qwen3b,19,0.5428571428571428,0.4165,0.008875668048858643,0.008875668048858643,1.0,0.38991482575852093,0.8625,0.00011619172324896052,0.9999975979044339,0.9999959094989773
halueval_qwen3b,20,0.5714285714285714,0.279,0.033012039959430695,0.033012039959430695,1.0,0.5695191391939902,0.978,0.0007872496440439191,0.9999800271652585,0.9999853569963392
halueval_qwen3b,21,0.6,0.034,0.10035943984985352,0.10035943984985352,1.0,0.4001891735050814,0.438,0.00351758052243914,0.999892698745747,0.9998916819729204
halueval_qwen3b,22,0.6285714285714286,0.494,0.0006837248802185059,0.0006837248802185059,1.0,0.4654866693877533,0.913,1.041067888953937e-05,0.999996666195179,0.999995883998971
halueval_qwen3b,23,0.6571428571428571,0.375,0.012868285179138184,0.012868285179138184,1.0,0.37070626064794865,0.919,0.00017169888134358087,0.9999982001185954,0.9999957699989425
halueval_qwen3b,24,0.6857142857142857,0.0125,0.08928126096725464,0.08928126096725464,1.0,0.3647353111718304,0.5335,0.0027678802082673204,0.9999831838997627,0.9999783774945944
halueval_qwen3b,25,0.7142857142857143,0.997,0.0,0.0,1.0,0.6797099428071152,1.0,0.0,0.9999999960344036,0.9999999969999991
halueval_qwen3b,26,0.7428571428571429,0.657,0.0,0.0,1.0,0.4747959009841672,0.9705,0.0,0.9999990990913733,0.9999981309995327
halueval_qwen3b,27,0.7714285714285715,0.085,0.06776770949363708,0.06776770949363708,1.0,0.41988143339401174,0.787,0.0015946182247158058,0.999981709885299,0.99997556049389
halueval_qwen3b,28,0.8,0.4335,0.00964045524597168,0.00964045524597168,1.0,0.46261861111181113,0.9585,0.0001579661426037273,0.9999964857890663,0.9999943389985847
halueval_qwen3b,29,0.8285714285714286,0.789,0.0,0.0,1.0,0.6087835574098788,0.98,0.0,0.9999976930252437,0.9999970179992543
halueval_qwen3b,30,0.8571428571428571,0.996,0.0,0.0,1.0,0.618054756952449,0.9995,0.0,0.9999999979774781,0.9999999894999974
halueval_qwen3b,31,0.8857142857142857,0.0,0.5812804400920868,0.1594861000776291,0.0,0.017977500104934086,0.137,0.23261482738129607,0.991320603346563,0.9917749234437309
halueval_qwen3b,32,0.9142857142857143,0.0,0.9083336293697357,0.35654163360595703,0.0,0.003577072826358,0.0415,0.3710737984880871,0.9521209076745265,0.9527543501885875
halueval_qwen3b,33,0.9428571428571428,0.0,0.944357231259346,0.408935546875,0.0,0.0038593629878240538,0.004,0.4251791344522966,0.9256847672386092,0.9235849993962499
halueval_qwen3b,34,0.9714285714285714,0.0,0.5689522810280323,0.35078108310699463,0.0,0.01924251329948873,0.0115,0.24145695097819764,0.9885043592127901,0.9893761918440479
halueval_qwen3b,35,1.0,0.0,0.5792876705527306,0.44662678241729736,0.0,0.007890150230547658,0.0455,0.2653340189603555,0.9856134629818742,0.9865610436402608
