setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star
triviaqa_phi3,0,0.0,0.0,0.09125328063964844,0.07494544982910156,0.0,0.06502501852981314,0.0,0.04202288738021112,0.9999737145956924,0.9978307997998906
triviaqa_phi3,1,0.03225806451612903,0.0,0.3987922668457031,0.3987922668457031,1.0,0.05471843864000816,0.0,0.18303160401743568,0.9997167184218086,0.9984639680042456
triviaqa_phi3,2,0.06451612903225806,0.0,0.49985694885253906,0.4313507080078125,0.0,0.050762780077981615,0.0,0.23908187187384167,0.9979234256348269,0.9969118815033097
triviaqa_phi3,3,0.0967741935483871,0.548,0.0,0.0,1.0,0.7625701079385326,0.9855,0.0,0.9928167731866302,0.9979914573502366
triviaqa_phi3,4,0.12903225806451613,0.562,0.0,0.0,1.0,0.7882284000119487,0.9975,0.0,0.9945339585199086,0.9984731015071935
triviaqa_phi3,5,0.16129032258064516,1.0,0.0,0.0,1.0,0.8108718050552822,1.0,0.0,1.0,1.0
triviaqa_phi3,6,0.1935483870967742,1.0,0.0,0.0,1.0,0.8061069838576587,1.0,0.0,1.0,1.0
triviaqa_phi3,7,0.22580645161290322,1.0,0.0,0.0,1.0,0.7896773008462646,1.0,0.0,1.0,1.0
triviaqa_phi3,8,0.25806451612903225,1.0,0.0,0.0,1.0,0.7891759277210361,1.0,0.0,1.0,1.0
triviaqa_phi3,9,0.2903225806451613,1.0,0.0,0.0,1.0,0.7357780074826124,1.0,0.0,1.0,0.9999999999999998
triviaqa_phi3,10,0.3225806451612903,1.0,0.0,0.0,1.0,0.7475824554556312,1.0,0.0,1.0,1.0
triviaqa_phi3,11,0.3548387096774194,1.0,0.0,0.0,1.0,0.7298231703726588,1.0,0.0,1.0,0.9999999999999998
triviaqa_phi3,12,0.3870967741935484,1.0,0.0,0.0,1.0,0.7535430642375027,1.0,0.0,0.9999999999999994,1.0
triviaqa_phi3,13,0.41935483870967744,1.0,0.0,0.0,1.0,0.7501053478250291,1.0,0.0,1.0,1.0
triviaqa_phi3,14,0.45161290322580644,1.0,0.0,0.0,1.0,0.7085166633464068,1.0,0.0,0.9999999999999998,1.0
triviaqa_phi3,15,0.4838709677419355,1.0,0.0,0.0,1.0,0.7131709254711175,1.0,0.0,0.9999999999999998,1.0
triviaqa_phi3,16,0.5161290322580645,1.0,0.0,0.0,1.0,0.7264412564597285,1.0,0.0,1.0,1.0
triviaqa_phi3,17,0.5483870967741935,1.0,0.0,0.0,1.0,0.7578277107094602,1.0,0.0,1.0,1.0
triviaqa_phi3,18,0.5806451612903226,1.0,0.0,0.0,1.0,0.7299544095932211,1.0,0.0,0.9999999999999998,1.0
triviaqa_phi3,19,0.6129032258064516,1.0,0.0,0.0,1.0,0.7578538264480273,1.0,0.0,1.0,1.0
triviaqa_phi3,20,0.6451612903225806,1.0,0.0,0.0,1.0,0.7985521333002223,1.0,0.0,0.9999999999999999,1.0
triviaqa_phi3,21,0.6774193548387096,1.0,0.0,0.0,1.0,0.7887815071147934,1.0,0.0,1.0,1.0
triviaqa_phi3,22,0.7096774193548387,1.0,0.0,0.0,1.0,0.802178890768829,1.0,0.0,1.0,1.0
triviaqa_phi3,23,0.7419354838709677,1.0,0.0,0.0,1.0,0.81339532418245,1.0,0.0,0.9999999999999998,1.0
triviaqa_phi3,24,0.7741935483870968,1.0,0.0,0.0,1.0,0.7982815971561324,1.0,0.0,1.0,1.0
triviaqa_phi3,25,0.8064516129032258,1.0,0.0,0.0,1.0,0.7837443373498445,1.0,0.0,1.0,0.9999999999999998
triviaqa_phi3,26,0.8387096774193549,1.0,0.0,0.0,1.0,0.781089138094216,1.0,0.0,1.0,1.0
triviaqa_phi3,27,0.8709677419354839,1.0,0.0,0.0,1.0,0.791119771863706,1.0,0.0,1.0,1.0
triviaqa_phi3,28,0.9032258064516129,1.0,0.0,0.0,1.0,0.740649898708413,1.0,0.0,0.9999999999999999,1.0
triviaqa_phi3,29,0.9354838709677419,1.0,0.0,0.0,1.0,0.7119725260729545,1.0,0.0,1.0,1.0
triviaqa_phi3,30,0.967741935483871,0.9575,0.0,0.0,1.0,0.6241177152166405,1.0,0.0,0.9999999627033507,0.9999999924999975
triviaqa_phi3,31,1.0,0.814,0.0,0.0,1.0,0.6038074298348836,0.875,0.0,0.999987203949825,0.9999921864974782
