setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star
triviaqa_qwen1.5b,0,0.0,0.0,0.45087256096303463,0.4009780013002455,0.007,0.019570245334570118,0.0,0.17007994413720415,0.9994744403240473,0.9980146203592186
triviaqa_qwen1.5b,1,0.037037037037037035,0.0,0.36121476721018553,0.3553469553589821,0.0,0.028912946675213973,0.0,0.18814335960562864,0.999602097932687,0.9979720203454696
triviaqa_qwen1.5b,2,0.07407407407407407,0.9845,0.0,0.0,1.0,0.5251673165240082,1.0,-2.232909117328057e-09,0.9999998657572342,0.999999854124953
triviaqa_qwen1.5b,3,0.1111111111111111,0.995,0.0,0.0,1.0,0.5116403607619532,1.0,-3.4463656649146676e-09,0.9999998018682316,0.9999996594998901
triviaqa_qwen1.5b,4,0.14814814814814814,1.0,0.0,0.0,1.0,0.6576068391962997,1.0,0.0,0.9999999999999998,0.9999999988749996
triviaqa_qwen1.5b,5,0.18518518518518517,0.9935,0.0,0.0,1.0,0.5805398446817105,1.0,-1.0736049694221625e-09,0.9999997541841809,0.9999997824999298
triviaqa_qwen1.5b,6,0.2222222222222222,1.0,0.0,0.0,1.0,0.6788524202444427,1.0,0.0,0.9999999999999998,1.0
triviaqa_qwen1.5b,7,0.25925925925925924,0.003,0.04367955029010773,0.04367955029010773,1.0,0.3797234525946036,0.687,0.0011450027169663006,0.9999941571166197,0.9999891984965138
triviaqa_qwen1.5b,8,0.2962962962962963,0.9985,0.0,0.0,1.0,0.6246278386163244,1.0,1.2412539981831144e-09,0.9999999439837037,1.0
triviaqa_qwen1.5b,9,0.3333333333333333,0.999,0.0,0.0,1.0,0.5818750417723711,1.0,2.1622913815342227e-09,0.9999999885617861,0.9999999909999971
triviaqa_qwen1.5b,10,0.37037037037037035,0.986,0.0,0.0,1.0,0.5444845911810234,1.0,0.0,0.9999997383674435,0.9999994614998262
triviaqa_qwen1.5b,11,0.4074074074074074,0.504,0.0,0.0,1.0,0.4091799107583519,0.8905,8.391292791616196e-09,0.9999667573655183,0.9999622044878014
triviaqa_qwen1.5b,12,0.4444444444444444,0.0,0.12292130291461945,0.12292130291461945,1.0,0.5960278173006501,0.999,0.006657444601017529,0.999981570758058,0.9999444249820632
triviaqa_qwen1.5b,13,0.48148148148148145,0.206,0.0510203093290329,0.0510203093290329,1.0,0.4209515102302613,0.802,0.0018111965977336887,0.999821841945631,0.9998095269385248
triviaqa_qwen1.5b,14,0.5185185185185185,0.002,0.06606268882751465,0.06606268882751465,1.0,0.715477456287836,0.9995,0.003462891561770652,0.9999662753462046,0.9999387324802258
triviaqa_qwen1.5b,15,0.5555555555555556,0.9655,0.0,0.0,1.0,0.4425235302565124,0.996,7.121535516416491e-09,0.9999995236012348,0.9999994809998326
triviaqa_qwen1.5b,16,0.5925925925925926,0.0,0.16687322035431862,0.16687322035431862,1.0,0.5088874783176717,0.0105,0.009651881851876813,0.999648061689107,0.9994957178372429
triviaqa_qwen1.5b,17,0.6296296296296297,0.7475,0.0,0.0,1.0,0.581892079848468,0.999,0.0,0.9999913164020956,0.9999827154944214
triviaqa_qwen1.5b,18,0.6666666666666666,0.0,0.11233901977539062,0.11233901977539062,1.0,0.46417796619118606,0.9905,0.00592775153864121,0.9999552618084804,0.9998747514595759
triviaqa_qwen1.5b,19,0.7037037037037037,0.0,0.3102870285511017,0.3102870285511017,1.0,0.6295079930486547,0.003,0.024349713392007175,0.9998830208986373,0.9997183899091102
triviaqa_qwen1.5b,20,0.7407407407407407,0.0,0.25624021515250206,0.25624021515250206,1.0,0.5649137258080638,0.271,0.01807271024769181,0.9997616562003232,0.9993892313028745
triviaqa_qwen1.5b,21,0.7777777777777778,0.8225,0.0,0.0,1.0,0.6153411450563394,0.9935,2.1651040440472604e-09,0.9999621913519802,0.9999200484741955
triviaqa_qwen1.5b,22,0.8148148148148148,0.988,0.0,0.0,1.0,0.6405109181695725,0.9995,0.0,0.9999990298986081,0.9999993939998043
triviaqa_qwen1.5b,23,0.8518518518518519,0.0,0.01609104871749878,0.01609104871749878,1.0,0.7159515448261359,0.97,0.0008498822002382797,0.9999997918605235,0.9999994974998379
triviaqa_qwen1.5b,24,0.8888888888888888,0.9745,0.0,0.0,1.0,0.6631476008141142,1.0,0.0,0.9999969116651394,0.999993332497848
triviaqa_qwen1.5b,25,0.9259259259259259,1.0,0.0,0.0,1.0,0.7543150370541516,1.0,0.0,1.0,1.0
triviaqa_qwen1.5b,26,0.9629629629629629,0.0,0.1529134213924408,0.1529134213924408,1.0,0.6360092408006732,0.932,0.012242143921399476,0.9999653867698565,0.9999300804774336
triviaqa_qwen1.5b,27,1.0,0.0,0.8909060163423419,0.77989352773875,0.0,0.07733082508017838,0.0,0.2626051155618806,0.9980775002198995,0.9972375016084037
