setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star
triviaqa_qwen3b,0,0.0,0.0,0.39074844121932983,0.36552370712161064,0.0025,0.014872675799555847,0.0,0.17940390547494073,0.9993775176435189,0.9977006117613214
triviaqa_qwen3b,1,0.02857142857142857,0.0,0.3435312323272228,0.3435312323272228,0.993,0.03224062856007601,0.0,0.18457608873155773,0.999852545267604,0.9978973653245287
triviaqa_qwen3b,2,0.05714285714285714,0.0,0.26272398233413696,0.26272398233413696,1.0,0.05482765258592551,0.0,0.13185417850651746,0.9998188270468352,0.9980469967468653
triviaqa_qwen3b,3,0.08571428571428572,1.0,0.0,0.0,1.0,0.7263995541754114,1.0,0.0,1.0,0.9999999999999998
triviaqa_qwen3b,4,0.11428571428571428,1.0,0.0,0.0,1.0,0.6789151636662659,1.0,0.0,1.0,0.9999999999999998
triviaqa_qwen3b,5,0.14285714285714285,1.0,0.0,0.0,1.0,0.7875538678839057,1.0,0.0,1.0,1.0
triviaqa_qwen3b,6,0.17142857142857143,1.0,0.0,0.0,1.0,0.6782393632861806,1.0,0.0,0.9999999999999999,0.9999999999999998
triviaqa_qwen3b,7,0.2,1.0,0.0,0.0,1.0,0.706536917568635,1.0,0.0,1.0,1.0
triviaqa_qwen3b,8,0.22857142857142856,1.0,0.0,0.0,1.0,0.6925392936137027,1.0,0.0,1.0,1.0
triviaqa_qwen3b,9,0.2571428571428571,1.0,0.0,0.0,1.0,0.6390721176264074,1.0,0.0,0.9999999999999998,1.0
triviaqa_qwen3b,10,0.2857142857142857,1.0,0.0,0.0,1.0,0.651837110495881,1.0,0.0,1.0,0.9999999999999998
triviaqa_qwen3b,11,0.3142857142857143,0.999,0.0,0.0,1.0,0.5668593182431348,1.0,0.0,0.9999999914248118,0.9999999984999995
triviaqa_qwen3b,12,0.34285714285714286,0.982,0.0,0.0,1.0,0.5796641951723057,0.9995,0.0,0.9999983181800511,0.999999143499725
triviaqa_qwen3b,13,0.37142857142857144,1.0,0.0,0.0,1.0,0.6448087548692131,1.0,0.0,1.0,0.9999999999999998
triviaqa_qwen3b,14,0.4,0.929,0.0,0.0,1.0,0.4868297425374358,0.995,0.0,0.9999973074564942,0.9999968634989924
triviaqa_qwen3b,15,0.42857142857142855,0.9995,0.0,0.0,1.0,0.5539766809724392,1.0,0.0,0.999999999968905,1.0
