setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star
truthfulqa_phi3,0,0.0,0.0,0.10622501373291016,0.05988864600658417,0.22215422276621788,0.09970736231337328,0.18421052631578946,0.040662645304978116,0.9998752436301781,0.9984811318282434
truthfulqa_phi3,1,0.03225806451612903,0.0,0.3953920602798462,0.39059479907155037,0.6976744186046512,0.0942337023841383,0.028151774785801713,0.2008020487629035,0.9960091012664823,0.9955178043413038
truthfulqa_phi3,2,0.06451612903225806,0.0,0.4307239055633545,0.40364503860473633,0.09791921664626684,0.08283393771842405,0.033047735618115054,0.20605722720161884,0.9786168473017139,0.9678562018865321
truthfulqa_phi3,3,0.0967741935483871,0.7105263157894737,0.0,0.0,1.0,0.7876250180828481,1.0,0.0,0.9947881494751152,0.999598882021508
truthfulqa_phi3,4,0.12903225806451613,0.7117503059975521,0.0,0.0,1.0,0.8052523851528709,1.0,0.0,0.9959566428534914,0.9997346812100351
truthfulqa_phi3,5,0.16129032258064516,1.0,0.0,0.0,1.0,0.828686899518769,1.0,0.0,1.0,1.0
truthfulqa_phi3,6,0.1935483870967742,1.0,0.0,0.0,1.0,0.8310796934002975,1.0,0.0,1.0,1.0
truthfulqa_phi3,7,0.22580645161290322,1.0,0.0,0.0,1.0,0.8008524966319525,1.0,0.0,1.0,1.0
truthfulqa_phi3,8,0.25806451612903225,1.0,0.0,0.0,1.0,0.7974092550816424,1.0,0.0,0.9999999999999998,1.0
truthfulqa_phi3,9,0.2903225806451613,1.0,0.0,0.0,1.0,0.7512833121173622,1.0,0.0,1.0,1.0
truthfulqa_phi3,10,0.3225806451612903,1.0,0.0,0.0,1.0,0.7548361296244465,1.0,0.0,0.9999999999999999,1.0
truthfulqa_phi3,11,0.3548387096774194,1.0,0.0,0.0,1.0,0.7267540304298914,1.0,0.0,1.0,1.0
truthfulqa_phi3,12,0.3870967741935484,1.0,0.0,0.0,1.0,0.750902643531412,1.0,0.0,1.0,1.0
truthfulqa_phi3,13,0.41935483870967744,1.0,0.0,0.0,1.0,0.740795888424551,1.0,0.0,1.0,1.0
truthfulqa_phi3,14,0.45161290322580644,1.0,0.0,0.0,1.0,0.6893453752306014,1.0,0.0,0.9999999999999999,1.0
truthfulqa_phi3,15,0.4838709677419355,1.0,0.0,0.0,1.0,0.6810631488715234,1.0,0.0,1.0,1.0
truthfulqa_phi3,16,0.5161290322580645,1.0,0.0,0.0,1.0,0.7173184187965498,1.0,0.0,1.0,1.0
truthfulqa_phi3,17,0.5483870967741935,1.0,0.0,0.0,1.0,0.7233861831339472,1.0,0.0,1.0,1.0
truthfulqa_phi3,18,0.5806451612903226,1.0,0.0,0.0,1.0,0.6894007124087694,1.0,0.0,0.9999999999999994,1.0
truthfulqa_phi3,19,0.6129032258064516,1.0,0.0,0.0,1.0,0.7222093225575875,1.0,0.0,1.0,1.0
truthfulqa_phi3,20,0.6451612903225806,1.0,0.0,0.0,1.0,0.7678669930331012,1.0,0.0,0.9999999999999997,1.0
truthfulqa_phi3,21,0.6774193548387096,1.0,0.0,0.0,1.0,0.7442021675802925,1.0,0.0,1.0,1.0
truthfulqa_phi3,22,0.7096774193548387,1.0,0.0,0.0,1.0,0.7729434755920418,1.0,0.0,0.9999999999999998,1.0
truthfulqa_phi3,23,0.7419354838709677,1.0,0.0,0.0,1.0,0.8087470884696278,1.0,0.0,0.9999999999999999,1.0
truthfulqa_phi3,24,0.7741935483870968,1.0,0.0,0.0,1.0,0.7822077587032029,1.0,0.0,1.0,1.0
truthfulqa_phi3,25,0.8064516129032258,1.0,0.0,0.0,1.0,0.8094824683762502,1.0,0.0,0.9999999999999999,1.0
truthfulqa_phi3,26,0.8387096774193549,1.0,0.0,0.0,1.0,0.7901198956027881,1.0,0.0,1.0,1.0
truthfulqa_phi3,27,0.8709677419354839,1.0,0.0,0.0,1.0,0.8079451753314747,1.0,0.0,1.0,1.0
truthfulqa_phi3,28,0.9032258064516129,1.0,0.0,0.0,1.0,0.7478163036884986,1.0,0.0,1.0,1.0
truthfulqa_phi3,29,0.9354838709677419,1.0,0.0,0.0,1.0,0.7455425163842593,1.0,0.0,1.0,1.0
truthfulqa_phi3,30,0.967741935483871,1.0,0.0,0.0,1.0,0.6660238889943035,1.0,0.0,0.9999999999999998,1.0
truthfulqa_phi3,31,1.0,0.8678090575275398,0.0,0.0,1.0,0.6153238547971133,0.9645042839657283,0.0,0.9999689039903753,0.9999863653444463
