setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star
truthfulqa_qwen3b,0,0.0,0.0,0.36990541592240334,0.365145031362772,0.0036719706242350062,0.023036080955214082,0.0,0.17124043798690208,0.9988551884676158,0.9964821247736719
truthfulqa_qwen3b,1,0.02857142857142857,0.0,0.3484017252922058,0.3484017252922058,0.9975520195838433,0.05044894525450366,0.0,0.1833563696319746,0.9997228115489921,0.9977128050973368
truthfulqa_qwen3b,2,0.05714285714285714,0.0,0.28414110839366913,0.28414110839366913,1.0,0.07640990775632947,0.0,0.13648479169974329,0.9997448671459769,0.9972954284041025
truthfulqa_qwen3b,3,0.08571428571428572,1.0,0.0,0.0,1.0,0.7402948164956218,1.0,0.0,1.0,1.0
truthfulqa_qwen3b,4,0.11428571428571428,1.0,0.0,0.0,1.0,0.6792252324961477,1.0,0.0,1.0,1.0
truthfulqa_qwen3b,5,0.14285714285714285,1.0,0.0,0.0,1.0,0.7774644805777353,1.0,0.0,1.0,1.0
truthfulqa_qwen3b,6,0.17142857142857143,1.0,0.0,0.0,1.0,0.6830393719569328,1.0,0.0,0.9999999999999999,1.0
truthfulqa_qwen3b,7,0.2,1.0,0.0,0.0,1.0,0.7215216719131268,1.0,0.0,1.0,1.0
truthfulqa_qwen3b,8,0.22857142857142856,1.0,0.0,0.0,1.0,0.7085013835471973,1.0,0.0,0.9999999999999997,1.0
truthfulqa_qwen3b,9,0.2571428571428571,1.0,0.0,0.0,1.0,0.6714706755348924,1.0,0.0,1.0,1.0
truthfulqa_qwen3b,10,0.2857142857142857,1.0,0.0,0.0,1.0,0.6845752911947929,1.0,0.0,1.0,1.0
truthfulqa_qwen3b,11,0.3142857142857143,1.0,0.0,0.0,1.0,0.6072294540687565,1.0,0.0,0.9999999999999998,1.0
truthfulqa_qwen3b,12,0.34285714285714286,0.9951040391676866,0.0,0.0,1.0,0.6028324515426757,1.0,0.0,0.9999992547683605,0.9999997221907988
truthfulqa_qwen3b,13,0.37142857142857144,1.0,0.0,0.0,1.0,0.6665942773163783,1.0,0.0,0.9999999999999999,1.0
truthfulqa_qwen3b,14,0.4,0.9834761321909424,0.0,0.0,1.0,0.5143928781560193,0.9993880048959608,0.0,0.9999998145413774,0.999999818461314
truthfulqa_qwen3b,15,0.42857142857142855,1.0,0.0,0.0,1.0,0.5760184345009507,1.0,0.0,0.9999999999999998,1.0
truthfulqa_qwen3b,16,0.45714285714285713,0.7747858017135862,0.0,0.0,1.0,0.5275392859475552,0.9767441860465116,0.0,0.9999792919899546,0.9999681399606057
truthfulqa_qwen3b,17,0.4857142857142857,0.9975520195838433,0.0,0.0,1.0,0.6556498232981937,1.0,0.0,0.9999997968921095,0.9999997524472464
