setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
halueval_qwen3b,LEN,2.0,0.962309,8.877061575893305e-05,0.97,2000,1000,0.5
halueval_qwen3b,0D,72.0,0.816237,0.0008880414154506593,0.928,2000,1000,0.5
halueval_qwen3b,SINK,72.0,0.827531,0.0007219450579280137,0.93,2000,1000,0.5
halueval_qwen3b,1D,144.0,0.708965,0.0012757707038840787,0.893,2000,1000,0.5
halueval_qwen3b,DEFL,216.0,0.831533,0.0003044700313659984,0.957,2000,1000,0.5
halueval_qwen3b,ANS,216.0,0.982111,0.001160610471547935,0.981,2000,1000,0.5
halueval_qwen3b,ROWSTAT,72.0,0.829988,0.0002649746319094585,0.975,2000,1000,0.5
halueval_qwen3b,LOGPROB,6.0,0.992679,5.8732917138112396e-05,0.991,2000,1000,0.5
halueval_qwen3b,HIDDEN,2048.0,0.99969,2.9488227406111892e-05,1.0,2000,1000,0.5
halueval_qwen3b,LEX,,0.981098,0.0002955811601273151,0.978,2000,1000,0.5
halueval_qwen3b,LEGACY_MSTPROXY,36.0,0.732803,0.00016025604512780292,0.96,2000,1000,0.5
halueval_qwen3b,LLMCHECK,36.0,0.743318,0.0005200239310732511,0.952,2000,1000,0.5
halueval_qwen3b,LOOKBACK,576.0,0.998947,0.0005477410174728631,0.999,2000,1000,0.5
halueval_qwen3b,PH_0D,1152.0,0.984086,0.00015903109409445327,0.99,2000,1000,0.5
halueval_qwen3b,PH_0DTOT,576.0,0.958223,0.0005649833822531859,0.996,2000,1000,0.5
halueval_qwen3b,PH_SINK,576.0,0.958707,0.0007080378207098586,0.999,2000,1000,0.5
halueval_qwen3b,PH_ENT,576.0,0.963647,0.0005458585490358535,0.994,2000,1000,0.5
halueval_qwen3b,0D+SINK,144.0,0.857732,0.0009602591085511878,0.945,2000,1000,0.5
halueval_qwen3b,0D+1D,216.0,0.830478,0.0018838862905057579,0.944,2000,1000,0.5
halueval_qwen3b,SINK+DEFL,288.0,0.882123,0.00267807430815499,0.961,2000,1000,0.5
halueval_qwen3b,SINK+ANS,288.0,0.978883,0.0008383576537227737,0.982,2000,1000,0.5
halueval_qwen3b,SINK+1D,216.0,0.842556,0.0005922972226846909,0.941,2000,1000,0.5
halueval_qwen3b,PH_SINK+PH_0DTOT,1152.0,0.962567,0.0006381948500784561,0.998,2000,1000,0.5
halueval_qwen3b,NONTOPO,2738.0,0.999806,2.3299976156403585e-05,1.0,2000,1000,0.5
halueval_qwen3b,NONTOPO+0D,2810.0,0.999817,3.423773097363889e-05,1.0,2000,1000,0.5
halueval_qwen3b,NONTOPO+DEFL,2954.0,0.999817,6.603197878468909e-05,1.0,2000,1000,0.5
halueval_qwen3b,LOGPROB+0D,78.0,0.99301,0.00023592701319590547,0.991,2000,1000,0.5
halueval_qwen3b,HIDDEN+0D,2120.0,0.999666,1.9482185594914306e-05,1.0,2000,1000,0.5
halueval_qwen3b,LEX+0D,,0.978686,3.389198528661588e-05,0.982,2000,1000,0.5
halueval_qwen3b,LEX+SINK,,0.98007,0.0002549854026322839,0.983,2000,1000,0.5
halueval_qwen3b,LEX+DEFL,,0.970318,0.00043378361221028543,0.978,2000,1000,0.5
