setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
halueval_qwen3b,T1_reduction,0D,SINK,0.816237,0.827531,0.011294000000000026,0.005753489176582738,0.00024085000000004532,0.02268515000000006,0.00203810000000001,0.020967450000000058,0.0448,1000,0.5964,False,0.07427289856463015,0.2651,False,0.6640809804902026,0.0686,False,0.9329439042344707,0.0096,True,0.9930730466979552
halueval_qwen3b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.816237,0.732803,-0.08343400000000001,0.006712092599798081,-0.09621439999999991,-0.07022195,-0.09408444999999994,-0.07222980000000002,0.0,1000,1.0,False,0.0,1.0,False,0.44475496358873845,1.0,False,0.8180722790237696,1.0,False,0.9624531105514678
halueval_qwen3b,T2_topo_beyond_sink,SINK,0D+SINK,0.827531,0.857732,0.030201000000000033,0.004084043746601033,0.022064575,0.03818519999999991,0.02339494999999995,0.03683420000000003,0.0,1000,1.0,False,0.5784297277123995,1.0,False,0.9574373806848555,0.9935,False,0.998855061678773,0.8969,False,0.9999924134116693
halueval_qwen3b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.827531,0.882123,0.054591999999999974,0.005354338776598761,0.04387295000000005,0.06493207499999999,0.045700849999999994,0.06319035000000006,0.0,1000,1.0,False,0.17630152950285893,1.0,False,0.7525693851643083,1.0,False,0.9634212460352178,1.0,False,0.9975075537756768
halueval_qwen3b,T4_1D_beyond_0D,0D,0D+1D,0.816237,0.830478,0.01424100000000006,0.004106396545410684,0.006272474999999973,0.02243327500000003,0.007551950000000007,0.021176399999999967,0.0012,1000,0.8551,False,0.5706891517306105,0.4312,False,0.955355012928544,0.083,False,0.9987428959654805,0.0044,True,0.9999911373068069
halueval_qwen3b,T4b_1D_beyond_sink,SINK,SINK+1D,0.827531,0.842556,0.015024999999999955,0.00404685331124307,0.007155975000000048,0.023108100000000017,0.008387849999999952,0.021721050000000096,0.0006,1000,0.8933,False,0.591310535675428,0.4961,False,0.9607665459998302,0.108,False,0.9990236616017698,0.0079,True,0.9999941789124602
halueval_qwen3b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.827531,0.978883,0.15135199999999993,0.006869650998301204,0.13771484999999992,0.16474405,0.13986639999999997,0.16264934999999994,0.0,1000,1.0,False,0.0,1.0,False,0.40988087526698536,1.0,False,0.7946667377623036,1.0,False,0.9538852461665974
halueval_qwen3b,PH_reduction,PH_0DTOT,PH_SINK,0.958223,0.958707,0.00048399999999992893,0.003099772050894194,-0.00558410000000003,0.006608024999999951,-0.004576999999999947,0.005616250000000058,0.8792,1000,0.0013,True,0.8861654084497887,0.0,True,0.9985978683087426,0.0,True,0.9999984696694608,0.0,True,0.9999999998639542
halueval_qwen3b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.958707,0.962567,0.0038599999999999746,0.0006196149800264998,0.0026809749999999353,0.005087999999999984,0.0028608999999999996,0.004881000000000024,0.0,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.984086,0.963647,-0.020438999999999985,0.0033923626959656288,-0.02714809999999995,-0.013896950000000047,-0.02610520000000004,-0.014939449999999967,0.0,1000,0.9992,False,0.8074062495924199,0.9481,False,0.9945110379646831,0.5423,False,0.9999786936885093,0.0897,False,0.9999999896347551
halueval_qwen3b,B_logprob,0D,LOGPROB,0.816237,0.992679,0.176442,0.007230457528238323,0.16240852500000003,0.1908083,0.1646576,0.18849324999999997,0.0,1000,1.0,False,0.0,1.0,False,0.33258894499963976,1.0,False,0.7378070733913995,1.0,False,0.9301284122914024
halueval_qwen3b,B_hidden,0D,HIDDEN,0.816237,0.99969,0.18345299999999998,0.007249703789369632,0.16925834999999995,0.19786425000000005,0.17158924999999992,0.19552624999999998,0.0,1000,1.0,False,0.0,1.0,False,0.3285774319691446,1.0,False,0.7346692330231519,1.0,False,0.9287001789246851
