setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
halueval_qwen3b,0,0.0,0.0,0.3638758026063442,0.356372470036149,0.0015,0.010181870570764404,0.0,0.17860024389095797,0.9995132612249931,0.9993677753419438,0.5580962505240625,0.9999633663198285
halueval_qwen3b,1,0.02857142857142857,0.0,0.2951953150331974,0.2950693052262068,0.891,0.033525146025517615,0.0,0.15831465322579058,0.9999172859880283,0.9998918394729598,0.9181034220258555,0.9999633663198285
halueval_qwen3b,2,0.05714285714285714,0.0,0.19422118365764618,0.19422118365764618,1.0,0.08368701633338352,0.0,0.07016640030289584,0.9998194455911851,0.9998004369501092,0.9194130138532534,0.999853257008593
halueval_qwen3b,3,0.08571428571428572,1.0,0.0,0.0,1.0,0.6888301402016741,1.0,0.0,1.0,1.0,1.0,0.9861983336097014
halueval_qwen3b,4,0.11428571428571428,1.0,0.0,0.0,1.0,0.6698054350398683,1.0,0.0,0.9999999999999999,1.0,1.0,0.9912493259140288
halueval_qwen3b,5,0.14285714285714285,1.0,0.0,0.0,1.0,0.7628646319311333,1.0,0.0,0.9999999999999999,1.0,1.0,0.9795316069715384
halueval_qwen3b,6,0.17142857142857143,0.998,0.0,0.0,1.0,0.6775547863668328,1.0,0.0,0.9999999946474877,0.9999999939999986,0.9999999384999847,0.9909766728575832
halueval_qwen3b,7,0.2,1.0,0.0,0.0,1.0,0.6743412078617081,1.0,0.0,1.0,1.0,1.0,0.9806346104043542
halueval_qwen3b,8,0.22857142857142856,1.0,0.0,0.0,1.0,0.6906115065391243,1.0,0.0,1.0,1.0,1.0,0.981406913889742
halueval_qwen3b,9,0.2571428571428571,1.0,0.0,0.0,1.0,0.6419624995231233,1.0,0.0,0.9999999999999993,1.0,1.0,0.9861081082870494
halueval_qwen3b,10,0.2857142857142857,1.0,0.0,0.0,1.0,0.6203939326012816,1.0,0.0,1.0,1.0,1.0,0.9876792429862647
halueval_qwen3b,11,0.3142857142857143,0.9935,0.0,0.0,1.0,0.5172021913156813,0.9995,0.0,0.9999999967935231,0.9999999819999955,0.9999998859999715,0.9908715482302011
