setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen1.5b_cuda,LEN,2.0,0.5287712606499883,0.00034801512350106714,0.5673194614443084,1634,817,0.5
truthfulqa_qwen1.5b_cuda,0D,56.0,0.7312120499364034,0.0008765237873836242,0.7686658506731946,1634,817,0.5
truthfulqa_qwen1.5b_cuda,SINK,56.0,0.7243580044015706,0.001583049516621609,0.7772337821297429,1634,817,0.5
truthfulqa_qwen1.5b_cuda,1D,112.0,0.5887932235587403,0.0023597013163531035,0.6266829865361077,1634,817,0.5
truthfulqa_qwen1.5b_cuda,DEFL,168.0,0.7061584535475491,0.0032742710408490087,0.7539779681762546,1634,817,0.5
truthfulqa_qwen1.5b_cuda,ANS,168.0,0.6967170994578188,0.004022312555545831,0.6964504283965728,1634,817,0.5
truthfulqa_qwen1.5b_cuda,ROWSTAT,56.0,0.7371687024055827,0.0014414636183823118,0.8041615667074663,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LOGPROB,6.0,0.6382547128117467,0.0005621635690620435,0.6817625458996328,1634,817,0.5
truthfulqa_qwen1.5b_cuda,HIDDEN,1536.0,0.9159881286433185,0.0013070351654269508,0.9253365973072215,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LEX,,0.8202756899364634,0.0008218953608146562,0.8280293757649939,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LEGACY_MSTPROXY,28.0,0.6982302330075851,0.00117390151496383,0.7833537331701347,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LLMCHECK,28.0,0.6651630214130869,0.0005485846429837929,0.7368421052631579,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LOOKBACK,336.0,0.8521623577317379,0.0008588321934204575,0.8580171358629131,1634,817,0.5
truthfulqa_qwen1.5b_cuda,PH_0D,672.0,0.835457962603129,0.0010125485849395357,0.8396572827417381,1634,817,0.5
truthfulqa_qwen1.5b_cuda,PH_0DTOT,336.0,0.8190142459276483,0.0028357830445396143,0.8531211750305998,1634,817,0.5
truthfulqa_qwen1.5b_cuda,PH_SINK,336.0,0.8331762770622437,0.00023971680899060295,0.8531211750305998,1634,817,0.5
truthfulqa_qwen1.5b_cuda,PH_ENT,336.0,0.8336167337589084,0.0020137448274168464,0.8531211750305998,1634,817,0.5
truthfulqa_qwen1.5b_cuda,0D+SINK,112.0,0.7395687419567963,0.0007769237250544743,0.7711138310893513,1634,817,0.5
truthfulqa_qwen1.5b_cuda,0D+1D,168.0,0.7241677390938278,0.001934335840475725,0.7600979192166463,1634,817,0.5
truthfulqa_qwen1.5b_cuda,SINK+DEFL,224.0,0.7593128875532031,0.0028263688822938466,0.7980416156670747,1634,817,0.5
truthfulqa_qwen1.5b_cuda,SINK+ANS,224.0,0.7553652569555453,0.0030885234869048104,0.7686658506731946,1634,817,0.5
truthfulqa_qwen1.5b_cuda,SINK+1D,168.0,0.7168387793656524,0.002045176105668408,0.7662178702570379,1634,817,0.5
truthfulqa_qwen1.5b_cuda,PH_SINK+PH_0DTOT,672.0,0.8428168853718938,0.0011363397279015221,0.8678090575275398,1634,817,0.5
truthfulqa_qwen1.5b_cuda,NONTOPO,1962.0,0.9169664219185635,0.0014916184910919472,0.9290085679314566,1634,817,0.5
truthfulqa_qwen1.5b_cuda,NONTOPO+0D,2018.0,0.9173259784056367,0.0014523701155892623,0.9290085679314566,1634,817,0.5
truthfulqa_qwen1.5b_cuda,NONTOPO+DEFL,2130.0,0.9172525689561926,0.0016097048459950184,0.9265605875152999,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LOGPROB+0D,62.0,0.7436467117810182,0.0010491146470541935,0.7968176254589964,1634,817,0.5
truthfulqa_qwen1.5b_cuda,HIDDEN+0D,1592.0,0.9164166001237474,0.001414637055808864,0.9216646266829865,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LEX+0D,,0.8341845333780782,0.0011447789986510214,0.8408812729498164,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LEX+SINK,,0.8328182187272,0.0005494145621259351,0.8396572827417381,1634,817,0.5
truthfulqa_qwen1.5b_cuda,LEX+DEFL,,0.8278907967022677,0.0009761584308772117,0.835985312117503,1634,817,0.5
