setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen1.5b_fp32,LEN,2.0,0.5287712606499883,0.00034801512350106714,0.5673194614443084,1634,817,0.5
truthfulqa_qwen1.5b_fp32,0D,56.0,0.7355237314772228,0.0003163052747331172,0.758873929008568,1634,817,0.5
truthfulqa_qwen1.5b_fp32,SINK,56.0,0.7263445539926501,0.0023547805776698797,0.773561811505508,1634,817,0.5
truthfulqa_qwen1.5b_fp32,1D,112.0,0.5894449196915604,0.0019219892497487285,0.6438188494492044,1634,817,0.5
truthfulqa_qwen1.5b_fp32,DEFL,168.0,0.6990871759684429,0.0030891391907565,0.7429620563035496,1634,817,0.5
truthfulqa_qwen1.5b_fp32,ANS,168.0,0.7165286618955519,0.0031265675514616387,0.7246022031823746,1634,817,0.5
truthfulqa_qwen1.5b_fp32,ROWSTAT,56.0,0.7442324892245415,0.001543283888395767,0.8078335373317014,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LOGPROB,6.0,0.6407611211570527,0.0007729806341100162,0.6878824969400245,1634,817,0.5
truthfulqa_qwen1.5b_fp32,HIDDEN,1536.0,0.9149738797193662,0.0013613231922863275,0.9216646266829865,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LEX,,0.8202756899364634,0.0008218953608146562,0.8280293757649939,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LEGACY_MSTPROXY,28.0,0.7002841994399908,0.00115783623095952,0.7760097919216646,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LLMCHECK,28.0,0.6741069890290327,0.0009065840476224316,0.7503059975520195,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LOOKBACK,336.0,0.853211064152368,0.0019873474660820705,0.8616891064871481,1634,817,0.5
truthfulqa_qwen1.5b_fp32,PH_0D,672.0,0.8402520490974383,0.0018167702837486002,0.847001223990208,1634,817,0.5
truthfulqa_qwen1.5b_fp32,PH_0DTOT,336.0,0.8194816693608434,0.0021932182750401758,0.8531211750305998,1634,817,0.5
truthfulqa_qwen1.5b_fp32,PH_SINK,336.0,0.8326983665648423,0.0016347213327604557,0.8616891064871481,1634,817,0.5
truthfulqa_qwen1.5b_fp32,PH_ENT,336.0,0.8344586951994715,0.001528440777338031,0.8506731946144431,1634,817,0.5
truthfulqa_qwen1.5b_fp32,0D+SINK,112.0,0.7426923889382446,0.0004946418153996362,0.7649938800489596,1634,817,0.5
truthfulqa_qwen1.5b_fp32,0D+1D,168.0,0.7272329581461268,0.0005737815788788059,0.758873929008568,1634,817,0.5
truthfulqa_qwen1.5b_fp32,SINK+DEFL,224.0,0.7595690715502428,0.0010501752456095396,0.8200734394124847,1634,817,0.5
truthfulqa_qwen1.5b_fp32,SINK+ANS,224.0,0.7674883031780299,0.004148022407940433,0.7747858017135862,1634,817,0.5
truthfulqa_qwen1.5b_fp32,SINK+1D,168.0,0.7177481576475417,0.0016518280933669482,0.7649938800489596,1634,817,0.5
truthfulqa_qwen1.5b_fp32,PH_SINK+PH_0DTOT,672.0,0.8441667203504477,0.0008510303559243082,0.8788249694002448,1634,817,0.5
truthfulqa_qwen1.5b_fp32,NONTOPO,1962.0,0.9166652933606396,0.0014796545118992358,0.9265605875152999,1634,817,0.5
truthfulqa_qwen1.5b_fp32,NONTOPO+0D,2018.0,0.9168016251953216,0.001652298161958831,0.9277845777233782,1634,817,0.5
truthfulqa_qwen1.5b_fp32,NONTOPO+DEFL,2130.0,0.9181080137650208,0.0015351403987372526,0.9277845777233782,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LOGPROB+0D,62.0,0.7493906266620124,0.00019459194972464404,0.795593635250918,1634,817,0.5
truthfulqa_qwen1.5b_fp32,HIDDEN+0D,1592.0,0.9154697680411212,0.0015537082949122073,0.9204406364749081,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LEX+0D,,0.8347148791965111,0.0005247872569551509,0.8457772337821298,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LEX+SINK,,0.832767281558198,0.0008696846728648912,0.8567931456548348,1634,817,0.5
truthfulqa_qwen1.5b_fp32,LEX+DEFL,,0.8262787851185562,0.001763570512166552,0.8396572827417381,1634,817,0.5
