setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_qwen1.5b_cuda,T1_reduction,0D,SINK,0.7312120499364034,0.7243580044015706,-0.00685404553483282,0.006140840816968671,-0.018689746198064704,0.005230310911490681,-0.016914436043140763,0.003373913277971562,0.264,817,0.3029,False,0.0,0.0934,False,0.5750184390769293,0.0155,True,0.8930444496974259,0.0009,True,0.9847442475242854
truthfulqa_qwen1.5b_cuda,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.7312120499364034,0.6982302330075851,-0.0329818169288183,0.007290226168615462,-0.0475948667318862,-0.018765515236955275,-0.04503205296267058,-0.021049859997692887,0.0,817,0.9997,False,0.0,0.9936,False,0.32017042970650955,0.9632,False,0.7280336327469836,0.8628,False,0.9256405398184935
truthfulqa_qwen1.5b_cuda,T2_topo_beyond_sink,SINK,0D+SINK,0.7243580044015706,0.7395687419567963,0.015210737555225728,0.004816814648464889,0.005800732296712047,0.02447710748791372,0.007247984610982289,0.02300262626050764,0.0016,817,0.8545,False,0.33368225028515885,0.52,False,0.8582316313932303,0.1592,False,0.9878331557236644,0.0201,True,0.9996078310543863
truthfulqa_qwen1.5b_cuda,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7243580044015706,0.7593128875532031,0.03495488315163253,0.007324757869303856,0.020674423099107254,0.04901994639612038,0.022854309209589974,0.04694092337102182,0.0,817,0.9998,False,0.0,0.997,False,0.31304856471640297,0.9804,False,0.7223493364547653,0.9117,False,0.9229772846914488
truthfulqa_qwen1.5b_cuda,T4_1D_beyond_0D,0D,0D+1D,0.7312120499364034,0.7241677390938278,-0.0070443108425756185,0.0037878330692242813,-0.01449952733303471,0.0003761110669987705,-0.013315575237944022,-0.0007805372073547145,0.0658,817,0.2147,False,0.6803504157583156,0.0185,True,0.9793976918084539,0.0005,True,0.999722245822986,0.0,True,0.99999927753747
truthfulqa_qwen1.5b_cuda,T4b_1D_beyond_sink,SINK,SINK+1D,0.7243580044015706,0.7168387793656524,-0.007519225035918176,0.004015754412530696,-0.015526922541045615,0.00012000197756071367,-0.014292520176362438,-0.001035073237161973,0.0536,817,0.2687,False,0.6020781258281795,0.0348,True,0.9634212184800579,0.0016,True,0.9991486322140135,0.0,True,0.9999953641528156
truthfulqa_qwen1.5b_cuda,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7243580044015706,0.7553652569555453,0.03100725255397474,0.00847439794306405,0.01429989857510758,0.04745111904465842,0.017066648289335167,0.044747029539063565,0.0004,817,0.9936,False,0.0,0.97,False,0.09962181498308986,0.9024,False,0.5255120812043086,0.7526,False,0.8081781224871267
truthfulqa_qwen1.5b_cuda,PH_reduction,PH_0DTOT,PH_SINK,0.8190142459276483,0.8331762770622437,0.014162031134595465,0.0046494193279943575,0.0051521073755522616,0.02324982134537046,0.006451042638904947,0.021682904137746133,0.003,817,0.8103,False,0.3871100683225839,0.4235,False,0.8862032694263138,0.1011,False,0.9921104133799501,0.0103,True,0.9998101565980502
truthfulqa_qwen1.5b_cuda,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8331762770622437,0.8428168853718938,0.009640608309650078,0.0020238247913521227,0.005697472168080695,0.013585280057049627,0.0062832496116040915,0.012990626062751623,0.0,817,0.4253,False,0.9990202762638962,0.0039,True,0.9999999919235598,0.0,True,0.9999999999999998,0.0,True,1.0
truthfulqa_qwen1.5b_cuda,PH_0D_vs_entropy,PH_0D,PH_ENT,0.835457962603129,0.8336167337589084,-0.0018412288442205549,0.006800205013478484,-0.015297780188137915,0.011550789601027185,-0.01308508454820983,0.009373937248404074,0.7924,817,0.1128,False,0.0,0.0282,True,0.42517670944229913,0.0037,True,0.8051051803376263,0.0004,True,0.9577963209077411
truthfulqa_qwen1.5b_cuda,B_logprob,0D,LOGPROB,0.7312120499364034,0.6382547128117467,-0.0929573371246567,0.012381175825183152,-0.11725927318652432,-0.06881420517791305,-0.11332374016650465,-0.07267760217771374,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.29184914540460016
truthfulqa_qwen1.5b_cuda,B_hidden,0D,HIDDEN,0.7312120499364034,0.9159881286433185,0.18477607870691504,0.008827130141290473,0.16709473863988775,0.20174751943477728,0.17028437921823433,0.19911706410143087,0.0,817,1.0,False,0.0,1.0,False,0.04342567910183903,1.0,False,0.46532696548775854,1.0,False,0.7649001328904128
truthfulqa_qwen1.5b_cuda,B_lookback,0D,LOOKBACK,0.7312120499364034,0.8521623577317379,0.12095030779533444,0.009240470501062668,0.10257835709652138,0.13888329994951223,0.10571395184040486,0.1361194716317423,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.39661460687858274,1.0,False,0.7111447877485342
truthfulqa_qwen1.5b_cuda,B_llmcheck,0D,LLMCHECK,0.7312120499364034,0.6651630214130869,-0.06604902852331651,0.009713696511386255,-0.08524788423479647,-0.04708800444651519,-0.08202269999955057,-0.05008277289962827,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.3211953076374281,1.0,False,0.6470237836433472
truthfulqa_qwen1.5b_cuda,B_lex,0D,LEX,0.7312120499364034,0.8202756899364634,0.08906364000005995,0.01099253093360014,0.06735051064511922,0.11063343365958088,0.07070580938412473,0.10705052817349804,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.13857743705195436,1.0,False,0.470924491102821
truthfulqa_qwen1.5b_cuda,B_rowstat,0D,ROWSTAT,0.7312120499364034,0.7371687024055827,0.005956652469179313,0.007661716678303215,-0.009073108320886111,0.020872441343602707,-0.006795992143690843,0.018490267255340552,0.435,817,0.2979,False,0.0,0.1186,False,0.245667794749318,0.0322,True,0.6657192908528171,0.0064,True,0.8943638385634383
truthfulqa_qwen1.5b_cuda,B_len,0D,LEN,0.7312120499364034,0.5287712606499883,-0.20244078928641518,0.012844749594044786,-0.22797443103931297,-0.17737966468361277,-0.2234137191773947,-0.1813531009499782,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.23694152534943003
truthfulqa_qwen1.5b_cuda,I_0D_beyond_nontopo,NONTOPO,NONTOPO+0D,0.9169664219185635,0.9173259784056367,0.0003595564870731982,0.0004799944030783207,-0.0005843167452946967,0.0013154149356768919,-0.00043146778448788226,0.0011595696708111003,0.447,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b_cuda,I_defl_beyond_nontopo,NONTOPO,NONTOPO+DEFL,0.9169664219185635,0.9172525689561926,0.0002861470376290809,0.0007564288771655207,-0.0011865364073415652,0.0017483808721940992,-0.0009558959024043189,0.001505642789619066,0.7184,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b_cuda,I_0D_beyond_lex,LEX,LEX+0D,0.8202756899364634,0.8341845333780782,0.013908843441614804,0.0056542493413296166,0.0029204601124512737,0.025047940864943184,0.0046847213961578316,0.023179632922789736,0.0132,817,0.7546,False,0.09846914884112845,0.4268,False,0.6865543785284869,0.1397,False,0.9415501903624108,0.0252,True,0.9945069227949148
truthfulqa_qwen1.5b_cuda,I_sink_beyond_lex,LEX,LEX+SINK,0.8202756899364634,0.8328182187272,0.012542528790736585,0.005522568208001948,0.0017752352473223544,0.023330983731567115,0.0035175111499965053,0.02161091793272997,0.0216,817,0.6719,False,0.13176286866565778,0.3333,False,0.7159537465343142,0.0886,False,0.951918777497941,0.0128,True,0.9960487252911505
truthfulqa_qwen1.5b_cuda,I_defl_beyond_lex,LEX,LEX+DEFL,0.8202756899364634,0.8278907967022677,0.007615106765804347,0.006689280823838929,-0.005511851131629037,0.020749592877185963,-0.003340879025721777,0.01859086816411955,0.2494,817,0.3598,False,0.0,0.1369,False,0.4498530219157746,0.0325,True,0.821376187998119,0.0055,True,0.9636034102001827
truthfulqa_qwen1.5b_cuda,I_0D_beyond_logprob,LOGPROB,LOGPROB+0D,0.6382547128117467,0.7436467117810182,0.10539199896927143,0.009278864546291683,0.08762376608453475,0.12362653167318118,0.09019616802673901,0.12065374860110058,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.3903565781645262,1.0,False,0.7060250568715372
truthfulqa_qwen1.5b_cuda,I_0D_beyond_hidden,HIDDEN,HIDDEN+0D,0.9159881286433185,0.9164166001237474,0.0004284714804289047,0.0005333946416283796,-0.00063525391429676,0.001483282870579218,-0.00045244191290039204,0.0013109579333891053,0.426,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
