setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_qwen1.5b_fp32,T1_reduction,0D,SINK,0.7355237314772228,0.7263445539926501,-0.009179177484572754,0.006057262232931125,-0.020994166195997283,0.0029260781825618948,-0.019203387621368993,0.0007284015167291058,0.1234,817,0.4477,False,0.004832942885471203,0.1715,False,0.5943159220439063,0.0373,True,0.9024740737631771,0.0046,True,0.9869507924237622
truthfulqa_qwen1.5b_fp32,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.7355237314772228,0.7002841994399908,-0.03523953203723207,0.007329155538579997,-0.04974924680406714,-0.021119299344258897,-0.047431493253072284,-0.023301432682785755,0.0,817,1.0,False,0.0,0.9979,False,0.31214439866775434,0.9827,False,0.7216235450096451,0.9178,False,0.9226344362396288
truthfulqa_qwen1.5b_fp32,T2_topo_beyond_sink,SINK,0D+SINK,0.7263445539926501,0.7426923889382446,0.016347834945594553,0.005085791967953975,0.006392539802154024,0.02614657320195532,0.007961179884612313,0.024605723839643788,0.002,817,0.8938,False,0.25209913781116167,0.6021,False,0.8079503074978112,0.2356,False,0.97784328748089,0.0423,True,0.9989275689044106
truthfulqa_qwen1.5b_fp32,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7263445539926501,0.7595690715502428,0.0332245175575927,0.007271930643925111,0.018764054538726465,0.047513030177276296,0.02119630435857364,0.04523670052989637,0.0,817,0.9993,False,0.0,0.993,False,0.32395952623306457,0.9645,False,0.7310343256425671,0.8757,False,0.9270307448645065
truthfulqa_qwen1.5b_fp32,T4_1D_beyond_0D,0D,0D+1D,0.7355237314772228,0.7272329581461268,-0.008290773331096069,0.003819767262629807,-0.01583550440531612,-0.0008584411128872427,-0.014631027627421644,-0.0021153157580125824,0.0286,817,0.3248,False,0.6694998359041753,0.0414,True,0.9775158072498169,0.0006,True,0.9996706736406453,0.0,True,0.9999990418663189
truthfulqa_qwen1.5b_fp32,T4b_1D_beyond_sink,SINK,SINK+1D,0.7263445539926501,0.7177481576475417,-0.008596396345108337,0.0040126272010680844,-0.01653963585916774,-0.0008879921616685858,-0.015336881956107122,-0.0020925438471645352,0.0282,817,0.3615,False,0.6031604866956117,0.0596,False,0.9636816873958087,0.0028,True,0.9991604406644274,0.0,True,0.9999954705202556
truthfulqa_qwen1.5b_fp32,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7263445539926501,0.7674883031780299,0.041143749185379774,0.008698367541479367,0.02423553047316128,0.05859737014392744,0.026791302927838455,0.05563462469044429,0.0,817,1.0,False,0.0,0.9987,False,0.06345087235123681,0.9931,False,0.48716414643101613,0.9686,False,0.7810214945075291
truthfulqa_qwen1.5b_fp32,PH_reduction,PH_0DTOT,PH_SINK,0.8194816693608434,0.8326983665648423,0.013216697203998873,0.004514676344728805,0.00424269163986222,0.021978526986961493,0.005736274305644012,0.02051891491844809,0.0048,817,0.7594,False,0.43142035776993204,0.3504,False,0.9065833198837883,0.0637,False,0.9946495843042948,0.0039,True,0.9999008415287114
truthfulqa_qwen1.5b_fp32,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8326983665648423,0.8441667203504477,0.0114683537856054,0.0018883297413298536,0.0078081436548018135,0.015257292629541367,0.008397142125188606,0.014632525779451082,0.0,817,0.7801,False,0.9997386074551378,0.0339,True,0.9999999996997979,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b_fp32,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8402520490974383,0.8344586951994715,-0.005793353897966869,0.006684011596948709,-0.018935667853702393,0.007080266491282908,-0.01685810552683265,0.00498592486168316,0.3866,817,0.2658,False,0.0,0.0864,False,0.4510322525208541,0.0181,True,0.8221361368387403,0.0017,True,0.9638658976520791
truthfulqa_qwen1.5b_fp32,B_logprob,0D,LOGPROB,0.7355237314772228,0.6407611211570527,-0.09476261032017008,0.012517533121738514,-0.11933241596490732,-0.07028254398199824,-0.1154603296833356,-0.07430504472732892,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.27542045813745863
truthfulqa_qwen1.5b_fp32,B_hidden,0D,HIDDEN,0.7355237314772228,0.9149738797193662,0.17945014824214334,0.008807224744800824,0.16160251329984462,0.19640379841465552,0.1645673561661691,0.19379225725068125,0.0,817,1.0,False,0.0,1.0,False,0.04648519840297238,1.0,False,0.46869114654507005,1.0,False,0.767414445545362
truthfulqa_qwen1.5b_fp32,B_lookback,0D,LOOKBACK,0.7355237314772228,0.853211064152368,0.1176873326751452,0.00937860822497411,0.09920170969109607,0.13567890257367538,0.10222026130767699,0.13307500198505143,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.37420856771893307,1.0,False,0.6926446801720063
