setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_tinyllama_cuda,T1_reduction,0D,SINK,0.6526699316393229,0.6437544289119371,-0.008915502727385727,0.0064406814125898834,-0.021507507988895676,0.00394699388304529,-0.01944915946180385,0.0019058741042923789,0.1752,817,0.4291,False,0.0,0.1655,False,0.5060832394666204,0.042,True,0.8558219886652496,0.0058,True,0.9746955661060324
truthfulqa_tinyllama_cuda,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.6526699316393229,0.6265047064446005,-0.026165225194722308,0.0066116417776787475,-0.03892551038294269,-0.013145946974407104,-0.036794838566628074,-0.015101372457074214,0.0,817,0.9924,False,0.0,0.9518,False,0.46728823691563126,0.8171,False,0.8324483437353023,0.5607,False,0.9673495488217261
truthfulqa_tinyllama_cuda,T2_topo_beyond_sink,SINK,0D+SINK,0.6437544289119371,0.6625112923209221,0.01875686340898497,0.005447632855582599,0.008013427936640127,0.02927003291440015,0.00966899829060861,0.027572589211208007,0.0014,817,0.9433,False,0.151322456069787,0.7501,False,0.7324127143460206,0.4003,False,0.9572829197608552,0.1241,False,0.9967630930175075
truthfulqa_tinyllama_cuda,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.6437544289119371,0.6865401527216178,0.04278572380968071,0.0074672701024625044,0.027952445658280457,0.0570813151977036,0.030443872483291817,0.05492877036175881,0.0,817,1.0,False,0.0,0.9998,False,0.2840767256443748,0.9988,False,0.6986306582180322,0.9902,False,0.9114487892271586
truthfulqa_tinyllama_cuda,T4_1D_beyond_0D,0D,0D+1D,0.6526699316393229,0.6576482908332572,0.004978359193934301,0.004211723107707584,-0.0032273565556884846,0.013190367182080925,-0.001916211353295688,0.0119346536047785,0.2386,817,0.1214,False,0.5342867045687045,0.0076,True,0.9447155625472567,0.0001,True,0.9980894538883252,0.0,True,0.999982209698935
truthfulqa_tinyllama_cuda,T4b_1D_beyond_sink,SINK,SINK+1D,0.6437544289119371,0.6510159717987862,0.007261542886849104,0.004542352724117964,-0.0016301766770688202,0.01616363715357107,-0.000154983827448884,0.014721141471994282,0.1072,817,0.2741,False,0.4222325129034892,0.0435,True,0.902561334855791,0.0028,True,0.9941870658206216,0.0,True,0.9998861024693189
truthfulqa_tinyllama_cuda,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.6437544289119371,0.6862974520928434,0.0425430231809063,0.01033378491685595,0.022237894557063875,0.062368106440705354,0.02534835780065283,0.05949371450316035,0.0,817,0.9998,False,0.0,0.9959,False,0.0,0.9865,False,0.22860117814237535,0.953,False,0.5613030481401271
truthfulqa_tinyllama_cuda,PH_reduction,PH_0DTOT,PH_SINK,0.8042274853967631,0.8079938395988548,0.003766354202091704,0.003845610939130215,-0.0037005104203964496,0.011317115338230337,-0.002482587728037477,0.010102039134727292,0.338,817,0.053,False,0.6606818829687775,0.0011,True,0.9759103838094982,0.0,True,0.999623284689618,0.0,True,0.9999988025799502
truthfulqa_tinyllama_cuda,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8079938395988548,0.8114890282836121,0.003495188684757289,0.0012189359999584732,0.001101104287860913,0.00587429156135911,0.0014606982287349523,0.005496719796131427,0.0036,817,0.0,True,0.9999999999458384,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama_cuda,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8063084185656992,0.8162471591292141,0.009938740563514847,0.00639223169495053,-0.002568019847518027,0.022602919299044528,-0.00040809661282806774,0.020435243127602132,0.1112,817,0.4964,False,0.0,0.2215,False,0.517161589202217,0.0575,False,0.8621762490112768,0.0103,True,0.9765574033534721
truthfulqa_tinyllama_cuda,B_logprob,0D,LOGPROB,0.6526699316393229,0.6366966347010962,-0.01597329693822669,0.012981439721122605,-0.04099869061512624,0.009453526574969718,-0.03739432410122112,0.005341136707870894,0.2168,817,0.6729,False,0.0,0.5286,False,0.0,0.3792,False,0.0,0.2429,False,0.22126875697240878
truthfulqa_tinyllama_cuda,B_hidden,0D,HIDDEN,0.6526699316393229,0.8828085556466099,0.23013862400728702,0.009376829595713074,0.2118984732332668,0.24844458110920176,0.2147540259090411,0.24545685397062716,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.37449510304288625,1.0,False,0.6928842268770687
truthfulqa_tinyllama_cuda,B_lookback,0D,LOOKBACK,0.6526699316393229,0.8502387305258963,0.19756879888657342,0.009169934914840876,0.1795422845919558,0.21553205371174652,0.18256870150669144,0.2126553396385558,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.4081706379337835,1.0,False,0.7205017091755537
truthfulqa_tinyllama_cuda,B_llmcheck,0D,LLMCHECK,0.6526699316393229,0.6144460807593833,-0.038223850879939514,0.009502533024270976,-0.05671276979845358,-0.019430170384830324,-0.053725379744085686,-0.02247010812163203,0.0002,817,0.9983,False,0.0,0.9916,False,0.0,0.9715,False,0.35437492108760127,0.916,False,0.6758785850321112
truthfulqa_tinyllama_cuda,B_lex,0D,LEX,0.6526699316393229,0.8202756899364634,0.16760575829714053,0.010516704946058912,0.14720838096208322,0.18806096430053532,0.15023730728146825,0.18499780520727682,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.2027306861060738,1.0,False,0.5360247731978318
truthfulqa_tinyllama_cuda,B_rowstat,0D,ROWSTAT,0.6526699316393229,0.6605007722973711,0.007830840658048288,0.00698539522844065,-0.005542563248233322,0.021747437036415632,-0.0033545871167915352,0.019450657613833387,0.2536,817,0.3815,False,0.0,0.1586,False,0.38467269290267536,0.0413,True,0.7768758877277029,0.0075,True,0.9468920282176252
truthfulqa_tinyllama_cuda,B_len,0D,LEN,0.6526699316393229,0.522706741234687,-0.1299631904046359,0.01264928187250328,-0.1546738223401434,-0.10507719977407866,-0.15076997523554703,-0.1090088375988219,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.2597657513722895
truthfulqa_tinyllama_cuda,I_0D_beyond_nontopo,NONTOPO,NONTOPO+0D,0.8845568990650033,0.8846902345956263,0.00013333553062300219,0.00017963735946621037,-0.00022472280442076276,0.0004869368633790916,-0.00016487163084334948,0.0004284714804289047,0.4598,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama_cuda,I_defl_beyond_nontopo,NONTOPO,NONTOPO+DEFL,0.8845568990650033,0.8844804933115002,-7.640575350309486e-05,0.0007306906720344305,-0.0015266543718323116,0.0013544043422438912,-0.0012869875009176189,0.0011415918464573517,0.9114,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
