setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_tinyllama_fp32,T1_reduction,0D,SINK,0.6536736934990689,0.6437544289119371,-0.00991926458713177,0.006520199126180562,-0.022638987309154136,0.0030712491142176413,-0.020514420462359684,0.0010561971807775405,0.137,817,0.4903,False,0.0,0.2163,False,0.48797614434343184,0.0588,False,0.845129684715169,0.0099,True,0.9714311383282175
truthfulqa_tinyllama_fp32,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.6536736934990689,0.6269496575973537,-0.026724035901715237,0.006668836399832243,-0.03966222664343536,-0.013640374597933476,-0.037493801395978056,-0.015631418645101352,0.0,817,0.9932,False,0.0,0.9591,False,0.4544317867122025,0.8356,False,0.8243179514006664,0.5957,False,0.9646151231756133
truthfulqa_tinyllama_fp32,T2_topo_beyond_sink,SINK,0D+SINK,0.6437544289119371,0.6633637408256915,0.019609311913754368,0.005509463672097193,0.008759545101117724,0.030198624996067378,0.010406089089108544,0.028541294313464312,0.0008,817,0.9575,False,0.1351511420106266,0.794,False,0.7188477117384489,0.4657,False,0.9528848688657883,0.1588,False,0.9961816731105122
truthfulqa_tinyllama_fp32,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.6437544289119371,0.6882810053798639,0.04452657646792679,0.007568938724202439,0.029395166062661664,0.05901243316369259,0.03195108833254179,0.05682430721704777,0.0,817,1.0,False,0.0,0.9998,False,0.26383044634348995,0.9996,False,0.6814901321800444,0.9947,False,0.9027066191358775
truthfulqa_tinyllama_fp32,T4_1D_beyond_0D,0D,0D+1D,0.6536736934990689,0.6597501981306059,0.006076504631536972,0.004313158792648912,-0.0023372669811786814,0.014397241003222594,-0.0009914021055029132,0.01309699485684405,0.1564,817,0.1866,False,0.499455187838562,0.0172,True,0.9331789822840861,0.0002,True,0.9972295191059155,0.0,True,0.99996694980119
truthfulqa_tinyllama_fp32,T4b_1D_beyond_sink,SINK,SINK+1D,0.6437544289119371,0.6512107315626176,0.007456302650680424,0.004582285737106152,-0.0014671777362622702,0.01633892094101931,8.764189372401293e-06,0.015026914301209497,0.0994,817,0.2947,False,0.40905241203105636,0.0507,False,0.8966069046945413,0.0028,True,0.993467470587347,0.0002,True,0.9998615599811365
truthfulqa_tinyllama_fp32,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.6437544289119371,0.6874690069798903,0.0437145780679532,0.010394465836980008,0.02336300673119712,0.06369067505232291,0.02654088681611224,0.06047740112571134,0.0,817,0.9998,False,0.0,0.997,False,0.0,0.9888,False,0.21994485357683824,0.9637,False,0.5529082055133132
truthfulqa_tinyllama_fp32,PH_reduction,PH_0DTOT,PH_SINK,0.8043023929982367,0.807222291303677,0.0029198983054402605,0.003910485207214445,-0.004627829072838663,0.010565043019435524,-0.003408370774649416,0.009390416920728284,0.459,817,0.0362,True,0.6384280199220278,0.0005,True,0.9715473032663353,0.0,True,0.9994787683639299,0.0,True,0.9999979478010848
truthfulqa_tinyllama_fp32,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.807222291303677,0.8108702914954403,0.0036480001917633675,0.0008667500861632659,0.0019520546406007673,0.0053409494388671035,0.002224755763765457,0.005072742771791039,0.0,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama_fp32,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8049540891310568,0.8168359328767965,0.01188184374573964,0.0064533304394022994,-0.0006519208556245435,0.024629656818314537,0.0013091601509537811,0.022539847098603936,0.0648,817,0.615,False,0.0,0.3227,False,0.503196361841268,0.1061,False,0.8541427567943853,0.0212,True,0.9741937493647355
