setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_qwen1.5b_cuda,0,0.0,0.0,0.45087256096303463,0.3962664492428303,0.0,0.02978815857316371,0.0,0.1647173071064637,0.9989054117439164,0.9971185437098636,0.18021712700740097,0.9988893057459421
truthfulqa_qwen1.5b_cuda,1,0.037037037037037035,0.0,0.3045460481662303,0.2989586293697357,0.35128518971848227,0.04819844022561304,0.0,0.18281930992394252,0.9995079262289654,0.9974719802774171,0.8955262630813665,0.9988893057459421
truthfulqa_qwen1.5b_cuda,2,0.07407407407407407,0.9944920440636474,0.0,0.0,1.0,0.5455097859387115,1.0,-3.133191072012278e-09,0.9999998710889594,0.9999999367365185,0.9999957640973265,0.9908750750702996
truthfulqa_qwen1.5b_cuda,3,0.1111111111111111,1.0,0.0,0.0,1.0,0.5232996112601738,1.0,-1.4231213753256932e-09,1.0,1.0,1.0,0.9871994537966617
truthfulqa_qwen1.5b_cuda,4,0.14814814814814814,1.0,0.0,0.0,1.0,0.6806173422557505,1.0,0.0,1.0,1.0,1.0,0.9739604137818301
truthfulqa_qwen1.5b_cuda,5,0.18518518518518517,0.9993880048959608,0.0,0.0,1.0,0.5921785335128447,1.0,0.0,0.999999999166378,0.9999999917482415,0.9999999917482415,0.9859053413385196
truthfulqa_qwen1.5b_cuda,6,0.2222222222222222,1.0,0.0,0.0,1.0,0.6807348966371328,1.0,0.0,1.0,1.0,1.0,0.9874149781087236
truthfulqa_qwen1.5b_cuda,7,0.25925925925925924,0.8812729498164015,0.0,0.0,1.0,0.40636920547862354,0.9908200734394125,0.0,0.9999974075699897,0.999998764986818,0.9999772086431477,0.9916807818450997
truthfulqa_qwen1.5b_cuda,8,0.2962962962962963,0.9969400244798041,0.0,0.0,1.0,0.6127174511155004,1.0,-1.5818606569479093e-09,0.9999999968805701,0.9999999724941385,0.9999999917482415,0.9687993279093571
truthfulqa_qwen1.5b_cuda,9,0.3333333333333333,1.0,0.0,0.0,1.0,0.6158672258359289,1.0,0.0,0.9999999999999996,1.0,1.0,0.9767927134785875
truthfulqa_qwen1.5b_cuda,10,0.37037037037037035,0.9951040391676866,0.0,0.0,1.0,0.5556511760861107,1.0,1.609557693834346e-09,0.9999998513780701,0.9999991143112592,0.999995010436721,0.9814397187021083
truthfulqa_qwen1.5b_cuda,11,0.4074074074074074,0.8837209302325582,0.0,0.0,1.0,0.47473423172642903,0.9865361077111383,5.998542180945965e-10,0.9999935956023056,0.9999949114156195,0.9999448259923844,0.9912366065782877
