setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_qwen1.5b_fp32,0,0.0,0.0,0.44222222454845905,0.42530530132353306,0.0,0.0292579921497745,0.0,0.16229470656783918,0.9988987411404925,0.9972123524505649,0.22114618451513654,0.9988893057459421
truthfulqa_qwen1.5b_fp32,1,0.037037037037037035,0.0,0.3062263618921861,0.2982681021094322,0.3537331701346389,0.04820316654574766,0.0,0.1771721019059415,0.9995034419410075,0.9973654610781093,0.8890834551149621,0.9988893057459421
truthfulqa_qwen1.5b_fp32,2,0.07407407407407407,0.9957160342717258,0.0,0.0,1.0,0.5402094480012294,1.0,-1.9550670691957463e-09,0.999999967483904,0.9999999697435524,0.9999989272714008,0.9905371546880103
truthfulqa_qwen1.5b_fp32,3,0.1111111111111111,0.9987760097919217,0.0,0.0,1.0,0.517962137784623,1.0,0.0,0.9999999760096581,0.9999999504894492,0.9999992793464283,0.9877989153439016
truthfulqa_qwen1.5b_fp32,4,0.14814814814814814,1.0,0.0,0.0,1.0,0.6786057501927653,1.0,0.0,1.0,1.0,1.0,0.9733433798515183
truthfulqa_qwen1.5b_fp32,5,0.18518518518518517,1.0,0.0,0.0,1.0,0.5954162004479802,1.0,0.0,0.9999999999999993,1.0,1.0,0.9858578093021035
truthfulqa_qwen1.5b_fp32,6,0.2222222222222222,1.0,0.0,0.0,1.0,0.6817521446373108,1.0,0.0,0.9999999999999994,1.0,1.0,0.9866830118807345
truthfulqa_qwen1.5b_fp32,7,0.25925925925925924,0.8843329253365974,0.0,0.0,1.0,0.40975305766378894,0.996328029375765,-8.823079152671993e-10,0.9999975988257431,0.9999986357092687,0.9999794751261366,0.9914292625697029
truthfulqa_qwen1.5b_fp32,8,0.2962962962962963,0.9993880048959608,0.0,0.0,1.0,0.6155746348893062,1.0,0.0,0.9999999956030136,1.0,0.9999999972494138,0.9685577300154863
truthfulqa_qwen1.5b_fp32,9,0.3333333333333333,0.9987760097919217,0.0,0.0,1.0,0.6202134586091205,1.0,0.0,0.9999998759611657,0.9999996864331788,0.9999981048461416,0.9756878686688927
truthfulqa_qwen1.5b_fp32,10,0.37037037037037035,0.9944920440636474,0.0,0.0,1.0,0.5593749751433956,1.0,0.0,0.99999981267354,0.9999988640079194,0.9999925789185629,0.9813692143855428
truthfulqa_qwen1.5b_fp32,11,0.4074074074074074,0.8947368421052632,0.0,0.0,1.0,0.4838231484131837,0.9871481028151775,5.353866017804993e-10,0.9999941655911598,0.9999940257268787,0.9999465671134184,0.991077890633499
truthfulqa_qwen1.5b_fp32,12,0.4444444444444444,0.05997552019583843,0.03575998544692993,0.03575998544692993,1.0,0.618161121493721,1.0,0.0022217733697954527,0.9999797107559892,0.9999601495078352,0.9996675256495081,0.9640712774344311
truthfulqa_qwen1.5b_fp32,13,0.48148148148148145,0.32864137086903306,0.028483614325523376,0.028483614325523376,1.0,0.4384967036429432,0.9277845777233782,0.0013445599732691237,0.9998679589400448,0.9998237699452651,0.9976829309811439,0.9875123986223485
