Benchmark,Comparison,auc_A,auc_B,delta_obs,ci95_low,ci95_high,bootstrap_se,n_groups,tost_p_eps0.01,equivalent_eps0.01,tost_p_eps0.015,equivalent_eps0.015,tost_p_eps0.02,equivalent_eps0.02,tost_p_eps0.025,equivalent_eps0.025
HaluEval (Qwen2.5-3B),0D vs 0D+1D (Z/N default),0.821771,0.8373605,0.015589499999999923,0.010547931250000253,0.020450637499999924,0.0025534590981332855,2000,0.9847,REJECTED,0.5815,REJECTED,0.0379,CONFIRMED,0.0001,CONFIRMED
HaluEval (Qwen2.5-3B),0D vs 0D+1D (alpha-hat calibrated),0.821771,0.8375490000000001,0.01577800000000007,0.010781956250000068,0.020763831249999972,0.002554914117352364,2000,0.9883,REJECTED,0.6181,REJECTED,0.0468,CONFIRMED,0.0002,CONFIRMED
HaluEval (Qwen2.5-1.5B),0D vs 0D+1D (Z/N default),0.903752,0.9196279999999999,0.01587599999999989,0.006171699999999853,0.025964299999999982,0.005042434108173327,500,0.8795,REJECTED,0.5649,REJECTED,0.2036,REJECTED,0.0378,CONFIRMED
HaluEval (Qwen2.5-1.5B),0D vs 0D+1D (alpha-hat calibrated),0.903752,0.91966,0.015908000000000033,0.005907800000000021,0.026320300000000005,0.005174628612109416,500,0.8777,REJECTED,0.5639,REJECTED,0.2133,REJECTED,0.0427,CONFIRMED
TruthfulQA (Qwen2.5-3B),0D vs 0D+1D (Z/N default),0.7558701341894773,0.7585967708831157,0.0027266366936383735,-0.006296920248873008,0.011645210632684552,0.0046067639125165,817,0.0542,REJECTED,0.0036,CONFIRMED,0.0003,CONFIRMED,0.0,CONFIRMED
TruthfulQA (Qwen2.5-3B),0D vs 0D+1D (alpha-hat calibrated),0.7558701341894773,0.7570926262455261,0.0012224920560487407,-0.007988146621142778,0.010449872582169846,0.004711402708038095,817,0.0306,CONFIRMED,0.0021,CONFIRMED,0.0001,CONFIRMED,0.0,CONFIRMED
TruthfulQA (SmolLM-1.7B),0D vs 0D+1D (Z/N default),0.5802747311191645,0.5853160126983366,0.005041281579172052,-0.005973169595304151,0.016018278952911642,0.005632835576963679,817,0.1878,REJECTED,0.038,CONFIRMED,0.0034,CONFIRMED,0.0,CONFIRMED
TruthfulQA (SmolLM-1.7B),0D vs 0D+1D (alpha-hat calibrated),0.5802747311191645,0.583420850381055,0.0031461192618904565,-0.007065434786191185,0.013125309930201112,0.005142687273169956,817,0.0932,REJECTED,0.0097,CONFIRMED,0.0004,CONFIRMED,0.0,CONFIRMED
TruthfulQA (Phi-3-mini-3.8B),0D vs 0D+1D (Z/N default),0.6472391305324882,0.6454188758166801,-0.001820254715808045,-0.005838485727854875,0.0022803372040587694,0.0020634783080288356,817,0.0001,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED
TruthfulQA (Phi-3-mini-3.8B),0D vs 0D+1D (alpha-hat calibrated),0.6472391305324882,0.6461289998786497,-0.0011101306538384703,-0.005155178587212606,0.003161138235985752,0.0021432200089521332,817,0.0,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED
TruthfulQA (Mistral-7B),0D vs 0D+1D (Z/N default),0.6839798109032508,0.6837236269062111,-0.00025618399703963846,-0.0006427072206434126,0.00012884107453459414,0.00019825466035617185,817,0.0,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED
TruthfulQA (Mistral-7B),0D vs 0D+1D (alpha-hat calibrated),0.6839798109032508,0.6837236269062111,-0.00025618399703963846,-0.0006427072206434126,0.00012884107453459414,0.00019825466035617185,817,0.0,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED,0.0,CONFIRMED
TruthfulQA (TinyLlama-1.1B),0D vs 0D+1D (Z/N default),0.6536512212186268,0.658638569324738,0.0049873481061111224,-0.0034667612499981264,0.013324601603921687,0.004303669390906376,817,0.118,REJECTED,0.011,CONFIRMED,0.0005,CONFIRMED,0.0,CONFIRMED
TruthfulQA (TinyLlama-1.1B),0D vs 0D+1D (alpha-hat calibrated),0.6536512212186268,0.6578969840701496,0.004245762851522783,-0.004009354461271896,0.01251556205420612,0.004240063548230104,817,0.0878,REJECTED,0.0064,CONFIRMED,0.0004,CONFIRMED,0.0,CONFIRMED
