example_id,label,seq_len,msp_score,layer_0_mtop_div,layer_0_h0_max_lifetime,layer_0_h0_total_persistence,layer_0_h1_max_lifetime,layer_0_h1_total_persistence,layer_0_h1_max_birth,layer_0_h1_max_death,layer_1_mtop_div,layer_1_h0_max_lifetime,layer_1_h0_total_persistence,layer_1_h1_max_lifetime,layer_1_h1_total_persistence,layer_1_h1_max_birth,layer_1_h1_max_death,layer_2_mtop_div,layer_2_h0_max_lifetime,layer_2_h0_total_persistence,layer_2_h1_max_lifetime,layer_2_h1_total_persistence,layer_2_h1_max_birth,layer_2_h1_max_death,layer_3_mtop_div,layer_3_h0_max_lifetime,layer_3_h0_total_persistence,layer_3_h1_max_lifetime,layer_3_h1_total_persistence,layer_3_h1_max_birth,layer_3_h1_max_death,layer_4_mtop_div,layer_4_h0_max_lifetime,layer_4_h0_total_persistence,layer_4_h1_max_lifetime,layer_4_h1_total_persistence,layer_4_h1_max_birth,layer_4_h1_max_death,layer_5_mtop_div,layer_5_h0_max_lifetime,layer_5_h0_total_persistence,layer_5_h1_max_lifetime,layer_5_h1_total_persistence,layer_5_h1_max_birth,layer_5_h1_max_death,layer_6_mtop_div,layer_6_h0_max_lifetime,layer_6_h0_total_persistence,layer_6_h1_max_lifetime,layer_6_h1_total_persistence,layer_6_h1_max_birth,layer_6_h1_max_death,layer_7_mtop_div,layer_7_h0_max_lifetime,layer_7_h0_total_persistence,layer_7_h1_max_lifetime,layer_7_h1_total_persistence,layer_7_h1_max_birth,layer_7_h1_max_death,layer_8_mtop_div,layer_8_h0_max_lifetime,layer_8_h0_total_persistence,layer_8_h1_max_lifetime,layer_8_h1_total_persistence,layer_8_h1_max_birth,layer_8_h1_max_death,layer_9_mtop_div,layer_9_h0_max_lifetime,layer_9_h0_total_persistence,layer_9_h1_max_lifetime,layer_9_h1_total_persistence,layer_9_h1_max_birth,layer_9_h1_max_death,layer_10_mtop_div,layer_10_h0_max_lifetime,layer_10_h0_total_persistence,layer_10_h1_max_lifetime,layer_10_h1_total_persistence,layer_10_h1_max_birth,layer_10_h1_max_death,layer_11_mtop_div,layer_11_h0_max_lifetime,layer_11_h0_total_persistence,layer_11_h1_max_lifetime,layer_11_h1_total_persistence,layer_11_h1_max_birth,layer_11_h1_max_death,layer_12_mtop_div,layer_12_h0_max_lifetime,layer_12_h0_total_persistence,layer_12_h1_max_lifetime,layer_12_h1_total_persistence,layer_12_h1_max_birth,layer_12_h1_max_death,layer_13_mtop_div,layer_13_h0_max_lifetime,layer_13_h0_total_persistence,layer_13_h1_max_lifetime,layer_13_h1_total_persistence,layer_13_h1_max_birth,layer_13_h1_max_death,layer_14_mtop_div,layer_14_h0_max_lifetime,layer_14_h0_total_persistence,layer_14_h1_max_lifetime,layer_14_h1_total_persistence,layer_14_h1_max_birth,layer_14_h1_max_death,layer_15_mtop_div,layer_15_h0_max_lifetime,layer_15_h0_total_persistence,layer_15_h1_max_lifetime,layer_15_h1_total_persistence,layer_15_h1_max_birth,layer_15_h1_max_death,layer_16_mtop_div,layer_16_h0_max_lifetime,layer_16_h0_total_persistence,layer_16_h1_max_lifetime,layer_16_h1_total_persistence,layer_16_h1_max_birth,layer_16_h1_max_death,layer_17_mtop_div,layer_17_h0_max_lifetime,layer_17_h0_total_persistence,layer_17_h1_max_lifetime,layer_17_h1_total_persistence,layer_17_h1_max_birth,layer_17_h1_max_death,layer_18_mtop_div,layer_18_h0_max_lifetime,layer_18_h0_total_persistence,layer_18_h1_max_lifetime,layer_18_h1_total_persistence,layer_18_h1_max_birth,layer_18_h1_max_death,layer_19_mtop_div,layer_19_h0_max_lifetime,layer_19_h0_total_persistence,layer_19_h1_max_lifetime,layer_19_h1_total_persistence,layer_19_h1_max_birth,layer_19_h1_max_death,layer_20_mtop_div,layer_20_h0_max_lifetime,layer_20_h0_total_persistence,layer_20_h1_max_lifetime,layer_20_h1_total_persistence,layer_20_h1_max_birth,layer_20_h1_max_death,layer_21_mtop_div,layer_21_h0_max_lifetime,layer_21_h0_total_persistence,layer_21_h1_max_lifetime,layer_21_h1_total_persistence,layer_21_h1_max_birth,layer_21_h1_max_death
0,grounded,44,0.763671875,13.073836147785187,0.9538122415542603,37.962973058223724,0.01493602991104126,0.023602843284606934,0.9423458576202393,0.9572818875312805,12.118471920490265,0.8984684944152832,32.93550926446915,0.023322701454162598,0.05908036231994629,0.8328673839569092,0.8561900854110718,10.857240200042725,0.8485097289085388,29.052482306957245,0.0,0.0,0.0,0.0,1.8734130859375,0.4397926330566406,6.6697845458984375,0.0,0.0,0.0,0.0,1.40301513671875,0.34332847595214844,4.9679635763168335,0.0,0.0,0.0,0.0,1.9372367858886719,0.3696136474609375,6.196904182434082,0.0,0.0,0.0,0.0,3.1294593811035156,0.4523811340332031,9.332536578178406,0.0,0.0,0.0,0.0,3.7566728591918945,0.4770393371582031,11.08228588104248,0.0,0.0,0.0,0.0,4.328144073486328,0.5330276489257812,12.893266916275024,0.0,0.0,0.0,0.0,6.29656982421875,0.6940727233886719,19.338605880737305,0.0,0.0,0.0,0.0,6.964306831359863,0.5970935821533203,19.31175708770752,0.0,0.0,0.0,0.0,6.294570446014404,0.6509685516357422,17.808997631072998,0.0,0.0,0.0,0.0,7.6732940673828125,0.7538537979125977,21.769070148468018,0.0,0.0,0.0,0.0,7.524219036102295,0.7196044921875,21.010509967803955,0.0,0.0,0.0,0.0,8.192251443862915,0.7774211168289185,22.00450360774994,0.0,0.0,0.0,0.0,6.807282447814941,0.6604223251342773,19.529789924621582,0.0,0.0,0.0,0.0,6.831549644470215,0.7053060531616211,19.309573233127594,0.0,0.0,0.0,0.0,6.2896857261657715,0.6194319725036621,17.875545501708984,0.000621795654296875,0.000621795654296875,0.5856285095214844,0.5862503051757812,5.4869105219841,0.6801309585571289,16.565549850463867,0.0,0.0,0.0,0.0,5.2066545486450195,0.6180124282836914,16.053486824035645,0.02855968475341797,0.03777122497558594,0.5698051452636719,0.5983648300170898,4.975419044494629,0.6147994995117188,16.261592864990234,0.06049489974975586,0.23633098602294922,0.6217212677001953,0.6822161674499512,5.288296699523926,0.6679267883300781,17.445800304412842,0.19830799102783203,0.8803629875183105,0.5934181213378906,0.7917261123657227
0,hallucinated,41,0.72412109375,10.245751082897186,0.9470981359481812,35.134887993335724,0.01493602991104126,0.03008180856704712,0.9423458576202393,0.9572818875312805,9.446033298969269,0.8891613483428955,30.263191044330597,0.029514551162719727,0.08148074150085449,0.8672579526901245,0.8967725038528442,8.482017993927002,0.8446431159973145,26.67145001888275,0.0,0.0,0.0,0.0,1.4625473022460938,0.4397010803222656,6.258846282958984,0.0,0.0,0.0,0.0,1.2428131103515625,0.34326934814453125,4.807454466819763,0.0,0.0,0.0,0.0,1.6084442138671875,0.3694915771484375,5.8684282302856445,0.0,0.0,0.0,0.0,2.382659912109375,0.4522819519042969,8.585795283317566,0.0,0.0,0.0,0.0,2.6804418563842773,0.47693634033203125,10.005030632019043,0.0,0.0,0.0,0.0,3.3115196228027344,0.5330276489257812,11.876477718353271,0.0,0.0,0.0,0.0,4.786415100097656,0.6939458847045898,17.827905654907227,0.0,0.0,0.0,0.0,5.486854076385498,0.5970230102539062,17.83511209487915,0.0,0.0,0.0,0.0,5.041435956954956,0.6512012481689453,16.555580854415894,0.0,0.0,0.0,0.0,6.123517751693726,0.7538251876831055,20.21805715560913,0.0,0.0,0.0,0.0,6.189767837524414,0.7193727493286133,19.67539405822754,0.0,0.0,0.0,0.0,6.376895427703857,0.7775596380233765,20.18830955028534,0.0,0.0,0.0,0.0,5.479773998260498,0.6603298187255859,18.202439785003662,0.0,0.0,0.0,0.0,5.425135135650635,0.6779093742370605,17.903029024600983,0.0,0.0,0.0,0.0,4.958810806274414,0.5882158279418945,16.544703006744385,0.0006103515625,0.0006103515625,0.5856399536132812,0.5862503051757812,4.528581619262695,0.6800904273986816,15.608007252216339,0.0,0.0,0.0,0.0,4.411309242248535,0.6181912422180176,15.257606267929077,0.028479576110839844,0.03766822814941406,0.56988525390625,0.5983648300170898,4.2089056968688965,0.6148872375488281,15.494300603866577,0.06049489974975586,0.23648357391357422,0.6217212677001953,0.6822161674499512,4.581588506698608,0.6676359176635742,16.737356424331665,0.19826602935791016,0.8800191879272461,0.5934600830078125,0.7917261123657227
1,grounded,31,0.8330078125,7.290952742099762,0.9273721575737,25.6701318025589,0.024067401885986328,0.029021143913269043,0.9174715280532837,0.94153892993927,6.754889667034149,0.8843536376953125,22.2542342543602,0.019496440887451172,0.024422943592071533,0.8546987771987915,0.8741952180862427,6.142171382904053,0.8446693420410156,20.111963152885437,0.0,0.0,0.0,0.0,1.2224464416503906,0.4184093475341797,5.021236419677734,0.0,0.0,0.0,0.0,0.8304824829101562,0.3399238586425781,3.680928587913513,0.0,0.0,0.0,0.0,1.2426795959472656,0.36483001708984375,4.708896636962891,0.0,0.0,0.0,0.0,1.8451194763183594,0.4367036819458008,6.830199360847473,0.0,0.0,0.0,0.0,2.083615779876709,0.4528007507324219,7.903314113616943,0.0,0.0,0.0,0.0,2.713376998901367,0.5330810546875,9.413645029067993,0.0,0.0,0.0,0.0,3.9883785247802734,0.6860761642456055,14.261399269104004,0.0,0.0,0.0,0.0,4.206174850463867,0.6007347106933594,13.513446807861328,0.0,0.0,0.0,0.0,4.317678928375244,0.63201904296875,13.438658237457275,0.0,0.0,0.0,0.0,4.785839080810547,0.7226204872131348,15.442051649093628,0.0,0.0,0.0,0.0,5.0785980224609375,0.7517528533935547,15.584171295166016,0.0,0.0,0.0,0.0,5.232880353927612,0.7179625034332275,16.01319932937622,0.0,0.0,0.0,0.0,4.333924770355225,0.6287364959716797,14.358606815338135,0.0,0.0,0.0,0.0,4.289067983627319,0.6327652931213379,13.994469225406647,0.0,0.0,0.0,0.0,4.134586334228516,0.589080810546875,13.467503547668457,0.0,0.0,0.0,0.0,4.258993148803711,0.6592082977294922,13.648870825767517,0.0,0.0,0.0,0.0,3.961641311645508,0.6073188781738281,12.649783372879028,0.0,0.0,0.0,0.0,3.7406235337257385,0.6164665222167969,12.978739082813263,0.07230591773986816,0.3003273010253906,0.6099371910095215,0.6822431087493896,3.7924957275390625,0.6667251586914062,13.848268270492554,0.1594029664993286,0.8735949993133545,0.63238525390625,0.7917882204055786
1,hallucinated,31,0.84423828125,7.3601290583610535,0.9352394938468933,25.73930811882019,0.024067401885986328,0.029021143913269043,0.9174715280532837,0.94153892993927,6.770200848579407,0.8763818740844727,22.261415123939514,0.02725517749786377,0.03432255983352661,0.8469400405883789,0.8741952180862427,6.114165306091309,0.8446693420410156,20.083957076072693,0.0,0.0,0.0,0.0,1.2470855712890625,0.4184093475341797,5.045875549316406,0.0,0.0,0.0,0.0,0.7727622985839844,0.3399238586425781,3.6232084035873413,0.0,0.0,0.0,0.0,1.172698974609375,0.36483001708984375,4.638916015625,0.0,0.0,0.0,0.0,1.6759147644042969,0.4367036819458008,6.660994648933411,0.0,0.0,0.0,0.0,1.9369947910308838,0.4528007507324219,7.756693124771118,0.0,0.0,0.0,0.0,2.5877227783203125,0.5330810546875,9.287990808486938,0.0,0.0,0.0,0.0,3.6035385131835938,0.6860761642456055,13.876559257507324,0.0,0.0,0.0,0.0,3.832120895385742,0.5848979949951172,13.139392852783203,0.0,0.0,0.0,0.0,3.758810043334961,0.63201904296875,12.879789352416992,0.0,0.0,0.0,0.0,4.276393890380859,0.7226204872131348,14.93260645866394,0.0,0.0,0.0,0.0,4.705714464187622,0.7517528533935547,15.2112877368927,0.0,0.0,0.0,0.0,4.7462522983551025,0.7179625034332275,15.526571273803711,0.0,0.0,0.0,0.0,3.9434168338775635,0.6287364959716797,13.968098878860474,0.0,0.0,0.0,0.0,4.014378547668457,0.6327652931213379,13.719779789447784,0.0,0.0,0.0,0.0,3.812376022338867,0.6136722564697266,13.145293235778809,0.0,0.0,0.0,0.0,3.5738523602485657,0.6592082977294922,12.963730037212372,0.0,0.0,0.0,0.0,3.3007659912109375,0.5998015403747559,11.988908052444458,0.0,0.0,0.0,0.0,3.3161749839782715,0.6164665222167969,12.554290533065796,0.07230591773986816,0.3003273010253906,0.6099371910095215,0.6822431087493896,3.3497519493103027,0.6667251586914062,13.405524492263794,0.1594029664993286,0.793968915939331,0.63238525390625,0.7917882204055786
2,grounded,41,0.69580078125,16.591212511062622,0.9462670683860779,34.9348304271698,0.02260911464691162,0.03188943862915039,0.9172976016998291,0.9399067163467407,15.266426980495453,0.8800714612007141,30.681389212608337,0.012115955352783203,0.017460942268371582,0.8564255237579346,0.8685414791107178,13.382236957550049,0.8446431159973145,27.03958261013031,0.0,0.0,0.0,0.0,2.7846527099609375,0.4245166778564453,6.558950424194336,0.0,0.0,0.0,0.0,2.0187149047851562,0.3403186798095703,4.915737986564636,0.0,0.0,0.0,0.0,2.654468536376953,0.3643627166748047,6.109079360961914,0.0,0.0,0.0,0.0,3.7239456176757812,0.4397401809692383,8.855570197105408,0.0,0.0,0.0,0.0,4.306473731994629,0.4718170166015625,10.18395709991455,0.0,0.0,0.0,0.0,5.688972473144531,0.5330276489257812,12.192497968673706,0.0,0.0,0.0,0.0,8.180564880371094,0.6848659515380859,18.30789089202881,0.0,0.0,0.0,0.0,8.742162704467773,0.5875911712646484,17.789203643798828,0.0,0.0,0.0,0.0,7.79372501373291,0.6315040588378906,16.64692497253418,0.0,0.0,0.0,0.0,9.272525787353516,0.7337989807128906,19.90227460861206,0.0,0.0,0.0,0.0,9.42382550239563,0.6857089996337891,19.759195566177368,0.0,0.0,0.0,0.0,9.768822193145752,0.6913976669311523,20.285333156585693,0.0,0.0,0.0,0.0,8.085795998573303,0.6282100677490234,17.889838814735413,0.0,0.0,0.0,0.0,8.058145523071289,0.6186192035675049,17.70263159275055,0.0,0.0,0.0,0.0,7.311188220977783,0.6050033569335938,16.34017562866211,0.0,0.0,0.0,0.0,6.512203216552734,0.6576595306396484,15.599275827407837,0.0,0.0,0.0,0.0,6.193878173828125,0.596280574798584,14.690051317214966,0.02152538299560547,0.02152538299560547,0.5768394470214844,0.5983648300170898,6.260248422622681,0.62017822265625,15.046613216400146,0.06049489974975586,0.18332433700561523,0.6217212677001953,0.6822161674499512,6.411654472351074,0.6747474670410156,16.023881435394287,0.18533039093017578,0.8090763092041016,0.6063957214355469,0.7917261123657227
2,hallucinated,37,0.73974609375,12.921990096569061,0.9417124390602112,31.26560801267624,0.02260911464691162,0.029349803924560547,0.9172976016998291,0.9399067163467407,11.994054794311523,0.8981589078903198,27.40902465581894,0.012115955352783203,0.017460942268371582,0.8564255237579346,0.8685414791107178,10.672132730484009,0.8446431159973145,24.32958698272705,0.0,0.0,0.0,0.0,1.95184326171875,0.42455101013183594,5.726541519165039,0.0,0.0,0.0,0.0,1.3823165893554688,0.3404045104980469,4.279202342033386,0.0,0.0,0.0,0.0,1.8350753784179688,0.36431312561035156,5.289735794067383,0.0,0.0,0.0,0.0,2.7461776733398438,0.43955421447753906,7.8775506019592285,0.0,0.0,0.0,0.0,3.32320499420166,0.4720573425292969,9.20058536529541,0.0,0.0,0.0,0.0,4.286705017089844,0.5330276489257812,10.790569067001343,0.0,0.0,0.0,0.0,6.144107818603516,0.6848864555358887,16.27201795578003,0.0,0.0,0.0,0.0,6.708245754241943,0.5991654396057129,15.755685329437256,0.0,0.0,0.0,0.0,5.813262939453125,0.6314811706542969,14.66671371459961,0.0,0.0,0.0,0.0,7.118785381317139,0.7338204383850098,17.74948000907898,0.0,0.0,0.0,0.0,6.965082883834839,0.6858530044555664,17.301003217697144,0.0,0.0,0.0,0.0,7.294641733169556,0.6913723945617676,17.81141686439514,0.0,0.0,0.0,0.0,6.210581421852112,0.6283721923828125,16.014316201210022,0.0,0.0,0.0,0.0,6.163483619689941,0.6186929941177368,15.80828082561493,0.0,0.0,0.0,0.0,5.629995346069336,0.6048069000244141,14.659030437469482,0.0,0.0,0.0,0.0,4.658587455749512,0.6580524444580078,13.747649610042572,0.0,0.0,0.0,0.0,4.392766952514648,0.5964250564575195,12.890271425247192,0.02152538299560547,0.02152538299560547,0.5768394470214844,0.5983648300170898,4.3806047439575195,0.6201095581054688,13.167491674423218,0.06049489974975586,0.18351459503173828,0.6217212677001953,0.6822161674499512,4.646392822265625,0.6749114990234375,14.258673191070557,0.18552875518798828,0.8083047866821289,0.6061973571777344,0.7917261123657227
3,grounded,46,0.8046875,14.933864116668701,0.9530980587005615,39.821141600608826,0.013598620891571045,0.02209693193435669,0.943436861038208,0.957035481929779,13.937498271465302,0.90062415599823,34.999278128147125,0.028355002403259277,0.07007753849029541,0.8353805541992188,0.863735556602478,13.007182657718658,0.8713350296020508,32.15062338113785,0.0,0.0,0.0,0.0,2.3766822814941406,0.4364948272705078,7.329538345336914,0.0,0.0,0.0,0.0,1.7559070587158203,0.3478660583496094,5.244585990905762,0.0,0.0,0.0,0.0,2.420215606689453,0.3751239776611328,7.016546249389648,0.0,0.0,0.0,0.0,3.6110401153564453,0.43631839752197266,9.960460901260376,0.0,0.0,0.0,0.0,4.257067441940308,0.48680877685546875,11.698498487472534,0.0,0.0,0.0,0.0,5.612236022949219,0.5330276489257812,14.492410898208618,0.0,0.0,0.0,0.0,7.313554763793945,0.6931209564208984,20.787376403808594,0.0,0.0,0.0,0.0,8.215611934661865,0.5824909210205078,20.669545650482178,0.0,0.0,0.0,0.0,7.0164101123809814,0.6473064422607422,18.771741151809692,0.0,0.0,0.0,0.0,8.649906158447266,0.7495942115783691,22.799423217773438,0.0,0.0,0.0,0.0,8.68610668182373,0.7429180145263672,22.251185417175293,0.0,0.0,0.0,0.0,9.082009673118591,0.6752204895019531,23.022343039512634,0.0,0.0,0.0,0.0,8.304770231246948,0.6464982032775879,21.322815656661987,0.0,0.0,0.0,0.0,8.090510904788971,0.6377983093261719,20.72390776872635,0.0,0.0,0.0,0.0,7.23214054107666,0.6196131706237793,19.20116376876831,0.0,0.0,0.0,0.0,6.697413802146912,0.6697945594787598,18.098091661930084,0.0,0.0,0.0,0.0,6.178778648376465,0.606144905090332,17.185969591140747,0.020247459411621094,0.020247459411621094,0.5781173706054688,0.5983648300170898,5.922143578529358,0.6041278839111328,17.51307475566864,0.0628056526184082,0.305544376373291,0.619410514831543,0.6822161674499512,6.312182426452637,0.64678955078125,18.94951868057251,0.20024585723876953,0.9190175533294678,0.5914802551269531,0.7917261123657227
3,hallucinated,45,0.80224609375,13.976885616779327,0.9436026811599731,38.86416310071945,0.013598620891571045,0.02209693193435669,0.943436861038208,0.957035481929779,13.047748982906342,0.9018270969390869,34.109528839588165,0.028355002403259277,0.07007753849029541,0.8353805541992188,0.863735556602478,12.230809986591339,0.8713350296020508,31.37425071001053,0.0,0.0,0.0,0.0,2.3096885681152344,0.4364948272705078,7.262544631958008,0.0,0.0,0.0,0.0,1.6770191192626953,0.3478660583496094,5.165698051452637,0.0,0.0,0.0,0.0,2.3080711364746094,0.3751239776611328,6.904401779174805,0.0,0.0,0.0,0.0,3.481569290161133,0.43631839752197266,9.830990076065063,0.0,0.0,0.0,0.0,4.163408041000366,0.48680877685546875,11.604839086532593,0.0,0.0,0.0,0.0,5.346076965332031,0.5330276489257812,14.22625184059143,0.0,0.0,0.0,0.0,6.924371719360352,0.6931209564208984,20.398193359375,0.0,0.0,0.0,0.0,7.799380779266357,0.5824909210205078,20.25331449508667,0.0,0.0,0.0,0.0,6.677260637283325,0.6473064422607422,18.432591676712036,0.0,0.0,0.0,0.0,8.201723098754883,0.7495942115783691,22.351240158081055,0.0,0.0,0.0,0.0,8.326521396636963,0.7429180145263672,21.891600131988525,0.0,0.0,0.0,0.0,8.733703017234802,0.6752204895019531,22.674036383628845,0.0,0.0,0.0,0.0,7.989521265029907,0.6464982032775879,21.007566690444946,0.0,0.0,0.0,0.0,7.820928871631622,0.6377983093261719,20.454325735569,0.0,0.0,0.0,0.0,6.947022438049316,0.6196131706237793,18.916045665740967,0.0,0.0,0.0,0.0,6.510886549949646,0.6697945594787598,17.91156440973282,0.0,0.0,0.0,0.0,5.945537567138672,0.606144905090332,16.952728509902954,0.020247459411621094,0.020247459411621094,0.5781173706054688,0.5983648300170898,5.813022255897522,0.6041278839111328,17.403953433036804,0.0628056526184082,0.305544376373291,0.619410514831543,0.6822161674499512,6.133780479431152,0.64678955078125,18.771116733551025,0.20024585723876953,0.9190175533294678,0.5914802551269531,0.7917261123657227
4,grounded,45,0.6826171875,14.847314774990082,0.9476237893104553,38.82726937532425,0.018699228763580322,0.0261194109916687,0.9358854293823242,0.9545846581459045,13.710448324680328,0.8852855563163757,33.34713238477707,0.02613210678100586,0.07341963052749634,0.8670365810394287,0.8931686878204346,12.80222463607788,0.8453865051269531,30.50035333633423,0.0,0.0,0.0,0.0,2.3912811279296875,0.43743133544921875,7.1128082275390625,0.0,0.0,0.0,0.0,1.8899650573730469,0.35050010681152344,5.459785461425781,0.0,0.0,0.0,0.0,2.5683469772338867,0.3700981140136719,6.959437370300293,0.0,0.0,0.0,0.0,3.8895483016967773,0.45781803131103516,10.535670280456543,0.0,0.0,0.0,0.0,4.161609649658203,0.4779548645019531,11.349943161010742,0.0,0.0,0.0,0.0,5.053627014160156,0.5330276489257812,13.252358198165894,0.0,0.0,0.0,0.0,8.02542495727539,0.6976828575134277,21.059990406036377,0.0,0.0,0.0,0.0,8.616378784179688,0.5881309509277344,20.751874923706055,0.0,0.0,0.0,0.0,8.275855541229248,0.6520004272460938,19.72494077682495,0.0,0.0,0.0,0.0,9.230225563049316,0.7329273223876953,22.774285793304443,0.0,0.0,0.0,0.0,9.560555458068848,0.7508325576782227,23.401269912719727,0.0,0.0,0.0,0.0,10.230130910873413,0.756777286529541,24.309366464614868,0.0,0.0,0.0,0.0,8.030920505523682,0.6374311447143555,20.874735355377197,0.0,0.0,0.0,0.0,7.879848957061768,0.6439580917358398,20.318161368370056,0.0,0.0,0.0,0.0,7.708099365234375,0.6464066505432129,19.64792013168335,0.0,0.0,0.0,0.0,7.026244163513184,0.6924772262573242,18.466796576976776,0.0,0.0,0.0,0.0,6.560525894165039,0.6390833854675293,17.773255109786987,0.0030355453491210938,0.0030355453491210938,0.5953292846679688,0.5983648300170898,6.681267023086548,0.6122932434082031,18.325605869293213,0.06905078887939453,0.30879878997802734,0.6131653785705566,0.6822161674499512,7.225862503051758,0.6851410865783691,19.70414638519287,0.18804264068603516,0.9196438789367676,0.6036834716796875,0.7917261123657227
4,hallucinated,43,0.7265625,12.970545411109924,0.9459257125854492,36.95050001144409,0.018699228763580322,0.0261194109916687,0.9358854293823242,0.9545846581459045,12.002776145935059,0.886460542678833,31.640088319778442,0.02402019500732422,0.06689441204071045,0.8691484928131104,0.8931686878204346,11.176707029342651,0.8453865051269531,28.874835729599,0.0,0.0,0.0,0.0,1.9261932373046875,0.43743133544921875,6.6477203369140625,0.0,0.0,0.0,0.0,1.5993576049804688,0.35050010681152344,5.169178009033203,0.0,0.0,0.0,0.0,2.3298492431640625,0.3700981140136719,6.720939636230469,0.0,0.0,0.0,0.0,3.6370372772216797,0.45781803131103516,10.283159255981445,0.0,0.0,0.0,0.0,3.6380481719970703,0.4779548645019531,10.82638168334961,0.0,0.0,0.0,0.0,4.6452789306640625,0.5330276489257812,12.8440101146698,0.0,0.0,0.0,0.0,6.968528747558594,0.6976828575134277,20.00309419631958,0.0,0.0,0.0,0.0,7.486756324768066,0.6034317016601562,19.622252464294434,0.0,0.0,0.0,0.0,7.279136657714844,0.6520004272460938,18.728221893310547,0.0,0.0,0.0,0.0,8.032254695892334,0.7329273223876953,21.57631492614746,0.0,0.0,0.0,0.0,8.21814775466919,0.7508325576782227,22.05886220932007,0.0,0.0,0.0,0.0,8.70097541809082,0.7224502563476562,22.780210971832275,0.0,0.0,0.0,0.0,7.225688457489014,0.6374311447143555,20.06950330734253,0.0,0.0,0.0,0.0,7.240987539291382,0.6439580917358398,19.67929995059967,0.0,0.0,0.0,0.0,6.997904300689697,0.6190423965454102,18.937725067138672,0.0,0.0,0.0,0.0,6.553281188011169,0.6924772262573242,17.993833601474762,0.0,0.0,0.0,0.0,6.187078475952148,0.6390833854675293,17.399807691574097,0.0030355453491210938,0.0030355453491210938,0.5953292846679688,0.5983648300170898,6.332299470901489,0.6122932434082031,17.976638317108154,0.06905078887939453,0.30879878997802734,0.6131653785705566,0.6822161674499512,6.6252217292785645,0.6851410865783691,19.103505611419678,0.18804264068603516,0.9196438789367676,0.6036834716796875,0.7917261123657227
