example_id,label,seq_len,layer_0_h0_max_lifetime,layer_0_h0_total_persistence,layer_0_h1_max_lifetime,layer_0_h1_total_persistence,layer_0_h1_max_birth,layer_0_h1_max_death,layer_1_h0_max_lifetime,layer_1_h0_total_persistence,layer_1_h1_max_lifetime,layer_1_h1_total_persistence,layer_1_h1_max_birth,layer_1_h1_max_death,layer_2_h0_max_lifetime,layer_2_h0_total_persistence,layer_2_h1_max_lifetime,layer_2_h1_total_persistence,layer_2_h1_max_birth,layer_2_h1_max_death,layer_3_h0_max_lifetime,layer_3_h0_total_persistence,layer_3_h1_max_lifetime,layer_3_h1_total_persistence,layer_3_h1_max_birth,layer_3_h1_max_death,layer_4_h0_max_lifetime,layer_4_h0_total_persistence,layer_4_h1_max_lifetime,layer_4_h1_total_persistence,layer_4_h1_max_birth,layer_4_h1_max_death,layer_5_h0_max_lifetime,layer_5_h0_total_persistence,layer_5_h1_max_lifetime,layer_5_h1_total_persistence,layer_5_h1_max_birth,layer_5_h1_max_death,layer_6_h0_max_lifetime,layer_6_h0_total_persistence,layer_6_h1_max_lifetime,layer_6_h1_total_persistence,layer_6_h1_max_birth,layer_6_h1_max_death,layer_7_h0_max_lifetime,layer_7_h0_total_persistence,layer_7_h1_max_lifetime,layer_7_h1_total_persistence,layer_7_h1_max_birth,layer_7_h1_max_death,layer_8_h0_max_lifetime,layer_8_h0_total_persistence,layer_8_h1_max_lifetime,layer_8_h1_total_persistence,layer_8_h1_max_birth,layer_8_h1_max_death,layer_9_h0_max_lifetime,layer_9_h0_total_persistence,layer_9_h1_max_lifetime,layer_9_h1_total_persistence,layer_9_h1_max_birth,layer_9_h1_max_death,layer_10_h0_max_lifetime,layer_10_h0_total_persistence,layer_10_h1_max_lifetime,layer_10_h1_total_persistence,layer_10_h1_max_birth,layer_10_h1_max_death,layer_11_h0_max_lifetime,layer_11_h0_total_persistence,layer_11_h1_max_lifetime,layer_11_h1_total_persistence,layer_11_h1_max_birth,layer_11_h1_max_death,layer_12_h0_max_lifetime,layer_12_h0_total_persistence,layer_12_h1_max_lifetime,layer_12_h1_total_persistence,layer_12_h1_max_birth,layer_12_h1_max_death,layer_13_h0_max_lifetime,layer_13_h0_total_persistence,layer_13_h1_max_lifetime,layer_13_h1_total_persistence,layer_13_h1_max_birth,layer_13_h1_max_death,layer_14_h0_max_lifetime,layer_14_h0_total_persistence,layer_14_h1_max_lifetime,layer_14_h1_total_persistence,layer_14_h1_max_birth,layer_14_h1_max_death,layer_15_h0_max_lifetime,layer_15_h0_total_persistence,layer_15_h1_max_lifetime,layer_15_h1_total_persistence,layer_15_h1_max_birth,layer_15_h1_max_death,layer_16_h0_max_lifetime,layer_16_h0_total_persistence,layer_16_h1_max_lifetime,layer_16_h1_total_persistence,layer_16_h1_max_birth,layer_16_h1_max_death,layer_17_h0_max_lifetime,layer_17_h0_total_persistence,layer_17_h1_max_lifetime,layer_17_h1_total_persistence,layer_17_h1_max_birth,layer_17_h1_max_death,layer_18_h0_max_lifetime,layer_18_h0_total_persistence,layer_18_h1_max_lifetime,layer_18_h1_total_persistence,layer_18_h1_max_birth,layer_18_h1_max_death,layer_19_h0_max_lifetime,layer_19_h0_total_persistence,layer_19_h1_max_lifetime,layer_19_h1_total_persistence,layer_19_h1_max_birth,layer_19_h1_max_death,layer_20_h0_max_lifetime,layer_20_h0_total_persistence,layer_20_h1_max_lifetime,layer_20_h1_total_persistence,layer_20_h1_max_birth,layer_20_h1_max_death,layer_21_h0_max_lifetime,layer_21_h0_total_persistence,layer_21_h1_max_lifetime,layer_21_h1_total_persistence,layer_21_h1_max_birth,layer_21_h1_max_death,layer_22_h0_max_lifetime,layer_22_h0_total_persistence,layer_22_h1_max_lifetime,layer_22_h1_total_persistence,layer_22_h1_max_birth,layer_22_h1_max_death,layer_23_h0_max_lifetime,layer_23_h0_total_persistence,layer_23_h1_max_lifetime,layer_23_h1_total_persistence,layer_23_h1_max_birth,layer_23_h1_max_death,layer_24_h0_max_lifetime,layer_24_h0_total_persistence,layer_24_h1_max_lifetime,layer_24_h1_total_persistence,layer_24_h1_max_birth,layer_24_h1_max_death,layer_25_h0_max_lifetime,layer_25_h0_total_persistence,layer_25_h1_max_lifetime,layer_25_h1_total_persistence,layer_25_h1_max_birth,layer_25_h1_max_death,layer_26_h0_max_lifetime,layer_26_h0_total_persistence,layer_26_h1_max_lifetime,layer_26_h1_total_persistence,layer_26_h1_max_birth,layer_26_h1_max_death,layer_27_h0_max_lifetime,layer_27_h0_total_persistence,layer_27_h1_max_lifetime,layer_27_h1_total_persistence,layer_27_h1_max_birth,layer_27_h1_max_death
0,grounded,69,0.9924108982086182,61.054311633110046,0.02827233076095581,0.2730872631072998,0.963903546333313,0.9921758770942688,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0
0,hallucinated,73,1.0,64.77771019935608,0.03360861539840698,0.3093400001525879,0.9585672616958618,0.9921758770942688,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0,1.0,72.0,0.0,0.0,0.0,0.0
1,grounded,64,0.983106255531311,55.75614082813263,0.04625898599624634,0.4751513600349426,0.9459599852561951,0.9922189712524414,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0
1,hallucinated,75,1.0,65.58174949884415,0.04625898599624634,0.5769416689872742,0.9459599852561951,0.9922189712524414,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0
2,grounded,143,0.9918205142021179,124.04855567216873,0.04639863967895508,0.9338681101799011,0.9480035305023193,0.9944021701812744,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0,1.0,142.0,0.0,0.0,0.0,0.0
2,hallucinated,163,1.0,142.0046707391739,0.04238981008529663,1.0756807923316956,0.9494114518165588,0.9918012619018555,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,0.0
3,grounded,142,0.9942672848701477,127.57940626144409,0.04458397626876831,0.49183255434036255,0.9488207101821899,0.9934046864509583,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0
3,hallucinated,149,1.0,133.8209144473076,0.04458397626876831,0.5903528928756714,0.9488207101821899,0.9934046864509583,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0
4,grounded,75,0.9775418639183044,65.5434120297432,0.030501067638397217,0.2851182818412781,0.9629672169685364,0.9934682846069336,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0
4,hallucinated,80,0.9775418639183044,70.07782065868378,0.030501067638397217,0.3150549530982971,0.9629672169685364,0.9934682846069336,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0
