N,kind,trial,n_subsets,max_filtration_diff,uniqueness_violations,ripser_mst_diff
2,random,0,3,0.0,0,8.660645978153525e-09
2,random,1,3,0.0,0,6.174307620732122e-09
2,random,2,3,0.0,0,8.46715930702402e-09
2,random,3,3,0.0,0,4.125383812336736e-09
2,random,4,3,0.0,0,3.867729025941458e-09
2,random,5,3,0.0,0,1.391471160516744e-09
2,random,6,3,0.0,0,5.6134280557174066e-09
2,random,7,3,0.0,0,6.628186888235632e-10
2,random,8,3,0.0,0,2.0970913117146495e-08
2,random,9,3,0.0,0,1.0631977076513976e-08
2,random,10,3,0.0,0,1.280963624061826e-08
2,random,11,3,0.0,0,1.4043298079968736e-08
2,random,12,3,0.0,0,1.3118172326187505e-08
2,random,13,3,0.0,0,4.3481602762796e-09
2,random,14,3,0.0,0,1.2220140344076924e-08
2,ties,0,3,0.0,0,2.384185793236071e-08
2,ties,1,3,0.0,0,1.19209286886246e-09
2,ties,2,3,0.0,0,2.1457672083613488e-08
2,ties,3,3,0.0,0,4.768371586472142e-09
2,ties,4,3,0.0,0,1.19209286886246e-09
2,ties,5,3,0.0,0,0.0
2,ties,6,3,0.0,0,4.768371586472142e-09
2,ties,7,3,0.0,0,7.152557324197062e-09
2,ties,8,3,0.0,0,2.38418573772492e-09
2,ties,9,3,0.0,0,6.556510889765832e-09
2,ties,10,3,0.0,0,0.0
2,ties,11,3,0.0,0,2.384185793236071e-08
2,ties,12,3,0.0,0,1.1920928910669204e-08
2,ties,13,3,0.0,0,5.960464455334602e-09
2,ties,14,3,0.0,0,5.9604643443123e-10
2,underflow,0,3,0.0,0,0.0
2,underflow,1,3,0.0,0,3.722223529400992e-09
2,underflow,2,3,0.0,0,1.0377076087308978e-08
2,underflow,3,3,0.0,0,0.0
2,underflow,4,3,0.0,0,5.112301026954924e-09
2,underflow,5,3,0.0,0,5.811939818300971e-11
2,underflow,6,3,0.0,0,2.328097448156541e-08
2,underflow,7,3,0.0,0,4.6884023330306945e-09
2,underflow,8,3,0.0,0,7.523752731941613e-10
2,underflow,9,3,0.0,0,1.9811613682918505e-08
2,underflow,10,3,0.0,0,1.7261817530922485e-08
2,underflow,11,3,0.0,0,3.6684256743413357e-09
2,underflow,12,3,0.0,0,0.0
2,underflow,13,3,0.0,0,1.741626376450256e-08
2,underflow,14,3,0.0,0,0.0
2,uniform,0,3,0.0,0,0.0
2,uniform,1,3,0.0,0,0.0
2,uniform,2,3,0.0,0,0.0
2,uniform,3,3,0.0,0,0.0
2,uniform,4,3,0.0,0,0.0
2,uniform,5,3,0.0,0,0.0
2,uniform,6,3,0.0,0,0.0
2,uniform,7,3,0.0,0,0.0
2,uniform,8,3,0.0,0,0.0
2,uniform,9,3,0.0,0,0.0
2,uniform,10,3,0.0,0,0.0
2,uniform,11,3,0.0,0,0.0
2,uniform,12,3,0.0,0,0.0
2,uniform,13,3,0.0,0,0.0
2,uniform,14,3,0.0,0,0.0
3,random,0,7,0.0,0,6.711364797240549e-10
3,random,1,7,0.0,0,1.0739797051684263e-08
3,random,2,7,0.0,0,2.876627824832667e-08
3,random,3,7,0.0,0,8.773877957501952e-09
3,random,4,7,0.0,0,1.4583072749374537e-08
3,random,5,7,0.0,0,4.408604592498477e-09
3,random,6,7,0.0,0,4.940283071519502e-08
3,random,7,7,0.0,0,2.3089715250890208e-08
3,random,8,7,0.0,0,5.25286703023653e-09
3,random,9,7,0.0,0,2.5845965367921053e-08
3,random,10,7,0.0,0,1.7414421904504707e-08
3,random,11,7,0.0,0,2.8182701061751914e-08
3,random,12,7,0.0,0,1.083289180581204e-08
3,random,13,7,0.0,0,2.032070955948484e-09
3,random,14,7,0.0,0,1.5791631335915213e-08
3,ties,0,7,0.0,0,2.145767219463579e-08
3,ties,1,7,0.0,0,2.6226043559063328e-08
3,ties,2,7,0.0,0,1.907348634588857e-08
3,ties,3,7,0.0,0,2.2649765174520553e-08
3,ties,4,7,0.0,0,4.768371586472142e-09
3,ties,5,7,0.0,0,2.324581149792948e-08
3,ties,6,7,0.0,0,2.0265579436795633e-08
3,ties,7,7,0.0,0,7.1525572131747595e-09
3,ties,8,7,0.0,0,4.2915344167226976e-08
3,ties,9,7,0.0,0,9.536743172944284e-09
3,ties,10,7,0.0,0,8.940696627490752e-09
3,ties,11,7,0.0,0,1.0132789607375514e-08
3,ties,12,7,0.0,0,4.768371586472142e-08
3,ties,13,7,0.0,0,1.728534704259488e-08
3,ties,14,7,0.0,0,8.344650193059522e-09
3,underflow,0,7,0.0,0,1.8363547571453864e-08
3,underflow,1,7,0.0,0,1.2137127969324979e-09
3,underflow,2,7,0.0,0,9.537904022138832e-09
3,underflow,3,7,0.0,0,1.2003936511462143e-08
3,underflow,4,7,0.0,0,3.0645092907732874e-08
3,underflow,5,7,0.0,0,2.7199907659536393e-08
3,underflow,6,7,0.0,0,4.252951546490635e-09
3,underflow,7,7,0.0,0,1.2967392493123953e-08
3,underflow,8,7,0.0,0,4.268581621502676e-08
3,underflow,9,7,0.0,0,2.8382040495600336e-08
3,underflow,10,7,0.0,0,0.0
3,underflow,11,7,0.0,0,1.7768891469316372e-08
3,underflow,12,7,0.0,0,1.9841122522734622e-08
3,underflow,13,7,0.0,0,2.1980061326587474e-08
3,underflow,14,7,0.0,0,3.5292655464758127e-09
3,uniform,0,7,0.0,0,1.986821485111534e-08
3,uniform,1,7,0.0,0,1.986821485111534e-08
3,uniform,2,7,0.0,0,1.986821485111534e-08
3,uniform,3,7,0.0,0,1.986821485111534e-08
3,uniform,4,7,0.0,0,1.986821485111534e-08
3,uniform,5,7,0.0,0,1.986821485111534e-08
3,uniform,6,7,0.0,0,1.986821485111534e-08
3,uniform,7,7,0.0,0,1.986821485111534e-08
3,uniform,8,7,0.0,0,1.986821485111534e-08
3,uniform,9,7,0.0,0,1.986821485111534e-08
3,uniform,10,7,0.0,0,1.986821485111534e-08
3,uniform,11,7,0.0,0,1.986821485111534e-08
3,uniform,12,7,0.0,0,1.986821485111534e-08
3,uniform,13,7,0.0,0,1.986821485111534e-08
3,uniform,14,7,0.0,0,1.986821485111534e-08
4,random,0,15,0.0,0,5.8243293743487357e-08
4,random,1,15,0.0,0,5.205747610759204e-09
4,random,2,15,0.0,0,1.7188111378629856e-08
4,random,3,15,0.0,0,1.2110981773005847e-08
4,random,4,15,0.0,0,3.166432471779501e-08
4,random,5,15,0.0,0,3.989592656239438e-09
4,random,6,15,0.0,0,1.0684891860179846e-08
4,random,7,15,0.0,0,3.838273254785918e-09
4,random,8,15,0.0,0,2.9370163856512477e-08
4,random,9,15,0.0,0,1.5660162056008176e-09
4,random,10,15,0.0,0,2.6507599226732736e-08
4,random,11,15,0.0,0,8.992198097246273e-10
4,random,12,15,0.0,0,1.2099400592546772e-08
4,random,13,15,0.0,0,2.384755659612381e-08
4,random,14,15,0.0,0,2.6252336970955525e-08
4,ties,0,15,0.0,0,5.4836273299940785e-08
4,ties,1,15,0.0,0,2.9802322387695312e-08
4,ties,2,15,0.0,0,2.6226043559063328e-08
4,ties,3,15,0.0,0,2.0265579436795633e-08
4,ties,4,15,0.0,0,1.1920928910669204e-08
4,ties,5,15,0.0,0,2.38418573772492e-09
4,ties,6,15,0.0,0,7.152557435219364e-09
4,ties,7,15,0.0,0,2.4139881205087477e-08
4,ties,8,15,0.0,0,8.940697071579962e-10
4,ties,9,15,0.0,0,9.23872001123982e-09
4,ties,10,15,0.0,0,2.8610229518832853e-08
4,ties,11,15,0.0,0,1.3113021779531664e-08
4,ties,12,15,0.0,0,5.9604645663569045e-09
4,ties,13,15,0.0,0,3.457069386314515e-08
4,ties,14,15,0.0,0,3.5762786065873797e-09
4,underflow,0,15,0.0,0,1.9770051817857848e-08
4,underflow,1,15,0.0,0,1.7556208931068795e-08
4,underflow,2,15,0.0,0,4.1126257954715584e-10
4,underflow,3,15,0.0,0,2.0943567324849255e-08
4,underflow,4,15,0.0,0,2.4049460201069905e-08
4,underflow,5,15,0.0,0,3.866327258350566e-08
4,underflow,6,15,0.0,0,4.490656513311819e-09
4,underflow,7,15,0.0,0,2.5538448911177625e-08
4,underflow,8,15,0.0,0,1.7986630407307302e-08
4,underflow,9,15,0.0,0,1.9230623760080334e-08
4,underflow,10,15,0.0,0,2.8016279962628232e-08
4,underflow,11,15,0.0,0,1.1519049714081575e-08
4,underflow,12,15,0.0,0,5.469517860845485e-08
4,underflow,13,15,0.0,0,2.2572544722265775e-08
4,underflow,14,15,0.0,0,4.021878163840142e-09
4,uniform,0,15,0.0,0,1.986821485111534e-08
4,uniform,1,15,0.0,0,1.986821485111534e-08
4,uniform,2,15,0.0,0,1.986821485111534e-08
4,uniform,3,15,0.0,0,1.986821485111534e-08
4,uniform,4,15,0.0,0,1.986821485111534e-08
4,uniform,5,15,0.0,0,1.986821485111534e-08
4,uniform,6,15,0.0,0,1.986821485111534e-08
4,uniform,7,15,0.0,0,1.986821485111534e-08
