Setting,Feature Set,N_rows,N_groups,AUC
HaluEval (Qwen2.5-3B),Mean log-prob only,3267,1990,0.9607
HaluEval (Qwen2.5-3B),Min log-prob only,3267,1990,0.9812
HaluEval (Qwen2.5-3B),Perplexity only,3267,1990,0.8325
HaluEval (Qwen2.5-3B),Mean + min log-prob,3267,1990,0.9814
HaluEval (Qwen2.5-1.5B),Mean log-prob only,804,495,0.9784
HaluEval (Qwen2.5-1.5B),Min log-prob only,804,495,0.9907
HaluEval (Qwen2.5-1.5B),Perplexity only,804,495,0.9725
HaluEval (Qwen2.5-1.5B),Mean + min log-prob,804,495,0.9897
TruthfulQA (Qwen2.5-3B),Mean log-prob only,1612,816,0.4816
TruthfulQA (Qwen2.5-3B),Min log-prob only,1612,816,0.5292
TruthfulQA (Qwen2.5-3B),Perplexity only,1612,816,0.506
TruthfulQA (Qwen2.5-3B),Mean + min log-prob,1612,816,0.5674
TruthfulQA (SmolLM-1.7B),Mean log-prob only,1623,817,0.5772
TruthfulQA (SmolLM-1.7B),Min log-prob only,1623,817,0.5598
TruthfulQA (SmolLM-1.7B),Perplexity only,1623,817,0.5694
TruthfulQA (SmolLM-1.7B),Mean + min log-prob,1623,817,0.5763
TruthfulQA (Phi-3-mini-3.8B),Mean log-prob only,1612,816,0.5074
TruthfulQA (Phi-3-mini-3.8B),Min log-prob only,1612,816,0.47
TruthfulQA (Phi-3-mini-3.8B),Perplexity only,1612,816,0.5181
TruthfulQA (Phi-3-mini-3.8B),Mean + min log-prob,1612,816,0.5291
TruthfulQA (Mistral-7B),Mean log-prob only,1628,817,0.5978
TruthfulQA (Mistral-7B),Min log-prob only,1628,817,0.6083
TruthfulQA (Mistral-7B),Perplexity only,1628,817,0.5036
TruthfulQA (Mistral-7B),Mean + min log-prob,1628,817,0.607
TruthfulQA (TinyLlama-1.1B),Mean log-prob only,1629,817,0.582
TruthfulQA (TinyLlama-1.1B),Min log-prob only,1629,817,0.566
TruthfulQA (TinyLlama-1.1B),Perplexity only,1629,817,0.5568
TruthfulQA (TinyLlama-1.1B),Mean + min log-prob,1629,817,0.5776
