example_id,label,seq_len,layer_0_h0_max_lifetime,layer_0_h0_total_persistence,layer_0_h1_max_lifetime,layer_0_h1_total_persistence,layer_0_h1_max_birth,layer_0_h1_max_death,layer_1_h0_max_lifetime,layer_1_h0_total_persistence,layer_1_h1_max_lifetime,layer_1_h1_total_persistence,layer_1_h1_max_birth,layer_1_h1_max_death,layer_2_h0_max_lifetime,layer_2_h0_total_persistence,layer_2_h1_max_lifetime,layer_2_h1_total_persistence,layer_2_h1_max_birth,layer_2_h1_max_death,layer_3_h0_max_lifetime,layer_3_h0_total_persistence,layer_3_h1_max_lifetime,layer_3_h1_total_persistence,layer_3_h1_max_birth,layer_3_h1_max_death,layer_4_h0_max_lifetime,layer_4_h0_total_persistence,layer_4_h1_max_lifetime,layer_4_h1_total_persistence,layer_4_h1_max_birth,layer_4_h1_max_death,layer_5_h0_max_lifetime,layer_5_h0_total_persistence,layer_5_h1_max_lifetime,layer_5_h1_total_persistence,layer_5_h1_max_birth,layer_5_h1_max_death,layer_6_h0_max_lifetime,layer_6_h0_total_persistence,layer_6_h1_max_lifetime,layer_6_h1_total_persistence,layer_6_h1_max_birth,layer_6_h1_max_death,layer_7_h0_max_lifetime,layer_7_h0_total_persistence,layer_7_h1_max_lifetime,layer_7_h1_total_persistence,layer_7_h1_max_birth,layer_7_h1_max_death,layer_8_h0_max_lifetime,layer_8_h0_total_persistence,layer_8_h1_max_lifetime,layer_8_h1_total_persistence,layer_8_h1_max_birth,layer_8_h1_max_death,layer_9_h0_max_lifetime,layer_9_h0_total_persistence,layer_9_h1_max_lifetime,layer_9_h1_total_persistence,layer_9_h1_max_birth,layer_9_h1_max_death,layer_10_h0_max_lifetime,layer_10_h0_total_persistence,layer_10_h1_max_lifetime,layer_10_h1_total_persistence,layer_10_h1_max_birth,layer_10_h1_max_death,layer_11_h0_max_lifetime,layer_11_h0_total_persistence,layer_11_h1_max_lifetime,layer_11_h1_total_persistence,layer_11_h1_max_birth,layer_11_h1_max_death,layer_12_h0_max_lifetime,layer_12_h0_total_persistence,layer_12_h1_max_lifetime,layer_12_h1_total_persistence,layer_12_h1_max_birth,layer_12_h1_max_death,layer_13_h0_max_lifetime,layer_13_h0_total_persistence,layer_13_h1_max_lifetime,layer_13_h1_total_persistence,layer_13_h1_max_birth,layer_13_h1_max_death,layer_14_h0_max_lifetime,layer_14_h0_total_persistence,layer_14_h1_max_lifetime,layer_14_h1_total_persistence,layer_14_h1_max_birth,layer_14_h1_max_death,layer_15_h0_max_lifetime,layer_15_h0_total_persistence,layer_15_h1_max_lifetime,layer_15_h1_total_persistence,layer_15_h1_max_birth,layer_15_h1_max_death,layer_16_h0_max_lifetime,layer_16_h0_total_persistence,layer_16_h1_max_lifetime,layer_16_h1_total_persistence,layer_16_h1_max_birth,layer_16_h1_max_death,layer_17_h0_max_lifetime,layer_17_h0_total_persistence,layer_17_h1_max_lifetime,layer_17_h1_total_persistence,layer_17_h1_max_birth,layer_17_h1_max_death,layer_18_h0_max_lifetime,layer_18_h0_total_persistence,layer_18_h1_max_lifetime,layer_18_h1_total_persistence,layer_18_h1_max_birth,layer_18_h1_max_death,layer_19_h0_max_lifetime,layer_19_h0_total_persistence,layer_19_h1_max_lifetime,layer_19_h1_total_persistence,layer_19_h1_max_birth,layer_19_h1_max_death,layer_20_h0_max_lifetime,layer_20_h0_total_persistence,layer_20_h1_max_lifetime,layer_20_h1_total_persistence,layer_20_h1_max_birth,layer_20_h1_max_death,layer_21_h0_max_lifetime,layer_21_h0_total_persistence,layer_21_h1_max_lifetime,layer_21_h1_total_persistence,layer_21_h1_max_birth,layer_21_h1_max_death,layer_22_h0_max_lifetime,layer_22_h0_total_persistence,layer_22_h1_max_lifetime,layer_22_h1_total_persistence,layer_22_h1_max_birth,layer_22_h1_max_death,layer_23_h0_max_lifetime,layer_23_h0_total_persistence,layer_23_h1_max_lifetime,layer_23_h1_total_persistence,layer_23_h1_max_birth,layer_23_h1_max_death,layer_24_h0_max_lifetime,layer_24_h0_total_persistence,layer_24_h1_max_lifetime,layer_24_h1_total_persistence,layer_24_h1_max_birth,layer_24_h1_max_death,layer_25_h0_max_lifetime,layer_25_h0_total_persistence,layer_25_h1_max_lifetime,layer_25_h1_total_persistence,layer_25_h1_max_birth,layer_25_h1_max_death,layer_26_h0_max_lifetime,layer_26_h0_total_persistence,layer_26_h1_max_lifetime,layer_26_h1_total_persistence,layer_26_h1_max_birth,layer_26_h1_max_death,layer_27_h0_max_lifetime,layer_27_h0_total_persistence,layer_27_h1_max_lifetime,layer_27_h1_total_persistence,layer_27_h1_max_birth,layer_27_h1_max_death,layer_28_h0_max_lifetime,layer_28_h0_total_persistence,layer_28_h1_max_lifetime,layer_28_h1_total_persistence,layer_28_h1_max_birth,layer_28_h1_max_death,layer_29_h0_max_lifetime,layer_29_h0_total_persistence,layer_29_h1_max_lifetime,layer_29_h1_total_persistence,layer_29_h1_max_birth,layer_29_h1_max_death,layer_30_h0_max_lifetime,layer_30_h0_total_persistence,layer_30_h1_max_lifetime,layer_30_h1_total_persistence,layer_30_h1_max_birth,layer_30_h1_max_death,layer_31_h0_max_lifetime,layer_31_h0_total_persistence,layer_31_h1_max_lifetime,layer_31_h1_total_persistence,layer_31_h1_max_birth,layer_31_h1_max_death
0,grounded,31,0.34716796875,8.341110825538635,0.0,0.0,0.0,0.0,0.36174774169921875,6.782525062561035,0.0,0.0,0.0,0.0,0.332672119140625,3.646331787109375,0.0,0.0,0.0,0.0,0.3366546630859375,4.540740966796875,0.0,0.0,0.0,0.0,0.459442138671875,4.040679931640625,0.0,0.0,0.0,0.0,0.441741943359375,4.810371398925781,0.0,0.0,0.0,0.0,0.4464607238769531,6.392902374267578,0.0,0.0,0.0,0.0,0.5280857086181641,8.053316116333008,0.0,0.0,0.0,0.0,0.423492431640625,7.4675140380859375,0.0,0.0,0.0,0.0,0.4412422180175781,7.10418701171875,0.0,0.0,0.0,0.0,0.52044677734375,9.848709106445312,0.0,0.0,0.0,0.0,0.438720703125,6.975944519042969,0.0,0.0,0.0,0.0,0.4681243896484375,7.406154632568359,0.0,0.0,0.0,0.0,0.6334953308105469,10.869983673095703,0.0,0.0,0.0,0.0,0.48070645332336426,7.4585278034210205,0.0,0.0,0.0,0.0,0.5720806121826172,8.070461452007294,0.0,0.0,0.0,0.0,0.549560546875,7.4994964599609375,0.0,0.0,0.0,0.0,0.4767913818359375,9.138893127441406,0.0,0.0,0.0,0.0,0.448486328125,8.039276123046875,0.0,0.0,0.0,0.0,0.45867919921875,7.7953948974609375,0.0,0.0,0.0,0.0,0.338531494140625,5.711664199829102,0.0,0.0,0.0,0.0,0.27484130859375,5.3296051025390625,0.0,0.0,0.0,0.0,0.228302001953125,4.4080810546875,0.0,0.0,0.0,0.0,0.382720947265625,6.11997377872467,0.0,0.0,0.0,0.0,0.227813720703125,4.00274658203125,0.0,0.0,0.0,0.0,0.345916748046875,4.259010314941406,0.0,0.0,0.0,0.0,0.28829193115234375,5.179869651794434,0.0,0.0,0.0,0.0,0.3198661804199219,6.618927001953125,0.0,0.0,0.0,0.0,0.36029052734375,7.109716415405273,0.0,0.0,0.0,0.0,0.4210395812988281,7.387596130371094,0.0,0.0,0.0,0.0,0.5344200134277344,9.13150405883789,0.0,0.0,0.0,0.0,0.6995093822479248,12.467743754386902,0.0,0.0,0.0,0.0
0,hallucinated,28,0.3432025909423828,7.364364266395569,0.0,0.0,0.0,0.0,0.3626136779785156,6.153021812438965,0.0,0.0,0.0,0.0,0.33185577392578125,3.2621841430664062,0.0,0.0,0.0,0.0,0.3363494873046875,3.9514007568359375,0.0,0.0,0.0,0.0,0.4589385986328125,3.7397537231445312,0.0,0.0,0.0,0.0,0.441009521484375,4.3725128173828125,0.0,0.0,0.0,0.0,0.44449615478515625,5.799537658691406,0.0,0.0,0.0,0.0,0.5289230346679688,7.338142395019531,0.0,0.0,0.0,0.0,0.42181396484375,7.062305450439453,0.0,0.0,0.0,0.0,0.5187149047851562,6.544687271118164,0.0,0.0,0.0,0.0,0.5852527618408203,9.184099197387695,0.0,0.0,0.0,0.0,0.45684814453125,6.568916320800781,0.0,0.0,0.0,0.0,0.5211639404296875,6.7352824211120605,0.0,0.0,0.0,0.0,0.6318855285644531,9.684009552001953,0.0,0.0,0.0,0.0,0.4796857237815857,6.527338922023773,0.0,0.0,0.0,0.0,0.5710678100585938,7.341856956481934,0.0,0.0,0.0,0.0,0.549163818359375,6.982316970825195,0.0,0.0,0.0,0.0,0.46728515625,8.2308349609375,0.0,0.0,0.0,0.0,0.4325447082519531,7.051170349121094,0.0,0.0,0.0,0.0,0.4229278564453125,7.140586853027344,0.0,0.0,0.0,0.0,0.2900390625,5.154273986816406,0.0,0.0,0.0,0.0,0.3154754638671875,4.800666809082031,0.0,0.0,0.0,0.0,0.23284912109375,3.9163055419921875,0.0,0.0,0.0,0.0,0.37018585205078125,5.33699095249176,0.0,0.0,0.0,0.0,0.228973388671875,3.5861682891845703,0.0,0.0,0.0,0.0,0.3447265625,3.8381900787353516,0.0,0.0,0.0,0.0,0.312744140625,4.554268836975098,0.0,0.0,0.0,0.0,0.28598785400390625,5.709663391113281,0.0,0.0,0.0,0.0,0.3873252868652344,6.293710708618164,0.0,0.0,0.0,0.0,0.3610801696777344,6.477304458618164,0.0,0.0,0.0,0.0,0.5354080200195312,7.786823272705078,0.0,0.0,0.0,0.0,0.7021626830101013,11.1957528591156,0.0,0.0,0.0,0.0
1,grounded,24,0.3241424560546875,6.198301911354065,0.0,0.0,0.0,0.0,0.36252593994140625,5.124773025512695,0.0,0.0,0.0,0.0,0.312042236328125,3.016021728515625,0.0,0.0,0.0,0.0,0.336517333984375,3.5341339111328125,0.0,0.0,0.0,0.0,0.41483306884765625,3.3577041625976562,0.0,0.0,0.0,0.0,0.4141044616699219,3.616985321044922,0.0,0.0,0.0,0.0,0.36029052734375,4.3473663330078125,0.0,0.0,0.0,0.0,0.418182373046875,5.153049468994141,0.0,0.0,0.0,0.0,0.4296588897705078,5.86598014831543,0.0,0.0,0.0,0.0,0.3856010437011719,5.03192138671875,0.0,0.0,0.0,0.0,0.514892578125,6.862518310546875,0.0,0.0,0.0,0.0,0.323822021484375,5.247528076171875,0.0,0.0,0.0,0.0,0.404296875,5.252601623535156,0.0,0.0,0.0,0.0,0.57098388671875,7.518882751464844,0.0,0.0,0.0,0.0,0.481967568397522,5.956769585609436,0.0,0.0,0.0,0.0,0.4912605285644531,6.011146545410156,0.0,0.0,0.0,0.0,0.45051097869873047,5.452258110046387,0.0,0.0,0.0,0.0,0.435943603515625,6.8174285888671875,0.0,0.0,0.0,0.0,0.4104328155517578,5.803056716918945,0.0,0.0,0.0,0.0,0.474639892578125,6.256561279296875,0.0,0.0,0.0,0.0,0.34099578857421875,4.364330291748047,0.0,0.0,0.0,0.0,0.2478790283203125,3.771656036376953,0.0,0.0,0.0,0.0,0.239227294921875,3.785747528076172,0.0,0.0,0.0,0.0,0.3419952392578125,4.171387672424316,0.0,0.0,0.0,0.0,0.202911376953125,3.213714599609375,0.0,0.0,0.0,0.0,0.27117919921875,3.404594898223877,0.0,0.0,0.0,0.0,0.28631591796875,4.021387100219727,0.0,0.0,0.0,0.0,0.3029022216796875,5.033951997756958,0.0,0.0,0.0,0.0,0.3693084716796875,5.5283098220825195,0.0,0.0,0.0,0.0,0.40518951416015625,5.451160430908203,0.0,0.0,0.0,0.0,0.5483589172363281,7.486610412597656,0.0,0.0,0.0,0.0,0.7360748648643494,10.080630481243134,0.0,0.0,0.0,0.0
1,hallucinated,22,0.32324981689453125,5.416875898838043,0.0,0.0,0.0,0.0,0.36252593994140625,4.7482452392578125,0.0,0.0,0.0,0.0,0.312042236328125,2.69573974609375,0.0,0.0,0.0,0.0,0.336517333984375,3.0865478515625,0.0,0.0,0.0,0.0,0.41483306884765625,2.9414443969726562,0.0,0.0,0.0,0.0,0.4141044616699219,3.057842254638672,0.0,0.0,0.0,0.0,0.3319854736328125,3.6024932861328125,0.0,0.0,0.0,0.0,0.418182373046875,4.529117584228516,0.0,0.0,0.0,0.0,0.4296588897705078,5.150777816772461,0.0,0.0,0.0,0.0,0.40918731689453125,4.64252233505249,0.0,0.0,0.0,0.0,0.460479736328125,5.775543212890625,0.0,0.0,0.0,0.0,0.323822021484375,4.791229248046875,0.0,0.0,0.0,0.0,0.404296875,4.5513458251953125,0.0,0.0,0.0,0.0,0.5567398071289062,6.256996154785156,0.0,0.0,0.0,0.0,0.481967568397522,5.252841591835022,0.0,0.0,0.0,0.0,0.4912605285644531,4.913448333740234,0.0,0.0,0.0,0.0,0.45051097869873047,4.4214277267456055,0.0,0.0,0.0,0.0,0.407257080078125,5.836128234863281,0.0,0.0,0.0,0.0,0.4104328155517578,4.871725082397461,0.0,0.0,0.0,0.0,0.4490203857421875,5.207725524902344,0.0,0.0,0.0,0.0,0.26959228515625,3.703589916229248,0.0,0.0,0.0,0.0,0.24533462524414062,3.2711524963378906,0.0,0.0,0.0,0.0,0.235107421875,3.259235382080078,0.0,0.0,0.0,0.0,0.3290252685546875,3.6974191665649414,0.0,0.0,0.0,0.0,0.197174072265625,2.7573318481445312,0.0,0.0,0.0,0.0,0.27117919921875,3.00897216796875,0.0,0.0,0.0,0.0,0.28631591796875,3.5269622802734375,0.0,0.0,0.0,0.0,0.3118162155151367,4.687521934509277,0.0,0.0,0.0,0.0,0.3693084716796875,5.034568786621094,0.0,0.0,0.0,0.0,0.40518951416015625,4.729061126708984,0.0,0.0,0.0,0.0,0.5483589172363281,6.366153717041016,0.0,0.0,0.0,0.0,0.7360748648643494,8.99935245513916,0.0,0.0,0.0,0.0
2,grounded,31,0.3445549011230469,8.217449307441711,0.0,0.0,0.0,0.0,0.3552970886230469,6.600551605224609,0.0,0.0,0.0,0.0,0.3196449279785156,4.038562774658203,0.0,0.0,0.0,0.0,0.308929443359375,4.347625732421875,0.0,0.0,0.0,0.0,0.41893768310546875,4.276451110839844,0.0,0.0,0.0,0.0,0.4149322509765625,5.2964935302734375,0.0,0.0,0.0,0.0,0.34576416015625,5.9803314208984375,0.0,0.0,0.0,0.0,0.46807861328125,7.670318603515625,0.0,0.0,0.0,0.0,0.4401817321777344,8.566028594970703,0.0,0.0,0.0,0.0,0.4812278747558594,7.248279571533203,0.0,0.0,0.0,0.0,0.5609130859375,10.244125366210938,0.0,0.0,0.0,0.0,0.432098388671875,8.351125717163086,0.0,0.0,0.0,0.0,0.48525238037109375,8.779827117919922,0.0,0.0,0.0,0.0,0.6054496765136719,10.861186981201172,0.0,0.0,0.0,0.0,0.48515164852142334,8.240665793418884,0.0,0.0,0.0,0.0,0.59661865234375,9.44851303100586,0.0,0.0,0.0,0.0,0.5143356323242188,9.066632270812988,0.0,0.0,0.0,0.0,0.4398193359375,9.330673217773438,0.0,0.0,0.0,0.0,0.45018577575683594,8.03816032409668,0.0,0.0,0.0,0.0,0.53118896484375,8.824363708496094,0.0,0.0,0.0,0.0,0.34393310546875,6.26519775390625,0.0,0.0,0.0,0.0,0.34691619873046875,5.372398376464844,0.0,0.0,0.0,0.0,0.2553863525390625,4.476940155029297,0.0,0.0,0.0,0.0,0.43161869049072266,6.01406192779541,0.0,0.0,0.0,0.0,0.28590965270996094,4.469320297241211,0.0,0.0,0.0,0.0,0.268096923828125,4.548778057098389,0.0,0.0,0.0,0.0,0.3108062744140625,4.887350082397461,0.0,0.0,0.0,0.0,0.387298583984375,6.383596420288086,0.0,0.0,0.0,0.0,0.461212158203125,7.251808166503906,0.0,0.0,0.0,0.0,0.3957672119140625,7.197957992553711,0.0,0.0,0.0,0.0,0.5059566497802734,9.407078742980957,0.0,0.0,0.0,0.0,0.6867703199386597,12.776175558567047,0.0,0.0,0.0,0.0
2,hallucinated,27,0.3952980041503906,7.118222117424011,0.0,0.0,0.0,0.0,0.3563652038574219,5.732078552246094,0.0,0.0,0.0,0.0,0.3180885314941406,3.157337188720703,0.0,0.0,0.0,0.0,0.306427001953125,3.380126953125,0.0,0.0,0.0,0.0,0.41881561279296875,3.2715988159179688,0.0,0.0,0.0,0.0,0.413330078125,4.4648284912109375,0.0,0.0,0.0,0.0,0.34503173828125,4.9462738037109375,0.0,0.0,0.0,0.0,0.3988037109375,6.2403717041015625,0.0,0.0,0.0,0.0,0.46031951904296875,7.1955108642578125,0.0,0.0,0.0,0.0,0.4802665710449219,6.085689544677734,0.0,0.0,0.0,0.0,0.471160888671875,8.324485778808594,0.0,0.0,0.0,0.0,0.493743896484375,7.074117660522461,0.0,0.0,0.0,0.0,0.48313140869140625,7.281207084655762,0.0,0.0,0.0,0.0,0.6026649475097656,8.7764892578125,0.0,0.0,0.0,0.0,0.48370540142059326,6.991443514823914,0.0,0.0,0.0,0.0,0.5976696014404297,8.17695426940918,0.0,0.0,0.0,0.0,0.554656982421875,7.711831092834473,0.0,0.0,0.0,0.0,0.48883056640625,7.9809112548828125,0.0,0.0,0.0,0.0,0.4480133056640625,6.969200134277344,0.0,0.0,0.0,0.0,0.5298919677734375,7.434045791625977,0.0,0.0,0.0,0.0,0.34130859375,5.2867431640625,0.0,0.0,0.0,0.0,0.29644775390625,4.462680816650391,0.0,0.0,0.0,0.0,0.206329345703125,3.572216033935547,0.0,0.0,0.0,0.0,0.31829833984375,4.493133544921875,0.0,0.0,0.0,0.0,0.200653076171875,3.4018707275390625,0.0,0.0,0.0,0.0,0.2679443359375,3.700775146484375,0.0,0.0,0.0,0.0,0.27117919921875,3.8565292358398438,0.0,0.0,0.0,0.0,0.281494140625,5.120693206787109,0.0,0.0,0.0,0.0,0.3466339111328125,5.6940765380859375,0.0,0.0,0.0,0.0,0.395233154296875,6.3116455078125,0.0,0.0,0.0,0.0,0.5063304901123047,7.738104820251465,0.0,0.0,0.0,0.0,0.6860994100570679,10.846468806266785,0.0,0.0,0.0,0.0
3,grounded,35,0.4480934143066406,10.318191766738892,0.0,0.0,0.0,0.0,0.36858367919921875,7.671577453613281,0.0,0.0,0.0,0.0,0.34737396240234375,4.768043518066406,0.0,0.0,0.0,0.0,0.3198394775390625,4.8343353271484375,0.0,0.0,0.0,0.0,0.434173583984375,4.4725189208984375,0.0,0.0,0.0,0.0,0.49796009063720703,5.962224006652832,0.0,0.0,0.0,0.0,0.47551727294921875,7.986015319824219,0.0,0.0,0.0,0.0,0.420074462890625,8.536944389343262,0.0,0.0,0.0,0.0,0.4476585388183594,8.977624893188477,0.0,0.0,0.0,0.0,0.4224853515625,8.100423812866211,0.0,0.0,0.0,0.0,0.48895263671875,11.318130493164062,0.0,0.0,0.0,0.0,0.49947357177734375,9.890445709228516,0.0,0.0,0.0,0.0,0.49550628662109375,9.575862884521484,0.0,0.0,0.0,0.0,0.6411628723144531,12.305874824523926,0.0,0.0,0.0,0.0,0.512890100479126,8.923443078994751,0.0,0.0,0.0,0.0,0.5754013061523438,9.382324934005737,0.0,0.0,0.0,0.0,0.5709972381591797,8.252912521362305,0.0,0.0,0.0,0.0,0.502685546875,11.190725982189178,0.0,0.0,0.0,0.0,0.5149860382080078,10.251459121704102,0.0,0.0,0.0,0.0,0.5657362937927246,9.82681131362915,0.0,0.0,0.0,0.0,0.365814208984375,7.173515319824219,0.0,0.0,0.0,0.0,0.30767822265625,6.1405487060546875,0.0,0.0,0.0,0.0,0.24078369140625,4.9325714111328125,0.0,0.0,0.0,0.0,0.3538322448730469,5.874835968017578,0.0,0.0,0.0,0.0,0.2015838623046875,3.9987030029296875,0.0,0.0,0.0,0.0,0.308502197265625,4.454620361328125,0.0,0.0,0.0,0.0,0.2844696044921875,5.613718032836914,0.0,0.0,0.0,0.0,0.339935302734375,7.428421497344971,0.0,0.0,0.0,0.0,0.44092369079589844,8.635488510131836,0.0,0.0,0.0,0.0,0.3726654052734375,8.293359756469727,0.0,0.0,0.0,0.0,0.5144767761230469,11.030994415283203,0.0,0.0,0.0,0.0,0.7060563564300537,14.702897667884827,0.0,0.0,0.0,0.0
3,hallucinated,34,0.4480934143066406,9.969155311584473,0.0,0.0,0.0,0.0,0.36858367919921875,7.440807342529297,0.0,0.0,0.0,0.0,0.34737396240234375,4.617286682128906,0.0,0.0,0.0,0.0,0.3198394775390625,4.7998504638671875,0.0,0.0,0.0,0.0,0.434173583984375,4.3826751708984375,0.0,0.0,0.0,0.0,0.49796009063720703,5.84921932220459,0.0,0.0,0.0,0.0,0.47551727294921875,7.812370300292969,0.0,0.0,0.0,0.0,0.420074462890625,8.327410697937012,0.0,0.0,0.0,0.0,0.4476585388183594,8.740411758422852,0.0,0.0,0.0,0.0,0.4224853515625,7.830038070678711,0.0,0.0,0.0,0.0,0.48895263671875,10.974502563476562,0.0,0.0,0.0,0.0,0.49947357177734375,9.510509490966797,0.0,0.0,0.0,0.0,0.49532318115234375,9.252422332763672,0.0,0.0,0.0,0.0,0.6411628723144531,11.866681098937988,0.0,0.0,0.0,0.0,0.512890100479126,8.648452997207642,0.0,0.0,0.0,0.0,0.5754013061523438,9.091305255889893,0.0,0.0,0.0,0.0,0.5709972381591797,8.182043075561523,0.0,0.0,0.0,0.0,0.502655029296875,10.9736048579216,0.0,0.0,0.0,0.0,0.5142726898193359,9.95484733581543,0.0,0.0,0.0,0.0,0.5669722557067871,9.603983402252197,0.0,0.0,0.0,0.0,0.3671722412109375,7.078544616699219,0.0,0.0,0.0,0.0,0.30767822265625,6.126651763916016,0.0,0.0,0.0,0.0,0.24078369140625,4.920440673828125,0.0,0.0,0.0,0.0,0.3538322448730469,5.864093780517578,0.0,0.0,0.0,0.0,0.2015838623046875,3.9843597412109375,0.0,0.0,0.0,0.0,0.308502197265625,4.413604736328125,0.0,0.0,0.0,0.0,0.2844696044921875,5.486288070678711,0.0,0.0,0.0,0.0,0.339935302734375,7.183653354644775,0.0,0.0,0.0,0.0,0.44092369079589844,8.501913070678711,0.0,0.0,0.0,0.0,0.3726654052734375,8.086998462677002,0.0,0.0,0.0,0.0,0.5144767761230469,10.826438903808594,0.0,0.0,0.0,0.0,0.7061784267425537,14.445020020008087,0.0,0.0,0.0,0.0
4,grounded,36,0.4050445556640625,10.597135066986084,0.0,0.0,0.0,0.0,0.3672752380371094,8.111835479736328,0.0,0.0,0.0,0.0,0.3236083984375,5.0996246337890625,0.0,0.0,0.0,0.0,0.316680908203125,5.1104583740234375,0.0,0.0,0.0,0.0,0.422882080078125,4.8755340576171875,0.0,0.0,0.0,0.0,0.4475860595703125,5.7129058837890625,0.0,0.0,0.0,0.0,0.442901611328125,7.588775634765625,0.0,0.0,0.0,0.0,0.43427276611328125,8.76736068725586,0.0,0.0,0.0,0.0,0.438812255859375,8.76014518737793,0.0,0.0,0.0,0.0,0.3781013488769531,8.113636016845703,0.0,0.0,0.0,0.0,0.520599365234375,11.93896484375,0.0,0.0,0.0,0.0,0.3856353759765625,8.483245849609375,0.0,0.0,0.0,0.0,0.45352768898010254,9.309400796890259,0.0,0.0,0.0,0.0,0.6426563262939453,12.421173095703125,0.0,0.0,0.0,0.0,0.5006197690963745,9.664918780326843,0.0,0.0,0.0,0.0,0.5681648254394531,9.703975677490234,0.0,0.0,0.0,0.0,0.6134958267211914,10.594149589538574,0.0,0.0,0.0,0.0,0.5007476806640625,12.444709777832031,0.0,0.0,0.0,0.0,0.4688301086425781,10.06332015991211,0.0,0.0,0.0,0.0,0.4691925048828125,9.608497619628906,0.0,0.0,0.0,0.0,0.337005615234375,7.127748489379883,0.0,0.0,0.0,0.0,0.3326568603515625,6.752246856689453,0.0,0.0,0.0,0.0,0.23471832275390625,5.664329528808594,0.0,0.0,0.0,0.0,0.3473386764526367,6.988184928894043,0.0,0.0,0.0,0.0,0.240478515625,4.657066345214844,0.0,0.0,0.0,0.0,0.2987060546875,4.87738037109375,0.0,0.0,0.0,0.0,0.28985595703125,5.943948745727539,0.0,0.0,0.0,0.0,0.282867431640625,7.147251605987549,0.0,0.0,0.0,0.0,0.42176055908203125,8.70794677734375,0.0,0.0,0.0,0.0,0.44603729248046875,8.284207820892334,0.0,0.0,0.0,0.0,0.5939817428588867,11.851895332336426,0.0,0.0,0.0,0.0,0.7243102192878723,14.624665558338165,0.0,0.0,0.0,0.0
4,hallucinated,33,0.3945960998535156,9.346355438232422,0.0,0.0,0.0,0.0,0.3673286437988281,7.011997222900391,0.0,0.0,0.0,0.0,0.3242034912109375,4.5635833740234375,0.0,0.0,0.0,0.0,0.319732666015625,4.53167724609375,0.0,0.0,0.0,0.0,0.4241790771484375,4.4745025634765625,0.0,0.0,0.0,0.0,0.4462890625,5.5162506103515625,0.0,0.0,0.0,0.0,0.443084716796875,7.004425048828125,0.0,0.0,0.0,0.0,0.42592620849609375,8.173973083496094,0.0,0.0,0.0,0.0,0.44036293029785156,7.845193862915039,0.0,0.0,0.0,0.0,0.3801841735839844,6.912532806396484,0.0,0.0,0.0,0.0,0.46875,10.025222778320312,0.0,0.0,0.0,0.0,0.43111419677734375,7.484958648681641,0.0,0.0,0.0,0.0,0.45618295669555664,7.931288242340088,0.0,0.0,0.0,0.0,0.6440696716308594,10.656227111816406,0.0,0.0,0.0,0.0,0.5020846128463745,8.769777178764343,0.0,0.0,0.0,0.0,0.5684890747070312,8.763457298278809,0.0,0.0,0.0,0.0,0.6148667335510254,9.633251667022705,0.0,0.0,0.0,0.0,0.5244293212890625,11.211402893066406,0.0,0.0,0.0,0.0,0.47056007385253906,9.290616989135742,0.0,0.0,0.0,0.0,0.53924560546875,9.181657791137695,0.0,0.0,0.0,0.0,0.385009765625,6.358272552490234,0.0,0.0,0.0,0.0,0.3583984375,5.934326171875,0.0,0.0,0.0,0.0,0.271148681640625,5.27911376953125,0.0,0.0,0.0,0.0,0.3964977264404297,5.933149337768555,0.0,0.0,0.0,0.0,0.23907470703125,4.065315246582031,0.0,0.0,0.0,0.0,0.29827880859375,4.574492812156677,0.0,0.0,0.0,0.0,0.276702880859375,5.216885566711426,0.0,0.0,0.0,0.0,0.3129081726074219,6.410545349121094,0.0,0.0,0.0,0.0,0.4478302001953125,8.337523460388184,0.0,0.0,0.0,0.0,0.48934173583984375,7.928532600402832,0.0,0.0,0.0,0.0,0.5959768295288086,10.861422538757324,0.0,0.0,0.0,0.0,0.7240048050880432,13.789400219917297,0.0,0.0,0.0,0.0
