setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
halueval_qwen1.5b,LEN,2.0,0.96724,0.0002065935354479813,0.976,1000,500,0.5
halueval_qwen1.5b,0D,56.0,0.789124,0.0014146522148178005,0.918,1000,500,0.5
halueval_qwen1.5b,SINK,56.0,0.819896,0.0015498679513644632,0.934,1000,500,0.5
halueval_qwen1.5b,1D,112.0,0.74708,0.0006188620381169306,0.878,1000,500,0.5
halueval_qwen1.5b,DEFL,168.0,0.824588,0.002095486790435278,0.952,1000,500,0.5
halueval_qwen1.5b,ANS,168.0,0.972152,0.0005541247352557439,0.978,1000,500,0.5
halueval_qwen1.5b,ROWSTAT,56.0,0.787712,0.001706746873115268,0.984,1000,500,0.5
halueval_qwen1.5b,LOGPROB,6.0,0.994536,0.00022122085495418183,0.988,1000,500,0.5
halueval_qwen1.5b,HIDDEN,1536.0,0.999584,0.00011286963965372004,1.0,1000,500,0.5
halueval_qwen1.5b,LEX,,0.978928,0.0003633963248148,0.98,1000,500,0.5
halueval_qwen1.5b,LEGACY_MSTPROXY,28.0,0.71924,0.0002694455211891729,0.976,1000,500,0.5
halueval_qwen1.5b,LLMCHECK,28.0,0.790932,0.0005249101510417542,0.978,1000,500,0.5
halueval_qwen1.5b,LOOKBACK,336.0,0.99884,0.00021566228743620628,0.998,1000,500,0.5
halueval_qwen1.5b,PH_0D,672.0,0.948756,0.002661995241668663,0.974,1000,500,0.5
halueval_qwen1.5b,PH_0DTOT,336.0,0.920772,0.0007388086506140978,0.996,1000,500,0.5
halueval_qwen1.5b,PH_SINK,336.0,0.922456,0.0006722406976340613,0.998,1000,500,0.5
halueval_qwen1.5b,PH_ENT,336.0,0.932956,0.0011182144497168683,0.996,1000,500,0.5
halueval_qwen1.5b,0D+SINK,112.0,0.832044,0.0014713343905750375,0.924,1000,500,0.5
halueval_qwen1.5b,0D+1D,168.0,0.815404,0.003195030029418946,0.922,1000,500,0.5
halueval_qwen1.5b,SINK+DEFL,224.0,0.871772,0.0028406052563181273,0.962,1000,500,0.5
halueval_qwen1.5b,SINK+ANS,224.0,0.974988,0.0015171587480111162,0.99,1000,500,0.5
halueval_qwen1.5b,SINK+1D,168.0,0.826188,0.003479565234655347,0.94,1000,500,0.5
halueval_qwen1.5b,PH_SINK+PH_0DTOT,672.0,0.93062,0.002388640524556894,0.998,1000,500,0.5
halueval_qwen1.5b,NONTOPO,1962.0,0.999772,0.00022310137207607805,1.0,1000,500,0.5
halueval_qwen1.5b,NONTOPO+0D,2018.0,0.99978,2.7194770739188716e-05,1.0,1000,500,0.5
halueval_qwen1.5b,NONTOPO+DEFL,2130.0,0.999776,9.260669522231212e-05,1.0,1000,500,0.5
halueval_qwen1.5b,LOGPROB+0D,62.0,0.993688,0.00019504073648567898,0.99,1000,500,0.5
halueval_qwen1.5b,HIDDEN+0D,1592.0,0.999628,0.00014319528235555036,1.0,1000,500,0.5
halueval_qwen1.5b,LEX+0D,,0.97108,0.0003960336686023916,0.986,1000,500,0.5
halueval_qwen1.5b,LEX+SINK,,0.968172,0.0004946253352004948,0.984,1000,500,0.5
halueval_qwen1.5b,LEX+DEFL,,0.956452,0.00022590460130082036,0.986,1000,500,0.5
