setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
halueval_qwen3b,LEN,2.0,0.962309,8.877061575893305e-05,0.97,2000,1000,0.5
halueval_qwen3b,0D,72.0,0.810976,0.000576458922117549,0.927,2000,1000,0.5
halueval_qwen3b,SINK,72.0,0.828583,0.0008053207780478146,0.93,2000,1000,0.5
halueval_qwen3b,1D,144.0,0.710115,0.0012621157721153125,0.891,2000,1000,0.5
halueval_qwen3b,DEFL,216.0,0.833862,0.0009203927905459022,0.959,2000,1000,0.5
halueval_qwen3b,ANS,216.0,0.978451,0.0008993890518939242,0.98,2000,1000,0.5
halueval_qwen3b,ROWSTAT,72.0,0.82937,0.00021587856668868116,0.976,2000,1000,0.5
halueval_qwen3b,LOGPROB,6.0,0.992844,6.341573586698437e-05,0.991,2000,1000,0.5
halueval_qwen3b,HIDDEN,2048.0,0.999698,3.445125380719935e-05,1.0,2000,1000,0.5
halueval_qwen3b,LEX,,0.981107,0.0003555187133690177,0.977,2000,1000,0.5
halueval_qwen3b,LEGACY_MSTPROXY,36.0,0.730649,0.0001535339267610379,0.96,2000,1000,0.5
halueval_qwen3b,LLMCHECK,36.0,0.744861,0.00043439945774468246,0.956,2000,1000,0.5
halueval_qwen3b,LOOKBACK,576.0,0.997949,6.38870531137008e-05,0.998,2000,1000,0.5
halueval_qwen3b,PH_0D,1152.0,0.970542,0.0005816954147623345,0.988,2000,1000,0.5
halueval_qwen3b,PH_0DTOT,576.0,0.95784,0.0005380497705189829,0.995,2000,1000,0.5
halueval_qwen3b,PH_SINK,576.0,0.958083,0.0007263747119925402,0.999,2000,1000,0.5
halueval_qwen3b,PH_ENT,576.0,0.964171,0.0005123295380470856,0.993,2000,1000,0.5
halueval_qwen3b,0D+SINK,144.0,0.857056,0.001007237917387043,0.948,2000,1000,0.5
halueval_qwen3b,0D+1D,216.0,0.826461,0.0013310237496837827,0.945,2000,1000,0.5
halueval_qwen3b,SINK+DEFL,288.0,0.887026,0.0019510800997282161,0.957,2000,1000,0.5
halueval_qwen3b,SINK+ANS,288.0,0.978469,0.0002542806848084632,0.982,2000,1000,0.5
halueval_qwen3b,SINK+1D,216.0,0.842585,0.0011264532342218636,0.938,2000,1000,0.5
halueval_qwen3b,PH_SINK+PH_0DTOT,1152.0,0.96204,0.0005752149356737789,0.997,2000,1000,0.5
halueval_qwen3b,NONTOPO,2738.0,0.99978,0.00016232546182146267,1.0,2000,1000,0.5
halueval_qwen3b,NONTOPO+0D,2810.0,0.999809,0.00021122868071250445,1.0,2000,1000,0.5
halueval_qwen3b,NONTOPO+DEFL,2954.0,0.999821,0.0001842142472473068,1.0,2000,1000,0.5
halueval_qwen3b,LOGPROB+0D,78.0,0.993055,0.00027005472696391315,0.992,2000,1000,0.5
halueval_qwen3b,HIDDEN+0D,2120.0,0.999696,3.1436002007603714e-05,1.0,2000,1000,0.5
halueval_qwen3b,LEX+0D,,0.978627,5.6310646319190436e-05,0.983,2000,1000,0.5
halueval_qwen3b,LEX+SINK,,0.980156,0.0003024415462347803,0.981,2000,1000,0.5
halueval_qwen3b,LEX+DEFL,,0.970687,0.00028574930737739124,0.975,2000,1000,0.5
