setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
triviaqa_qwen7b,LEN,2.0,0.5947011436618196,0.00044325048439326927,,2000,2000,0.4855
triviaqa_qwen7b,0D,56.0,0.6675414023193506,0.0005764884919335223,,2000,2000,0.4855
triviaqa_qwen7b,SINK,56.0,0.7136331654921789,0.002302475642469008,,2000,2000,0.4855
triviaqa_qwen7b,1D,112.0,0.5815370726781223,0.002227969307636718,,2000,2000,0.4855
triviaqa_qwen7b,DEFL,168.0,0.6717779652687911,0.0015827197678732056,,2000,2000,0.4855
triviaqa_qwen7b,ANS,168.0,0.7553752706025768,0.0026398302950813774,,2000,2000,0.4855
triviaqa_qwen7b,ROWSTAT,56.0,0.7343856183049945,0.0015887119286468908,,2000,2000,0.4855
triviaqa_qwen7b,LOGPROB,6.0,0.8472014964585216,0.0003135530567370395,,2000,2000,0.4855
triviaqa_qwen7b,HIDDEN,3584.0,0.8536889524089759,0.0006806493825604473,,2000,2000,0.4855
triviaqa_qwen7b,LEX,,0.5939124803960131,0.0028512580699651562,,2000,2000,0.4855
triviaqa_qwen7b,LEGACY_MSTPROXY,28.0,0.6717269223416894,0.0005389389846270642,,2000,2000,0.4855
triviaqa_qwen7b,LLMCHECK,28.0,0.725301978964309,0.0015382467118288201,,2000,2000,0.4855
triviaqa_qwen7b,LOOKBACK,784.0,0.8785768831587365,0.0010131138525880966,,2000,2000,0.4855
triviaqa_qwen7b,PH_0D,1568.0,0.7975407317554063,0.002915378922054156,,2000,2000,0.4855
triviaqa_qwen7b,PH_0DTOT,784.0,0.821553926852483,0.0010621759520826764,,2000,2000,0.4855
triviaqa_qwen7b,PH_SINK,784.0,0.8011397585369295,0.0008806885110280096,,2000,2000,0.4855
triviaqa_qwen7b,PH_ENT,784.0,0.8412054537866346,0.002129794498858447,,2000,2000,0.4855
triviaqa_qwen7b,0D+SINK,112.0,0.7353844583294551,0.0008405014132837179,,2000,2000,0.4855
triviaqa_qwen7b,0D+1D,168.0,0.6677155487765211,0.002052779667250818,,2000,2000,0.4855
triviaqa_qwen7b,SINK+DEFL,224.0,0.7337460804536615,0.0021145133945906372,,2000,2000,0.4855
triviaqa_qwen7b,SINK+ANS,224.0,0.7807416036887022,0.0034606657933243324,,2000,2000,0.4855
triviaqa_qwen7b,SINK+1D,168.0,0.7181169363434649,0.0023337883240967974,,2000,2000,0.4855
triviaqa_qwen7b,PH_SINK+PH_0DTOT,1568.0,0.8322419154508942,0.0010082980049537823,,2000,2000,0.4855
triviaqa_qwen7b,NONTOPO,4458.0,0.8811050093128321,0.0007743390689316212,,2000,2000,0.4855
triviaqa_qwen7b,NONTOPO+0D,4514.0,0.8806856566372319,0.0006976133940905768,,2000,2000,0.4855
triviaqa_qwen7b,NONTOPO+DEFL,4626.0,0.8811920825414173,0.0007083170773795571,,2000,2000,0.4855
triviaqa_qwen7b,LOGPROB+0D,62.0,0.8423073805070064,0.0012129642710829568,,2000,2000,0.4855
triviaqa_qwen7b,HIDDEN+0D,3640.0,0.8529072950351245,0.0008132440898991853,,2000,2000,0.4855
triviaqa_qwen7b,LEX+0D,,0.6784765988196073,0.004307255156468074,,2000,2000,0.4855
triviaqa_qwen7b,LEX+SINK,,0.7275798946914355,0.0006738077551115639,,2000,2000,0.4855
triviaqa_qwen7b,LEX+DEFL,,0.6784846055532703,0.0022394478750436455,,2000,2000,0.4855
