setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_phi3,LEN,2.0,0.5223187198590539,0.0003551431452822563,0.5624235006119951,1634,817,0.5
truthfulqa_phi3,0D,64.0,0.6467252643863795,0.001028476730824809,0.7172582619339045,1634,817,0.5
truthfulqa_phi3,SINK,64.0,0.6518684203035555,0.0006575918525451585,0.7074663402692778,1634,817,0.5
truthfulqa_phi3,1D,128.0,0.5293585362455411,0.0021156187713652925,0.5507955936352509,1634,817,0.5
truthfulqa_phi3,DEFL,192.0,0.6387610881977082,0.0011357277005747163,0.6854345165238678,1634,817,0.5
truthfulqa_phi3,ANS,192.0,0.6230709419930516,0.0048086876794885885,0.6554467564259486,1634,817,0.5
truthfulqa_phi3,ROWSTAT,64.0,0.6611105201733661,0.0010918725036724814,0.7343941248470012,1634,817,0.5
truthfulqa_phi3,LOGPROB,6.0,0.5779870529701613,0.0016991344078215373,0.598531211750306,1634,817,0.5
truthfulqa_phi3,HIDDEN,3072.0,0.9327090034442516,0.0006994325448137986,0.9473684210526315,1634,817,0.5
truthfulqa_phi3,LEX,,0.8200734394124847,0.0013699546120010185,0.8292533659730722,1634,817,0.5
truthfulqa_phi3,LEGACY_MSTPROXY,32.0,0.6138198532110641,0.0008080854227026832,0.6952264381884945,1634,817,0.5
truthfulqa_phi3,LLMCHECK,32.0,0.6534399817824713,0.0007122480086878154,0.7539779681762546,1634,817,0.5
truthfulqa_phi3,LOOKBACK,1024.0,0.8921045889894815,0.0003728770353257648,0.9033047735618115,1634,817,0.5
truthfulqa_phi3,PH_0D,2048.0,0.8681071897814047,0.0006388138523787569,0.8788249694002448,1634,817,0.5
truthfulqa_phi3,PH_0DTOT,1024.0,0.8459060748566644,0.0020036330771903772,0.8837209302325582,1634,817,0.5
truthfulqa_phi3,PH_SINK,1024.0,0.8709776490698723,0.0008200074000702686,0.8984088127294981,1634,817,0.5
truthfulqa_phi3,PH_ENT,1024.0,0.8638374564974104,0.0010606182784859083,0.8971848225214198,1634,817,0.5
truthfulqa_phi3,0D+SINK,128.0,0.6576692649616698,0.0006804341244711795,0.7074663402692778,1634,817,0.5
truthfulqa_phi3,0D+1D,192.0,0.6452810458299687,0.0012365254314340229,0.7074663402692778,1634,817,0.5
truthfulqa_phi3,SINK+DEFL,256.0,0.6848577279925212,0.0015485000322464032,0.7270501835985312,1634,817,0.5
truthfulqa_phi3,SINK+ANS,256.0,0.6720395392283618,0.0012812159796099952,0.7086903304773562,1634,817,0.5
truthfulqa_phi3,SINK+1D,192.0,0.6535942914415069,0.0009752827796785215,0.7050183598531212,1634,817,0.5
truthfulqa_phi3,PH_SINK+PH_0DTOT,2048.0,0.8709791472219018,0.0006606369166671051,0.9057527539779682,1634,817,0.5
truthfulqa_phi3,NONTOPO,4198.0,0.9363420221157203,0.0005657873173911379,0.9412484700122399,1634,817,0.5
truthfulqa_phi3,NONTOPO+0D,4262.0,0.9364603761260485,0.0005710075651405162,0.9436964504283966,1634,817,0.5
truthfulqa_phi3,NONTOPO+DEFL,4390.0,0.9372603893097864,0.0006875427933008755,0.9424724602203183,1634,817,0.5
truthfulqa_phi3,LOGPROB+0D,70.0,0.6561126850030488,0.0010277170048382468,0.6988984088127295,1634,817,0.5
truthfulqa_phi3,HIDDEN+0D,3136.0,0.9329097558162007,0.0007989416896120126,0.9436964504283966,1634,817,0.5
truthfulqa_phi3,LEX+0D,,0.8211146550729675,0.0002999099305558284,0.8421052631578947,1634,817,0.5
truthfulqa_phi3,LEX+SINK,,0.8199311149696848,0.00047844689069449694,0.8323133414932681,1634,817,0.5
truthfulqa_phi3,LEX+DEFL,,0.802464160458075,0.0009731027620038274,0.8274173806609547,1634,817,0.5
