setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen3b,LEN,2.0,0.5287712606499883,0.00034801512350106714,0.5673194614443084,1634,817,0.5
truthfulqa_qwen3b,0D,72.0,0.7359417158934455,0.0012523087375096624,0.7784577723378213,1634,817,0.5
truthfulqa_qwen3b,SINK,72.0,0.737287056415911,0.002191827765508214,0.7674418604651163,1634,817,0.5
truthfulqa_qwen3b,1D,144.0,0.6601007657055022,0.00013791138398221652,0.6744186046511628,1634,817,0.5
truthfulqa_qwen3b,DEFL,216.0,0.715093432251318,0.002786089393743061,0.7527539779681762,1634,817,0.5
truthfulqa_qwen3b,ANS,216.0,0.7482100828627888,0.0016730096246070814,0.7490820073439413,1634,817,0.5
truthfulqa_qwen3b,ROWSTAT,72.0,0.7498190981424413,0.00034581107719454824,0.8225214198286414,1634,817,0.5
truthfulqa_qwen3b,LOGPROB,6.0,0.6300613193625663,0.0005825664974688315,0.6940024479804161,1634,817,0.5
truthfulqa_qwen3b,HIDDEN,2048.0,0.9133498829194189,0.0008216616896078016,0.9179926560587516,1634,817,0.5
truthfulqa_qwen3b,LEX,,0.8200734394124847,0.0013699546120010185,0.8292533659730722,1634,817,0.5
truthfulqa_qwen3b,LEGACY_MSTPROXY,36.0,0.7130259824506471,0.0007572897945579582,0.7882496940024479,1634,817,0.5
truthfulqa_qwen3b,LLMCHECK,36.0,0.6931544939317352,0.00114013033283251,0.7637698898408812,1634,817,0.5
truthfulqa_qwen3b,LOOKBACK,576.0,0.8966859378956058,0.002186806057255842,0.9082007343941249,1634,817,0.5
truthfulqa_qwen3b,PH_0D,1152.0,0.8525863347560784,0.001267587918502425,0.8616891064871481,1634,817,0.5
truthfulqa_qwen3b,PH_0DTOT,576.0,0.8421562003268968,0.0010855379369116855,0.8690330477356181,1634,817,0.5
truthfulqa_qwen3b,PH_SINK,576.0,0.8511481088077856,0.0015079247277187742,0.8702570379436965,1634,817,0.5
truthfulqa_qwen3b,PH_ENT,576.0,0.856568422850414,0.0012653289120643264,0.9008567931456548,1634,817,0.5
truthfulqa_qwen3b,0D+SINK,144.0,0.7405650130563949,0.0015182454961595831,0.7760097919216646,1634,817,0.5
truthfulqa_qwen3b,0D+1D,216.0,0.7692066835558339,0.0004298434629339205,0.7906976744186046,1634,817,0.5
truthfulqa_qwen3b,SINK+DEFL,288.0,0.7659991400607351,0.0024327922454266283,0.799265605875153,1634,817,0.5
truthfulqa_qwen3b,SINK+ANS,288.0,0.7847320330372486,0.0030642983323833856,0.7968176254589964,1634,817,0.5
truthfulqa_qwen3b,SINK+1D,216.0,0.7656216057493083,0.0006680795044270066,0.7870257037943696,1634,817,0.5
truthfulqa_qwen3b,PH_SINK+PH_0DTOT,1152.0,0.8597340180886877,0.0022471990797482354,0.8922888616891065,1634,817,0.5
truthfulqa_qwen3b,NONTOPO,2738.0,0.9262744404776708,0.0005918772935952902,0.9363525091799265,1634,817,0.5
truthfulqa_qwen3b,NONTOPO+0D,2810.0,0.9263493480791444,0.0004266779764024986,0.9363525091799265,1634,817,0.5
truthfulqa_qwen3b,NONTOPO+DEFL,2954.0,0.9277096701219046,0.0006007600016060824,0.9326805385556916,1634,817,0.5
truthfulqa_qwen3b,LOGPROB+0D,78.0,0.7762659759187043,0.0022264267555474285,0.8102815177478581,1634,817,0.5
truthfulqa_qwen3b,HIDDEN+0D,2120.0,0.9133768496559493,0.0007335663842399672,0.9204406364749081,1634,817,0.5
truthfulqa_qwen3b,LEX+0D,,0.840397369844297,0.0014789537155608273,0.8482252141982864,1634,817,0.5
truthfulqa_qwen3b,LEX+SINK,,0.8425322364862942,0.002009604153552657,0.8506731946144431,1634,817,0.5
truthfulqa_qwen3b,LEX+DEFL,,0.829854874012905,0.00035472227325418786,0.8543451652386781,1634,817,0.5
