setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_smollm,LEN,2.0,0.5240011445881505,0.0002676688975773886,0.554467564259486,1634,817,0.5
truthfulqa_smollm,0D,48.0,0.582862039674062,0.002883891507250436,0.6560587515299877,1634,817,0.5
truthfulqa_smollm,SINK,48.0,0.6108625011048872,0.0019445514465110856,0.627906976744186,1634,817,0.5
truthfulqa_smollm,1D,96.0,0.5433812392413957,0.0014807912302321488,0.5813953488372093,1634,817,0.5
truthfulqa_smollm,DEFL,144.0,0.5935004172353402,0.002290354844595513,0.6499388004895961,1634,817,0.5
truthfulqa_smollm,ANS,144.0,0.6275908666659675,0.004097559643970482,0.6303549571603427,1634,817,0.5
truthfulqa_smollm,ROWSTAT,48.0,0.6732155885714971,0.0013809496642567234,0.7405140758873929,1634,817,0.5
truthfulqa_smollm,LOGPROB,6.0,0.5883452761019282,0.0009685235842111925,0.5924112607099143,1634,817,0.5
truthfulqa_smollm,HIDDEN,2048.0,0.8937420691576939,0.0021692355031000484,0.8922888616891065,1634,817,0.5
truthfulqa_smollm,LEX,,0.8200734394124847,0.0013699546120010185,0.8292533659730722,1634,817,0.5
truthfulqa_smollm,LEGACY_MSTPROXY,24.0,0.5846283609168091,0.0010694926223985314,0.6744186046511628,1634,817,0.5
truthfulqa_smollm,LLMCHECK,24.0,0.6039080793840798,0.0004318854696302298,0.6842105263157895,1634,817,0.5
truthfulqa_smollm,LOOKBACK,768.0,0.8628786391985486,0.001697727461463468,0.8641370869033048,1634,817,0.5
truthfulqa_smollm,PH_0D,1536.0,0.8000446449304782,0.001241522080959598,0.817625458996328,1634,817,0.5
truthfulqa_smollm,PH_0DTOT,768.0,0.8189453309342926,0.0018557439051549293,0.8445532435740514,1634,817,0.5
truthfulqa_smollm,PH_SINK,768.0,0.7197916370157411,0.0007926380570095807,0.7747858017135862,1634,817,0.5
truthfulqa_smollm,PH_ENT,768.0,0.8340871534961625,0.0006504629608596236,0.8408812729498164,1634,817,0.5
truthfulqa_smollm,0D+SINK,96.0,0.6409453938566778,0.0025595418705412895,0.6621787025703795,1634,817,0.5
truthfulqa_smollm,0D+1D,144.0,0.5875872111750157,0.0018589220797299729,0.642594859241126,1634,817,0.5
truthfulqa_smollm,SINK+DEFL,192.0,0.6521350913648015,0.002165463582834011,0.6805385556915544,1634,817,0.5
truthfulqa_smollm,SINK+ANS,192.0,0.6464585933251334,0.0020653415423367407,0.6511627906976745,1634,817,0.5
truthfulqa_smollm,SINK+1D,144.0,0.6288433217626058,0.0012736315084677793,0.6499388004895961,1634,817,0.5
truthfulqa_smollm,PH_SINK+PH_0DTOT,1536.0,0.825661546482414,0.002308436061992383,0.8543451652386781,1634,817,0.5
truthfulqa_smollm,NONTOPO,2894.0,0.8992387889538255,0.0014843137756295841,0.9033047735618115,1634,817,0.5
truthfulqa_smollm,NONTOPO+0D,2942.0,0.8991953425449708,0.0012997353181413275,0.9020807833537332,1634,817,0.5
truthfulqa_smollm,NONTOPO+DEFL,3038.0,0.8985151815235907,0.0011731904732401658,0.8996328029375765,1634,817,0.5
truthfulqa_smollm,LOGPROB+0D,54.0,0.6134288355313721,0.0009442708557832803,0.6303549571603427,1634,817,0.5
truthfulqa_smollm,HIDDEN+0D,2096.0,0.8937885118706076,0.0020358345734313504,0.8910648714810282,1634,817,0.5
truthfulqa_smollm,LEX+0D,,0.8267971457207535,0.0008440517564605578,0.8384332925336597,1634,817,0.5
truthfulqa_smollm,LEX+SINK,,0.8189288512619683,0.0014992813768969172,0.8261933904528764,1634,817,0.5
truthfulqa_smollm,LEX+DEFL,,0.8219596128175896,9.271881506382981e-05,0.8445532435740514,1634,817,0.5
