setting,graphs,open,u0_median,u0_q90,u0_q99,u0_max,gap_rel_median,gap_rel_q99,frac_vacuous,n_h1,u1_median,u1_q90,u1_max,delta0_median_open
truthfulqa_qwen3b,58824,22248,0.431564802702697,0.5392702631247008,0.5992109995841824,0.6601361435572792,0.16607213647782637,0.5100297507952215,0.05497123336929162,14012,0.1603810994429431,0.415503367445115,0.9740627390971691,0.34045594930648804
truthfulqa_qwen1.5b,45752,16222,0.04806955904454675,0.4374810498917533,0.6470215475995149,0.692429589009166,0.021110024826292564,0.2942390541233327,0.009369991369744791,8986,0.1481842571815682,0.4052545425382312,0.8985113611946712,0.19288532435894012
truthfulqa_phi3,52288,6062,0.44063345026850703,0.5947610987437173,0.7019151556877281,0.8043727136107517,0.17066928082496244,0.31777138809857824,0.0006598482349059716,4555,0.0758428009792119,0.16094025151129612,0.9690054421148433,0.28815509378910065
truthfulqa_tinyllama,35948,22948,0.14448855426714446,0.4043785003318737,0.5065122931569346,0.5917429092340344,0.0524079084215448,0.283668615055882,0.0,9072,0.15186824078483951,0.7596081386586285,0.9970935060621159,0.20886611938476562
truthfulqa_smollm,39216,39216,0.6905998455591394,0.7962384923132634,0.836740910803313,0.8778909195376093,0.5795600890551799,0.7190488024751346,0.0,33986,0.05416010217822557,0.13722537865749768,0.27415837664866055,0.8414441049098969
truthfulqa_mistral,52288,938,0.03571418640098433,0.047619047619047616,0.061748382896191834,0.07616680801629054,0.003864758827881079,0.02286719186495077,0.0,4,0.40980424792788916,0.6527066209784476,0.6548930896302009,0.04907594621181488
truthfulqa_mistral_chat,52288,939,0.034482651839616324,0.045454545454545456,0.05965159975701451,0.07323731540027936,0.003693136926460603,0.02197315554718742,0.0,4,0.4031802441570047,0.6582300346372875,0.6684613980893016,0.04918627440929413
truthfulqa_qwen7b,45752,45752,0.7252143714114923,0.7947654657631569,0.838968369868448,0.8599655991597559,0.5916236838513085,0.7491289565492039,0.0,28169,0.02112383744201063,0.06381244468433919,0.18598465728420271,0.8244892656803131
halueval_qwen3b,72000,34038,0.02927644044894935,0.522837022176906,0.6298321115122333,0.8008368194246667,0.00563014602829708,0.5084542534117232,0.0,20012,0.10997911939532631,0.26304022986241016,0.9999091818829852,0.16357994079589844
halueval_qwen1.5b,28000,10501,0.028758458165324526,0.46615105612473895,0.542218426182001,0.6040242398861694,0.005580374079972683,0.19780666498841717,0.0,5849,0.17690709793095735,0.411384107005963,0.9969273368493669,0.1159617006778717
triviaqa_qwen3b,72000,26656,0.4221122699679746,0.48711791612853594,0.5344627558803312,0.5482602440500187,0.17753543401481164,0.45461689344801925,0.0,20584,0.1719390284203569,0.6386620709743192,0.9998794923848457,0.3435312323272228
triviaqa_qwen1.5b,56000,27661,0.026286545551183958,0.3778688077427545,0.523485793190239,0.5449028868606638,0.008580195669860739,0.2759549536483125,0.0,12914,0.16005188877776447,0.34294169261580226,0.9997943468756717,0.1529134213924408
triviaqa_phi3,64000,8237,0.43509530247494854,0.48337917472692815,0.5155012864332933,0.6086311403245465,0.16741617712242846,0.2618160103454584,0.0,6284,0.037108547748875294,0.237560876199235,0.9992632529806221,0.19488525390625
triviaqa_tinyllama,44000,28000,0.1318474732292667,0.33056226002189304,0.40284595724325756,0.44306038649271273,0.0444214441307615,0.21137544988709242,0.0,15850,0.0687158706711408,0.7400810105184689,0.9913446054750402,0.2172260284423828
triviaqa_qwen7b,56000,56000,0.7099878649957831,0.7818994791823337,0.8136942464627654,0.8350821912866611,0.5746732364602013,0.7553742095368947,0.0,30911,0.02167795551373283,0.0813095228705991,0.23283021658290673,0.8359767622314394
