setting,layer_graphs,layer_viol,head_graphs,head_viol
truthfulqa_qwen3b,58824,0,941184.0,0.0
truthfulqa_qwen1.5b,45752,0,549024.0,0.0
truthfulqa_phi3,52288,0,1673216.0,0.0
truthfulqa_tinyllama,35948,0,1150336.0,0.0
truthfulqa_smollm,39216,0,1254912.0,0.0
truthfulqa_mistral,52288,0,,
truthfulqa_mistral_chat,52288,0,,
truthfulqa_qwen7b,45752,0,,
halueval_qwen3b,72000,0,1152000.0,0.0
halueval_qwen1.5b,28000,0,336000.0,0.0
triviaqa_qwen3b,72000,0,1152000.0,0.0
triviaqa_qwen1.5b,56000,0,672000.0,0.0
triviaqa_phi3,64000,0,2048000.0,0.0
triviaqa_tinyllama,44000,0,1408000.0,0.0
triviaqa_qwen7b,56000,0,,
