setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
halueval_qwen1.5b,T1_reduction,0D,SINK,0.789124,0.819896,0.03077199999999991,0.008570150935277292,0.014291599999999972,0.04747199999999996,0.016852000000000082,0.04509260000000001,0.0004,500,0.993,False,0.0,0.9698,False,0.08394734659092684,0.8963,False,0.5090682094889911,0.7555,False,0.7967149308156616
halueval_qwen1.5b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.789124,0.71924,-0.06988400000000006,0.010009309176049296,-0.08876839999999996,-0.04956760000000006,-0.0857,-0.05288780000000004,0.0,500,1.0,False,0.0,1.0,False,0.0,1.0,False,0.2761261618788122,1.0,False,0.6062415586010461
halueval_qwen1.5b,T2_topo_beyond_sink,SINK,0D+SINK,0.819896,0.832044,0.012148000000000048,0.004524774972722846,0.00329200000000007,0.02098,0.004651599999999989,0.01948439999999994,0.0062,500,0.6786,False,0.4280629637946278,0.2629,False,0.9051258087110507,0.0408,True,0.9944841675715406,0.0021,True,0.9998956650111197
halueval_qwen1.5b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.819896,0.871772,0.05187600000000003,0.008071416991964264,0.03598800000000002,0.06781609999999999,0.03849199999999997,0.06520919999999993,0.0,500,1.0,False,0.0,1.0,False,0.16910677799344986,1.0,False,0.595169953264695,1.0,False,0.8536362453359474
halueval_qwen1.5b,T4_1D_beyond_0D,0D,0D+1D,0.789124,0.815404,0.02627999999999997,0.008062460040852046,0.010611900000000063,0.0421884,0.012967799999999979,0.039536000000000016,0.0006,500,0.9797,False,0.0,0.9178,False,0.17071658885730767,0.7857,False,0.5967206575879707,0.5686,False,0.8545899458369639
halueval_qwen1.5b,T4b_1D_beyond_sink,SINK,SINK+1D,0.819896,0.826188,0.006292000000000075,0.006687942992865893,-0.006952899999999958,0.01925680000000004,-0.00468839999999992,0.017284199999999965,0.3422,500,0.2862,False,0.0,0.0951,False,0.4501523649004351,0.02,True,0.8215692502021703,0.0025,True,0.9636701686864635
halueval_qwen1.5b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.819896,0.970496,0.15060000000000007,0.01038366614888095,0.1301119,0.17099240000000002,0.13339899999999996,0.16756080000000004,0.0,500,1.0,False,0.0,1.0,False,0.0,1.0,False,0.2214800849078249,1.0,False,0.5544017249139075
halueval_qwen1.5b,PH_reduction,PH_0DTOT,PH_SINK,0.920772,0.922456,0.0016840000000000188,0.006624028121943096,-0.011108200000000007,0.014748699999999974,-0.009128200000000019,0.012560200000000007,0.8062,500,0.1062,False,0.0,0.0228,True,0.46449826822520324,0.003,True,0.8307002192972641,0.0006,True,0.966769306930839
halueval_qwen1.5b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.922456,0.93062,0.008163999999999949,0.0015931266848162968,0.00503590000000004,0.011307999999999985,0.005551800000000002,0.01080399999999993,0.0,500,0.1252,False,0.9999963804417675,0.0,True,0.9999999999999922,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.948756,0.932956,-0.015800000000000036,0.007223986598277713,-0.029944100000000078,-0.001599699999999939,-0.02769620000000005,-0.003811400000000046,0.0306,500,0.7885,False,0.0,0.5457,False,0.33394035282218004,0.2775,False,0.7388600185566445,0.0989,False,0.9306049875480833
