setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
halueval_qwen3b,T1_reduction,0D,SINK,0.810976,0.828583,0.017606999999999928,0.0058780163495032785,0.006264849999999963,0.029293624999999896,0.008208299999999913,0.027556199999999916,0.0018,1000,0.9097,False,0.04497729923656091,0.676,False,0.6356078362158077,0.3508,False,0.9211937322661212,0.1101,False,0.9909002012581629
halueval_qwen3b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.810976,0.730649,-0.08032700000000004,0.00665572548629644,-0.09299017499999991,-0.06717492499999998,-0.09090650000000004,-0.06912494999999999,0.0,1000,1.0,False,0.0,1.0,False,0.4573728778733388,1.0,False,0.8261947571946309,1.0,False,0.9652544025839289
halueval_qwen3b,T2_topo_beyond_sink,SINK,0D+SINK,0.828583,0.857056,0.02847300000000008,0.003982390668678175,0.020463999999999927,0.03626815000000007,0.021799899999999935,0.034964249999999995,0.0,1000,1.0,False,0.6136199840284315,0.9997,False,0.9661394241435228,0.9815,False,0.9992678695550494,0.8037,False,0.9999963921668193
halueval_qwen3b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.828583,0.887026,0.05844300000000002,0.00543676744795555,0.047680849999999976,0.06897940000000001,0.04945699999999997,0.06722809999999996,0.0,1000,1.0,False,0.15419574211657716,1.0,False,0.7347803374384627,1.0,False,0.9580285268895732,1.0,False,0.9968577381598762
halueval_qwen3b,T4_1D_beyond_0D,0D,0D+1D,0.810976,0.826461,0.015484999999999971,0.004216919699364264,0.007423999999999986,0.023876350000000005,0.008728400000000093,0.022535100000000072,0.0006,1000,0.9063,False,0.5324956196558892,0.5509,False,0.9441552454233342,0.1476,False,0.9980513226015306,0.0123,True,0.9999816143297602
halueval_qwen3b,T4b_1D_beyond_sink,SINK,SINK+1D,0.828583,0.842585,0.01400200000000007,0.003988111914914881,0.006211824999999996,0.021939074999999933,0.00743585,0.020583999999999943,0.0006,1000,0.8411,False,0.6116417855035956,0.3959,False,0.9656827964570125,0.0674,False,0.9992484566596118,0.0024,True,0.9999962318481108
halueval_qwen3b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.828583,0.978469,0.14988600000000007,0.006754890306995773,0.13644590000000006,0.16317827500000004,0.13874309999999998,0.1609535499999999,0.0,1000,1.0,False,0.0,1.0,False,0.4352224396589073,1.0,False,0.8118139590604683,1.0,False,0.9602337441145083
halueval_qwen3b,PH_reduction,PH_0DTOT,PH_SINK,0.95784,0.958083,0.00024299999999999322,0.0031559113616080508,-0.0059031749999999905,0.006479075000000011,-0.004952200000000062,0.005552099999999997,0.9384,1000,0.0014,True,0.8724421136116514,0.0,True,0.9981172577260771,0.0,True,0.9999973006064213,0.0,True,0.999999999654362
halueval_qwen3b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.958083,0.96204,0.003956999999999988,0.000636330289306732,0.002742924999999941,0.005210025000000045,0.0029339499999999907,0.005000100000000006,0.0,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.970542,0.964171,-0.0063710000000000155,0.0035726130850958025,-0.013329550000000034,0.0007199999999999457,-0.012174150000000017,-0.0004604000000000473,0.0758,1000,0.1506,False,0.7515892043654571,0.0097,True,0.9893431434127946,0.0,True,0.9999229159762337,0.0,True,0.9999999134086521
halueval_qwen3b,B_logprob,0D,LOGPROB,0.810976,0.992844,0.18186799999999992,0.007261617223152136,0.16780350000000008,0.1963777499999999,0.17004055,0.19396850000000002,0.0,1000,1.0,False,0.0,1.0,False,0.32610028085644904,1.0,False,0.7327224103081749,1.0,False,0.9278080380414815
halueval_qwen3b,B_hidden,0D,HIDDEN,0.810976,0.999698,0.18872199999999995,0.0072702171462389505,0.17443789999999998,0.20340237499999997,0.17677369999999998,0.2008145,0.0,1000,1.0,False,0.0,1.0,False,0.32431495775634844,1.0,False,0.7313149618989332,1.0,False,0.9271602054414219
halueval_qwen3b,B_lookback,0D,LOOKBACK,0.810976,0.997949,0.18697299999999994,0.00729230148536408,0.17274382500000002,0.20162035000000003,0.17488880000000007,0.1991535,0.0,1000,1.0,False,0.0,1.0,False,0.31974130994288363,1.0,False,0.7276927686347694,1.0,False,0.9254819315829306
halueval_qwen3b,B_llmcheck,0D,LLMCHECK,0.810976,0.744861,-0.06611500000000003,0.007551886937924633,-0.080750225,-0.05124044999999999,-0.07837119999999997,-0.053579299999999976,0.0,1000,1.0,False,0.0,1.0,False,0.26720123063782086,1.0,False,0.684376034205521,1.0,False,0.904202362457778
halueval_qwen3b,B_lex,0D,LEX,0.810976,0.981107,0.17013099999999992,0.007051559736504484,0.1564223500000001,0.18402407499999995,0.1587517,0.18189499999999992,0.0,1000,1.0,False,0.0,1.0,False,0.3704322465727099,1.0,False,0.7665027460871028,1.0,False,0.9426273911413459
halueval_qwen3b,B_rowstat,0D,ROWSTAT,0.810976,0.82937,0.01839400000000002,0.007131456379172708,0.004839975000000066,0.03241410000000005,0.006835950000000063,0.030331199999999996,0.0102,1000,0.883,False,0.0,0.6866,False,0.353409291674013,0.4148,False,0.7537975114931452,0.1821,False,0.9372193348646345
halueval_qwen3b,B_len,0D,LEN,0.810976,0.962309,0.15133299999999994,0.007096055707923928,0.13748257500000002,0.16534607499999995,0.13975240000000003,0.16310269999999996,0.0,1000,1.0,False,0.0,1.0,False,0.3609280375940336,1.0,False,0.7594501431053438,1.0,False,0.9396503368751843
halueval_qwen3b,I_0D_beyond_nontopo,NONTOPO,NONTOPO+0D,0.99978,0.999809,2.8999999999945736e-05,3.4274781662178686e-05,-1.8999999999991246e-05,0.00011099999999997223,-1.399999999995849e-05,9.300000000000974e-05,0.4642,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,I_defl_beyond_nontopo,NONTOPO,NONTOPO+DEFL,0.99978,0.999821,4.099999999995774e-05,5.072034190697051e-05,-2.2999999999995246e-05,0.00016199999999999825,-1.8000000000073513e-05,0.00013805000000007765,0.6174,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,I_0D_beyond_lex,LEX,LEX+0D,0.981107,0.978627,-0.0024799999999999267,0.001640789518167004,-0.00570412500000004,0.000719100000000021,-0.005153000000000074,0.0002390999999999851,0.1344,1000,0.0,True,0.9999914039027211,0.0,True,0.9999999999999347,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,I_sink_beyond_lex,LEX,LEX+SINK,0.981107,0.980156,-0.0009509999999999241,0.0014927220547019961,-0.003879999999999997,0.001998999999999973,-0.0034002500000000655,0.0014899999999999913,0.5302,1000,0.0,True,0.9999995680667066,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,I_defl_beyond_lex,LEX,LEX+DEFL,0.981107,0.970687,-0.010419999999999985,0.0022138532278866544,-0.01485612499999998,-0.006150974999999909,-0.01408715000000007,-0.00681195000000004,0.0,1000,0.5749,False,0.9959232046841524,0.0217,True,0.9999997112770307,0.0001,True,0.9999999999998523,0.0,True,1.0
halueval_qwen3b,I_0D_beyond_logprob,LOGPROB,LOGPROB+0D,0.992844,0.993055,0.00021100000000007224,0.0006253308658666304,-0.0010149999999999881,0.0014570500000000396,-0.0008020499999999708,0.0012430500000001003,0.7296,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,I_0D_beyond_hidden,HIDDEN,HIDDEN+0D,0.999698,0.999696,-1.999999999946489e-06,3.494504089795939e-05,-7.099999999993223e-05,7.099999999993223e-05,-5.8049999999998335e-05,5.8000000000002494e-05,0.951,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
