setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
triviaqa_qwen7b,T1_reduction,0D,SINK,0.6675414023193506,0.7136331654921789,0.04609176317282837,0.014540973306579302,0.0172248315398458,0.07496980715146875,0.02182459842226648,0.07000348771534551,0.0012,2000,0.9929,False,0.0,0.9823,False,0.0,0.9621,False,0.0,0.9245,False,0.05932862469012945
triviaqa_qwen7b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.6675414023193506,0.6717269223416894,0.004185520022338851,0.0037590748877551878,-0.003047750089395587,0.011635591034766784,-0.0019222955813390785,0.010415101488930939,0.2654,2000,0.0634,False,0.6900730685606393,0.0022,True,0.9809979046097566,0.0,True,0.9997627129815911,0.0,True,0.9999994434606103
triviaqa_qwen7b,T2_topo_beyond_sink,SINK,0D+SINK,0.7136331654921789,0.7353844583294551,0.02175129283727617,0.006648716922676853,0.008594467332260734,0.034805517717850946,0.010829657262592668,0.03284094754345983,0.002,2000,0.9593,False,0.0,0.8515,False,0.4589465629274865,0.6056,False,0.8271948684994097,0.3135,False,0.9655930890459907
triviaqa_qwen7b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7136331654921789,0.7337460804536615,0.020112914961482597,0.007514624713200899,0.005182022982482862,0.03490868527675279,0.007795303349461535,0.03270255510122288,0.0082,2000,0.9167,False,0.0,0.7569,False,0.27460222797838796,0.5111,False,0.6906673160381269,0.2583,False,0.9074297025764957
triviaqa_qwen7b,T4_1D_beyond_0D,0D,0D+1D,0.6675414023193506,0.6677155487765211,0.0001741464571705098,0.0060849985685779056,-0.011764941595475942,0.012272489898346043,-0.009650090604717425,0.010306126977156887,0.9818,2000,0.0545,False,0.0,0.0074,True,0.5879121551844142,0.0005,True,0.8993929790397968,0.0002,True,0.98624546143554
triviaqa_qwen7b,T4b_1D_beyond_sink,SINK,SINK+1D,0.7136331654921789,0.7181169363434649,0.004483770851285929,0.005455142199820893,-0.0060065143800145295,0.01516227689531476,-0.004400616828455943,0.013415268273282488,0.413,2000,0.1594,False,0.14934217544369233,0.0268,True,0.7307734792126748,0.0025,True,0.9567628600856772,0.0001,True,0.9966963988530599
triviaqa_qwen7b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7136331654921789,0.7807416036887022,0.06710843819652323,0.009956271270600546,0.0475726189857947,0.08710576836790106,0.05087910400960025,0.08346677958072413,0.0,2000,1.0,False,0.0,1.0,False,0.0,1.0,False,0.2840901146926331,1.0,False,0.6135792442980885
triviaqa_qwen7b,PH_reduction,PH_0DTOT,PH_SINK,0.821553926852483,0.8011397585369295,-0.020414168315553427,0.008632315977769475,-0.03753025125102849,-0.0034761731868459306,-0.034616631101595255,-0.006368821853381299,0.0152,2000,0.8866,False,0.0,0.7384,False,0.07393983436834173,0.5269,False,0.49843012534764086,0.3008,False,0.7891532704586115
triviaqa_qwen7b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8011397585369295,0.8322419154508942,0.031102156913964674,0.004498118142129889,0.0224387846675846,0.04003987216406378,0.023823786090297477,0.03860234232867435,0.0,2000,1.0,False,0.43693725573725106,0.9998,False,0.9089479867165264,0.9926,False,0.9949126510762565,0.9177,False,0.9999088533521221
triviaqa_qwen7b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.7975407317554063,0.8412054537866346,0.04366472203122829,0.007230916863804393,0.029791500926881393,0.05790037372300011,0.03185203630039703,0.05563499467582876,0.0,2000,1.0,False,0.0,0.9999,False,0.33249306692678315,0.9997,False,0.7377322910548467,0.9954,False,0.9300945135050218
triviaqa_qwen7b,B_logprob,0D,LOGPROB,0.6675414023193506,0.8472014964585216,0.17966009413917106,0.012972892438386806,0.1540927160536687,0.20495237116955783,0.15841034200552961,0.20073900033656927,0.0,2000,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.22224179112845954
triviaqa_qwen7b,B_hidden,0D,HIDDEN,0.6675414023193506,0.8536889524089759,0.18614755008962536,0.01260519810488625,0.16140306742035976,0.21069236009793596,0.16518327836180424,0.20680716571047988,0.0,2000,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.2649797778889593
triviaqa_qwen7b,B_lookback,0D,LOOKBACK,0.6675414023193506,0.8785768831587365,0.21103548083938595,0.012194052342395026,0.18682756605769227,0.2346420360855381,0.190711985435541,0.23105824552856685,0.0,2000,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.31476224231307803
triviaqa_qwen7b,B_llmcheck,0D,LLMCHECK,0.6675414023193506,0.725301978964309,0.05776057664495848,0.012322008276085135,0.03355891222216408,0.08202360943107918,0.037529810689682586,0.0777687193176456,0.0,2000,0.9999,False,0.0,0.9996,False,0.0,0.9989,False,0.0,0.9964,False,0.29904854890307186
triviaqa_qwen7b,B_lex,0D,LEX,0.6675414023193506,0.5939124803960131,-0.07362892192333748,0.01684066730116672,-0.10673787133607773,-0.040507372793710465,-0.10126778591037247,-0.04598375800714579,0.0,2000,0.9998,False,0.0,0.9995,False,0.0,0.9987,False,0.0,0.9974,False,0.0
triviaqa_qwen7b,B_rowstat,0D,ROWSTAT,0.6675414023193506,0.7343856183049945,0.06684421598564394,0.008481594948094704,0.05015758198889624,0.08357066684761079,0.05297695013845673,0.08074243566597274,0.0,2000,1.0,False,0.0,1.0,False,0.09843267081845708,1.0,False,0.5242739283620357,1.0,False,0.8073245716686857
triviaqa_qwen7b,B_len,0D,LEN,0.6675414023193506,0.5947011436618196,-0.07284025865753097,0.014645026654586628,-0.1007762843958068,-0.04414710907119826,-0.09675199268734515,-0.04886585922744118,0.0,2000,0.9999,False,0.0,0.9999,False,0.0,0.9996,False,0.0,0.9993,False,0.04960481866257327
triviaqa_qwen7b,I_0D_beyond_nontopo,NONTOPO,NONTOPO+0D,0.8811050093128321,0.8806856566372319,-0.0004193526756002264,0.000281802960920454,-0.000972634209329648,0.0001211770167226733,-0.0008884438423565066,4.10476006366733e-05,0.1348,2000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
