setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_mistral,T1_reduction,0D,SINK,0.6844876844412418,0.6845326290021259,4.494456088410814e-05,0.00038579879163830956,-0.0007131578198292881,0.0008075039438851794,-0.0005917700516413493,0.0006801610213801323,0.8896,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_mistral,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.6844876844412418,0.6463312504026284,-0.03815643403861335,0.00770021675340062,-0.05333129085273315,-0.02324510216647763,-0.050916269781224786,-0.02569907519075226,0.0,817,0.9999,False,0.0,0.9983,False,0.23821948423082784,0.9916,False,0.659144295142085,0.9592,False,0.8908019767441719
truthfulqa_mistral,T2_topo_beyond_sink,SINK,0D+SINK,0.6845326290021259,0.6850270191718515,0.0004943901697256337,0.0007094588933005733,-0.0008869434552479876,0.0018817538566178367,-0.0006621831970264891,0.0016629487527135556,0.4816,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_mistral,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.6845326290021259,0.7395342844601185,0.055001655457992626,0.009212885986765064,0.036447866556602426,0.07299914305703907,0.03953158778646534,0.0699431750935222,0.0,817,1.0,False,0.0,1.0,False,0.0,0.9999,False,0.40112484306050256,0.9995,False,0.7148117538294643
truthfulqa_mistral,T4_1D_beyond_0D,0D,0D+1D,0.6844876844412418,0.6845506068264795,6.29223852377514e-05,0.0002600116483870775,-0.0004104936560751532,0.0006172386361422727,-0.00034008051069001066,0.0005138661461088212,0.8154,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_mistral,T4b_1D_beyond_sink,SINK,SINK+1D,0.6845326290021259,0.6845700828028627,3.74538007368308e-05,0.00028712649129007943,-0.0004959257755559137,0.0006322201564370467,-0.0004179844162226498,0.0005288476664034869,0.9164,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_mistral,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.6845326290021259,0.727217976625832,0.04268534762370613,0.009187990621831281,0.024593251723998517,0.060356462803132324,0.027240598721477032,0.057634732557390454,0.0,817,0.9996,False,0.0,0.9981,False,0.0,0.9925,False,0.4052053525315533,0.9724,False,0.7181127721362488
truthfulqa_mistral,PH_reduction,PH_0DTOT,PH_SINK,0.8870273517616021,0.9025976458039009,0.015570294042298816,0.0028680884518709994,0.010118481353250764,0.021392225190227904,0.010981379468425683,0.02034512928302939,0.0,817,0.9777,False,0.9344940081505049,0.5864,False,0.9996630646117437,0.0625,False,0.9999999009357314,0.0002,True,0.9999999999984701
truthfulqa_mistral,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.9025976458039009,0.90328080312934,0.0006831573254391099,0.000678780953698443,-0.0006666776531148999,0.002006025567462544,-0.00045843452101834714,0.0017873702787611012,0.3244,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_mistral,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8930064765112234,0.8967338787605489,0.00372740224932544,0.004234913112721223,-0.004540936255129313,0.01206061073665632,-0.0032930130683801627,0.010638452468879638,0.3932,817,0.0694,False,0.5262987577154703,0.0029,True,0.9421894383508214,0.0,True,0.9979146059136479,0.0,True,0.9999794155547608
