setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_qwen1.5b,T1_reduction,0D,SINK,0.7260658977151684,0.7231325160414629,-0.002933381673705493,0.005676940520926029,-0.014088771500354294,0.00797368945405842,-0.012394211739818917,0.006244297658837827,0.6076,817,0.1086,False,0.09286938194785677,0.0158,True,0.6814367297140964,0.0006,True,0.9396421936257084,0.0,True,0.9942008490755663
truthfulqa_qwen1.5b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.7260658977151684,0.698372557450385,-0.027693340264783428,0.007084538218548408,-0.041794209342775626,-0.013826145449587957,-0.03951226162528524,-0.016137794031062677,0.0,817,0.9947,False,0.0,0.9644,False,0.3633824442899942,0.861,False,0.7612813557540616,0.6443,False,0.9404293271895778
truthfulqa_qwen1.5b,T2_topo_beyond_sink,SINK,0D+SINK,0.7231325160414629,0.7354383368115429,0.012305820770080023,0.0044755657337484005,0.003465150736566483,0.020927760607290975,0.004868769372978365,0.019573356265046978,0.0056,817,0.6921,False,0.4444746078284818,0.2764,False,0.9121180771281017,0.0397,True,0.9952550180274293,0.0017,True,0.9999188683273419
truthfulqa_qwen1.5b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.7231325160414629,0.756727077150335,0.033594561108872156,0.00712619066502479,0.019799165229689174,0.04739864626982618,0.021869948418625645,0.045319922875133506,0.0,817,0.9996,False,0.0,0.9958,False,0.3545252504043299,0.9729,False,0.7546405868605199,0.8878,False,0.9375844359575447
truthfulqa_qwen1.5b,T4_1D_beyond_0D,0D,0D+1D,0.7260658977151684,0.7177796188401606,-0.008286278875007769,0.003665284652842423,-0.015517896175068055,-0.000981214671702514,-0.014271471140348347,-0.0021932196635449995,0.0254,817,0.3106,False,0.7213901280772839,0.034,True,0.9856187974759187,0.0007,True,0.9998620127578299,0.0001,True,0.999999773183885
truthfulqa_qwen1.5b,T4b_1D_beyond_sink,SINK,SINK+1D,0.7231325160414629,0.715436509066067,-0.007696006975395853,0.0036774783946349524,-0.015035491221578112,-0.0005497843410153724,-0.013804122614754648,-0.0016702896976578917,0.033,817,0.2597,False,0.7173569884276452,0.0252,True,0.9850681706018254,0.0007,True,0.9998515544359632,0.0,True,0.9999997440345556
truthfulqa_qwen1.5b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.7231325160414629,0.7610507439073902,0.037918227865927356,0.008390228159479656,0.021402487531629738,0.05417182904886823,0.02390915805354099,0.05148137272674156,0.0,817,0.9997,False,0.0,0.9973,False,0.1136627683539162,0.983,False,0.5400151377972331,0.9362,False,0.8180592101072994
truthfulqa_qwen1.5b,PH_reduction,PH_0DTOT,PH_SINK,0.8194427174080772,0.8303207992940708,0.010878081885993596,0.004526775505845919,0.0019011174715987068,0.019706691795669976,0.003308968387494055,0.018167190770184947,0.0172,817,0.5749,False,0.42739853031370423,0.1781,False,0.9048357039514601,0.0212,True,0.9944509452730868,0.001,True,0.9998946125643979
truthfulqa_qwen1.5b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8303207992940708,0.8408617969734332,0.010540997679362452,0.002374003618778402,0.005863729589551272,0.015174781906518223,0.006623255214692736,0.014447204373405312,0.0,817,0.5892,False,0.989754744278631,0.0306,True,0.9999970401520586,0.0001,True,0.9999999999879603,0.0,True,1.0
truthfulqa_qwen1.5b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8377471389041617,0.8334294647552244,-0.004317674148937356,0.0067298200855774,-0.017579540636624758,0.008867636770044115,-0.015550293712705353,0.006697189017347165,0.5274,817,0.1951,False,0.0,0.0591,False,0.44080129100429266,0.0101,True,0.8154893398729532,0.0009,True,0.9615435288206373
truthfulqa_qwen1.5b,B_logprob,0D,LOGPROB,0.7260658977151684,0.6384629559438433,-0.0876029417713251,0.012322659056453794,-0.11171292710441677,-0.06378790511903566,-0.10787496123531627,-0.06743129849330852,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.29896913221321775
truthfulqa_qwen1.5b,B_hidden,0D,HIDDEN,0.7260658977151684,0.9157409335584556,0.18967503584328727,0.00880262667787386,0.17189612862534068,0.20680696610730656,0.1750694018927653,0.20400950427647493,0.0,817,1.0,False,0.0,1.0,False,0.04719380637067916,1.0,False,0.46946888814548227,1.0,False,0.7679941267284094
truthfulqa_qwen1.5b,B_lookback,0D,LOOKBACK,0.7260658977151684,0.8509473564358364,0.12488145872066803,0.009182086863837001,0.1067213841726231,0.14267531000510866,0.10947723483083621,0.13983766024608651,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.4061743885011222,1.0,False,0.7188943783947075
truthfulqa_qwen1.5b,B_llmcheck,0D,LLMCHECK,0.7260658977151684,0.6659480530765302,-0.06011784463863823,0.009616974081147431,-0.07909055430126935,-0.04118861883866252,-0.0760209531542842,-0.04444500208992203,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.3362942800309756,1.0,False,0.6602789937223332
truthfulqa_qwen1.5b,B_lex,0D,LEX,0.7260658977151684,0.8200734394124847,0.09400754169731629,0.010946856577562166,0.07217890482090347,0.11556149239912562,0.07588110066233293,0.11203098478027355,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.14453881236445731,1.0,False,0.4771165636338981
truthfulqa_qwen1.5b,B_rowstat,0D,ROWSTAT,0.7260658977151684,0.7383267739243643,0.012260876209195914,0.0075153279142657755,-0.0024249088749028723,0.02702999599993413,-0.00024292535157882634,0.024595236775437422,0.1072,817,0.6218,False,0.0,0.3607,False,0.27446211500283413,0.1471,False,0.6905487875673899,0.0446,True,0.9073693234158295
truthfulqa_qwen1.5b,B_len,0D,LEN,0.7260658977151684,0.5287712606499883,-0.19729463706518013,0.012902442338081977,-0.2226286500601508,-0.17188526702312695,-0.21833678157992112,-0.17602657122439472,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.23029747049231597
truthfulqa_qwen1.5b,I_0D_beyond_nontopo,NONTOPO,NONTOPO+0D,0.9166203487997555,0.9170293443038012,0.00040899550404571716,0.0005030044006329086,-0.0005948038095009516,0.0013902850833497071,-0.0004120667157061663,0.00122998281619624,0.4156,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b,I_defl_beyond_nontopo,NONTOPO,NONTOPO+DEFL,0.9166203487997555,0.9166488136883154,2.846488855989815e-05,0.0007514690518358181,-0.0014592375305061494,0.0014981520294715667,-0.0011985216235773644,0.00124646248852045,0.9802,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b,I_0D_beyond_lex,LEX,LEX+0D,0.8200734394124847,0.8349351075448435,0.014861668132358785,0.005556708466645703,0.004055460089979024,0.025663531533853076,0.005751106010735735,0.024024440852208798,0.0078,817,0.8121,False,0.12299964940105035,0.493,False,0.7083853703862579,0.1768,False,0.9493460033120829,0.032,True,0.9956856366215363
truthfulqa_qwen1.5b,I_sink_beyond_lex,LEX,LEX+SINK,0.8200734394124847,0.8333395756334562,0.013266136220971503,0.005445251246574455,0.0027431163659625835,0.023969084134719907,0.00445984877653412,0.022183361823191087,0.0138,817,0.7243,False,0.15195144904001023,0.3766,False,0.7329321073635651,0.1101,False,0.9574470464737614,0.0177,True,0.9967840254277833
truthfulqa_qwen1.5b,I_defl_beyond_lex,LEX,LEX+DEFL,0.8200734394124847,0.825182137832983,0.0051086984204983255,0.006707589447418538,-0.008114141206821445,0.01827314757246938,-0.0058685611298463485,0.01625225284611438,0.4416,817,0.2365,False,0.0,0.0756,False,0.445760419525808,0.0124,True,0.8187262644055968,0.0013,True,0.9626819798324788
