setting,bank,auc_fp16,auc_bf16,diff
truthfulqa_qwen3b,SINK,0.7401245563597303,0.737287056415911,-0.0028374999438193216
truthfulqa_qwen3b,0D,0.7543570006397109,0.7359417158934455,-0.018415284746265415
truthfulqa_qwen3b,1D,0.6021822082461284,0.6601007657055022,0.0579185574593738
truthfulqa_qwen3b,DEFL,0.7165316581996107,0.715093432251318,-0.0014382259482926818
truthfulqa_qwen3b,PH_0D,0.8538627602851883,0.8525863347560784,-0.0012764255291098925
truthfulqa_qwen3b,LOGPROB,0.6306635764784139,0.6300613193625663,-0.0006022571158476042
truthfulqa_qwen3b,LOOKBACK,0.8971398779605356,0.8966859378956058,-0.0004539400649298253
truthfulqa_qwen3b,HIDDEN,0.9133543773755072,0.9133498829194188,-4.494456088410814e-06
truthfulqa_qwen3b,NONTOPO,0.9270894351817034,0.9262744404776708,-0.0008149947040325678
truthfulqa_phi3,SINK,0.6518684203035555,0.6509006140925169,-0.0009678062110386465
truthfulqa_phi3,0D,0.6467252643863795,0.6458773103376985,-0.0008479540486809878
truthfulqa_phi3,1D,0.5293585362455411,0.5263068005615074,-0.0030517356840337184
truthfulqa_phi3,DEFL,0.6387610881977082,0.6390637149076615,0.0003026267099532909
truthfulqa_phi3,PH_0D,0.8681071897814047,0.8675453827703528,-0.0005618070110519069
truthfulqa_phi3,LOGPROB,0.5779870529701613,0.5778297470070668,-0.00015730596309448952
truthfulqa_phi3,LOOKBACK,0.8921045889894815,0.8921480353983362,4.344640885467488e-05
truthfulqa_phi3,HIDDEN,0.9327090034442516,0.9327239849645462,1.4981520294665707e-05
truthfulqa_phi3,NONTOPO,0.9363420221157204,0.9362566274500403,-8.539466568002752e-05
truthfulqa_tinyllama,SINK,0.6437484363038193,0.6433394407997735,-0.0004089955040458282
truthfulqa_tinyllama,0D,0.6538609625027528,0.6537201362119825,-0.00014082629077027953
truthfulqa_tinyllama,1D,0.5928517174065789,0.5915258528604965,-0.0013258645460824114
truthfulqa_tinyllama,DEFL,0.6518579332393493,0.651234701995089,-0.000623231244260225
truthfulqa_tinyllama,PH_0D,0.8054140218041046,0.805790057963502,0.0003760361593974082
truthfulqa_tinyllama,LOGPROB,0.6366127381874458,0.6366277197077405,1.4981520294665707e-05
truthfulqa_tinyllama,LOOKBACK,0.8503570845362246,0.8503421030159298,-1.4981520294776729e-05
truthfulqa_tinyllama,HIDDEN,0.8828684817277888,0.8828999429204076,3.14611926188757e-05
truthfulqa_tinyllama,NONTOPO,0.8847576514369525,0.8847726329572473,1.4981520294776729e-05
truthfulqa_smollm,SINK,0.6106317856923484,0.6108625011048872,0.00023071541253871786
truthfulqa_smollm,0D,0.5838073736046586,0.582862039674062,-0.0009453339305965924
truthfulqa_smollm,1D,0.5448164688856296,0.5433812392413957,-0.0014352296442339263
truthfulqa_smollm,DEFL,0.5920547005269001,0.5935004172353402,0.0014457167084400702
truthfulqa_smollm,PH_0D,0.7983022941202027,0.8000446449304782,0.001742350810275517
truthfulqa_smollm,LOGPROB,0.5885894748827322,0.5883452761019282,-0.0002441987808039503
truthfulqa_smollm,LOOKBACK,0.8631557973240008,0.8628786391985486,-0.00027715812545225926
truthfulqa_smollm,HIDDEN,0.893846939799757,0.8937420691576939,-0.00010487064206310404
truthfulqa_smollm,NONTOPO,0.8993301762276232,0.8992387889538255,-9.138727379776057e-05
halueval_qwen3b,SINK,0.827531,0.828583,0.0010519999999999419
halueval_qwen3b,0D,0.816237,0.810976,-0.00526099999999996
halueval_qwen3b,1D,0.708965,0.710115,0.0011500000000000954
halueval_qwen3b,DEFL,0.831533,0.833862,0.0023290000000000255
halueval_qwen3b,PH_0D,0.984086,0.970542,-0.013544
halueval_qwen3b,LOGPROB,0.992679,0.992844,0.00016499999999997073
halueval_qwen3b,LOOKBACK,0.998947,0.997949,-0.0009980000000000544
halueval_qwen3b,HIDDEN,0.99969,0.999698,8.000000000008e-06
halueval_qwen3b,NONTOPO,0.999806,0.99978,-2.599999999997049e-05
