setting,bank,n,auc_string,auc_judge,delta
triviaqa_mistral,NONTOPO,2000,0.8409458705200469,0.8453078320758824,0.0043619615558355695
triviaqa_mistral,HIDDEN,2000,0.833385554765683,0.8413795970249992,0.007994042259316214
triviaqa_mistral,LOOKBACK,2000,0.8290741982325572,0.8405865114187918,0.01151231318623458
triviaqa_mistral,0D,2000,0.6992045496659512,0.7107458177040773,0.011541268038126051
triviaqa_mistral,SINK,2000,0.696343039781501,0.7091869942711871,0.012843954489686116
triviaqa_mistral,DEFL,2000,0.7205221244801722,0.7352724002927307,0.0147502758125585
triviaqa_mistral,PH_0D,2000,0.7753782123199905,0.7756825732291492,0.0003043609091587518
triviaqa_mistral,PH_SINK,2000,0.8116749154068948,0.8186885973980229,0.007013681991128062
triviaqa_mistral,LOGPROB,2000,0.7279072457518145,0.7546532246860749,0.02674597893426034
triviaqa_mistral,LEX,2000,0.6765876157715464,0.6846779142614294,0.008090298489883074
triviaqa_qwen7b,NONTOPO,2000,0.8811050093128321,0.8834267684593065,0.002321759146474367
triviaqa_qwen7b,HIDDEN,2000,0.8536889524089759,0.8524684178542251,-0.0012205345547507962
triviaqa_qwen7b,LOOKBACK,2000,0.8785768831587365,0.8859239613810422,0.007347078222305736
triviaqa_qwen7b,0D,2000,0.6675414023193506,0.6791388809517102,0.011597478632359604
triviaqa_qwen7b,SINK,2000,0.7136331654921789,0.7103467496247168,-0.0032864158674621446
triviaqa_qwen7b,DEFL,2000,0.6717779652687911,0.68408899746055,0.012311032191758886
triviaqa_qwen7b,PH_0D,2000,0.7975407317554063,0.806839813424877,0.009299081669470688
triviaqa_qwen7b,PH_SINK,2000,0.8011397585369295,0.8118905420578801,0.010750783520950602
triviaqa_qwen7b,LOGPROB,2000,0.8472014964585216,0.8535097533393164,0.006308256880794838
triviaqa_qwen7b,LEX,2000,0.5939124803960131,0.5798226409475248,-0.014089839448488295
