setting,subset,n_layers,layers,auc_sink,auc_sink_plus_0d,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
halueval_qwen1.5b,coned,12,2 3 4 5 6 8 9 12 17 24 25 26,0.819896,0.819016,-0.0008799999999999919,0.001384923704166204,-0.0037841000000000094,0.0016079999999999456,-0.003276200000000051,0.0012800000000000589,0.5332,500.0,0.0,True,0.9999999753549542,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,open,10,0 1 7 11 13 14 16 18 20 27,0.819896,0.82728,0.007384000000000057,0.003986353818363844,-0.0005083000000000612,0.015223999999999908,0.0008596000000000774,0.013988199999999998,0.0676,500.0,0.2507,False,0.6122497220841703,0.029,True,0.9658235317360502,0.0005,True,0.99925446643039,0.0,True,0.9999962817764887
halueval_qwen3b,coned,14,3 4 5 6 7 8 9 10 11 12 13 15 25 30,0.828583,0.829401,0.0008180000000000964,0.0007095047936347658,-0.0006889999999999397,0.002113049999999921,-0.0004230499999999526,0.001915,0.2466,1000.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,open,19,0 1 2 14 16 18 19 20 21 22 23 24 27 28 31 32 33 34 35,0.828583,0.855226,0.026643000000000083,0.003944994654020632,0.01873899999999995,0.0342961250000001,0.02003555000000005,0.03304605000000002,0.0,1000.0,1.0,False,0.6265362907287848,0.9979,False,0.9690280494899379,0.9506,False,0.9993848876239229,0.6528,False,0.9999972983696479
triviaqa_phi3,coned,26,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,0.7066453333333333,0.7079974603174604,0.0013521269841270112,0.0009424575420015874,-0.0004865759936533292,0.0031880500805279367,-0.00019341023585350278,0.0028873194076235783,0.153,2000.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
triviaqa_phi3,open,3,0 1 2,0.7066453333333333,0.7105615238095238,0.0039161904761904065,0.0031311553496486113,-0.002249817803760773,0.010103193748145965,-0.0012355324629116815,0.009054158265169431,0.213,2000.0,0.0275,True,0.8785835843396346,0.0002,True,0.998343159926639,0.0,True,0.9999978897091206,0.0,True,0.9999999997693678
triviaqa_qwen1.5b,coned,12,2 3 4 5 6 8 9 10 15 22 24 25,0.7068021020965256,0.7056322073870495,-0.0011698947094761492,0.001299326705420988,-0.003839404162288887,0.001280812025530012,-0.003380935498431675,0.0008894307145810961,0.3676,2000.0,0.0,True,0.9999999985644334,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
triviaqa_qwen1.5b,open,13,0 1 7 12 13 14 16 18 19 20 23 26 27,0.7068021020965256,0.7190755510575477,0.012273448961022115,0.00550458102818026,0.0013065934856195283,0.02293314825914162,0.0030977530637902985,0.02124201132544921,0.0292,2000.0,0.658,False,0.13641707619061583,0.3073,False,0.7199243462413165,0.0804,False,0.9532417856680895,0.0099,True,0.9962303173733218
triviaqa_qwen3b,coned,21,3 4 5 6 7 8 9 10 11 12 13 14 15 17 19 20 22 23 26 29 30,0.7167649578028631,0.7205297999690954,0.003764842166232296,0.0025100037091260537,-0.0010861994879260122,0.00873973687313834,-0.0002935728360463738,0.007933018600577067,0.1236,2000.0,0.0068,True,0.9806751337568229,0.0,True,0.9999851723434425,0.0,True,0.9999999997439015,0.0,True,1.0
triviaqa_qwen3b,open,13,0 1 2 16 21 24 27 28 31 32 33 34 35,0.7167649578028631,0.7302770469474488,0.013512089144585682,0.004540986223634015,0.004488322012214482,0.02228407774508161,0.005998315781136954,0.020942400780639716,0.0018,2000.0,0.7725,False,0.4226851539646268,0.3662,False,0.902761945759345,0.0738,False,0.9942105854308314,0.0049,True,0.9998868717851399
triviaqa_tinyllama,coned,8,3 4 5 6 7 8 9 10,0.7203222784914362,0.7216925539361001,0.0013702754446639487,0.0006718372072612176,4.936308580620609e-05,0.0027140756922823623,0.0002559217508083578,0.002472121747241418,0.0414,2000.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
triviaqa_tinyllama,open,14,0 1 2 11 12 13 14 15 16 17 18 19 20 21,0.7203222784914362,0.7228839859189723,0.0025617074275361418,0.004415682706432306,-0.0061328640859545395,0.01115661626403982,-0.0048505995332905,0.009677563912433984,0.5752,2000.0,0.0432,True,0.4646117456278349,0.0027,True,0.9202484709773187,0.0001,True,0.9960791109181455,0.0,True,0.9999410025092936
truthfulqa_phi3,coned,26,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,0.6509006140925169,0.6518399554149956,0.0009393413224787484,0.0006716627331999883,-0.00036708470102132237,0.002254718804354794,-0.00017078933135972196,0.002046475672258241,0.1646,817.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_phi3,open,3,0 1 2,0.6509006140925169,0.6567209347270142,0.0058203206344973335,0.00351497438188171,-0.0011075837953883334,0.012719310730214262,-1.528115070066866e-05,0.011582363155048273,0.101,817.0,0.1166,False,0.7699062206367313,0.0036,True,0.9912739060517746,0.0,True,0.9999476965866683,0.0,True,0.9999999543762581
truthfulqa_qwen1.5b,coned,14,2 3 4 5 6 8 9 10 15 17 22 23 24 25,0.7231325160414629,0.7229707156222799,-0.00016180041918301136,0.000739046342988321,-0.0016569935983964472,0.0012389717283730617,-0.0014067647556739171,0.0010187433800407097,0.8434,817.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen1.5b,open,10,0 1 12 13 16 18 19 20 26 27,0.7231325160414629,0.7336165839437054,0.010484067902242544,0.004353366444355819,0.0019372229355090126,0.018864880170309888,0.0033212532341356463,0.017588454641199996,0.0166,817.0,0.5469,False,0.4857402591524156,0.1522,False,0.928258605031604,0.0129,True,0.9968149725065563,0.0003,True,0.999958295605827
truthfulqa_qwen3b,coned,21,3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 22 23 25 26,0.737287056415911,0.7359237380690917,-0.0013633183468192422,0.000998927568068458,-0.0033499802993008088,0.0005048772339318914,-0.0030247689475032535,0.00023371171659758438,0.1682,817.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen3b,open,13,0 1 2 24 27 28 29 30 31 32 33 34 35,0.737287056415911,0.7414159634091348,0.00412890699322388,0.0035666735843025484,-0.0028480993694277893,0.011120932329970948,-0.0016451207435628555,0.010063461719968391,0.2432,817.0,0.0521,False,0.75349459316458,0.0006,True,0.9895552219425832,0.0,True,0.9999258658313166,0.0,True,0.999999918816604
truthfulqa_smollm,coned,0,,,,,,,,,,,,,,,,,,,,,,,
truthfulqa_smollm,open,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.6108625011048872,0.6409199252721768,0.030057424167289626,0.005763148161273314,0.018862857665070138,0.04109056478833357,0.020511199435496286,0.03936566744920139,0.0,817.0,0.9997,False,0.07195842768862293,0.9955,False,0.6618820200496449,0.9592,False,0.9320701474369062,0.804,False,0.9929199038408092
truthfulqa_tinyllama,coned,8,3 4 5 6 7 8 9 10,0.6433394407997735,0.6442233504971617,0.0008839096973882743,0.0006609026059374921,-0.00040599919998685063,0.0021498856160925388,-0.0002053217356390468,0.0019626540662093395,0.1858,817.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_tinyllama,open,14,0 1 2 11 12 13 14 15 16 17 18 19 20 21,0.6433394407997735,0.6624858237364212,0.01914638293664772,0.005503439358151529,0.008232233040544518,0.02976741938818465,0.009908477892519519,0.027999188001600003,0.0008,817.0,0.9486,False,0.13671335313691735,0.769,False,0.7201759575957389,0.4319,False,0.953325002633199,0.1408,False,0.9962416222701858
