setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
halueval_qwen1.5b,NLF_0D_beyond_NONTOPO,NONTOPO,NONTOPO(+)0D,0.999756,0.999768,1.2000000000012001e-05,3.316175098875255e-05,-4.8000000000048004e-05,8.799999999997699e-05,-3.6000000000036e-05,7.199999999996098e-05,0.7988,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,NLF_DEFL_beyond_NONTOPO,NONTOPO,NONTOPO(+)DEFL,0.999756,0.999736,-2.0000000000020002e-05,3.982976202590278e-05,-0.00010799999999999699,5.199999999994098e-05,-9.199999999998099e-05,3.999999999992898e-05,0.6914,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,NLF_PH_DELTA_beyond_NONTOPO,NONTOPO,NONTOPO(+)PH_DELTA,0.999756,0.999756,0.0,3.3472646683524114e-05,-6.399999999995298e-05,7.2000000000072e-05,-5.199999999994098e-05,5.6000000000056005e-05,0.9928,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,NLF_TOHA_beyond_NONTOPO,NONTOPO,NONTOPO(+)TOHA,0.999756,0.9997,-5.599999999994498e-05,7.398072612890488e-05,-0.00023200000000000998,5.6000000000056005e-05,-0.00019199999999996997,4.0000000000040004e-05,0.4232,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,NLF_TOHA_beyond_MAXP,MAXP,MAXP(+)TOHA,0.999224,0.999208,-1.6000000000016e-05,0.00020458992534491961,-0.00039600000000006297,0.00041199999999996795,-0.00033600000000000296,0.00033199999999999896,0.9122,500,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen1.5b,NLF_PH_DELTA_beyond_PH_SINK,PH_SINK,PH_SINK(+)PH_DELTA,0.922508,0.947252,0.024743999999999988,0.004599845626983775,0.01586399999999999,0.033783999999999925,0.01723580000000003,0.03226799999999997,0.0,500,0.9996,False,0.40328637515773513,0.9839,False,0.8939327909164003,0.8458,False,0.9931307722163629,0.4747,False,0.9998494202479169
halueval_qwen3b,NLF_0D_beyond_NONTOPO,NONTOPO,NONTOPO(+)0D,0.999783,0.999774,-8.999999999925734e-06,1.7868675804322516e-05,-4.700000000001925e-05,2.4000000000024002e-05,-3.900000000001125e-05,1.8999999999991246e-05,0.6414,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,NLF_DEFL_beyond_NONTOPO,NONTOPO,NONTOPO(+)DEFL,0.999783,0.99978,-2.9999999999752447e-06,1.1780973253089051e-05,-2.8000000000028002e-05,2.0000000000020002e-05,-2.2999999999995246e-05,1.599999999990498e-05,0.8216,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,NLF_PH_DELTA_beyond_NONTOPO,NONTOPO,NONTOPO(+)PH_DELTA,0.999783,0.999768,-1.4999999999987246e-05,1.3956069288664346e-05,-4.700000000001925e-05,7.000000000090267e-06,-4.0000000000040004e-05,4.000000000004e-06,0.2464,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
halueval_qwen3b,NLF_TOHA_beyond_NONTOPO,NONTOPO,NONTOPO(+)TOHA,0.999783,0.999776,-6.999999999979245e-06,9.544932266936214e-05,-0.00019799999999992323,0.00018499999999999073,-0.00016199999999999548,0.00014999999999998348,0.9348,1000,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
