setting,alpha,lo,hi
truthfulqa_qwen3b,0.24621855939559278,0.2265684820620673,0.26586863672911826
truthfulqa_qwen1.5b,0.5677912070984347,0.5248899168224197,0.6106924973744496
truthfulqa_phi3,0.9342968300078901,0.824431757381735,1.0441619026340452
truthfulqa_tinyllama,0.3247170804415722,0.28475273128484896,0.36468142959829547
truthfulqa_smollm,0.6126310320310043,0.5354155884230833,0.6898464756389253
truthfulqa_qwen7b,0.5860829741358503,0.5519297855017506,0.62023616276995
halueval_qwen3b,1.3878447684196122,1.3062508397052817,1.4694386971339428
halueval_qwen1.5b,1.0998929901026524,1.069326592545297,1.1304593876600078
triviaqa_qwen3b,0.7150160173471943,0.6807619159118571,0.7492701187825316
triviaqa_qwen1.5b,0.7517069754261065,0.7239895980844099,0.7794243527678032
triviaqa_phi3,0.7005610136378551,0.6525957707593011,0.748526256516409
triviaqa_tinyllama,0.026340420232004995,0.018493390168807022,0.03418745029520297
triviaqa_qwen7b,0.8384783593453669,0.8060141159988633,0.8709426026918704
