setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_qwen3b,LEX+0D,,0.840397369844297,0.0014789537155608,0.8482252141982864,1634,817,0.5
truthfulqa_qwen3b,LOOKBACK,576.0,0.8966859378956058,0.0021868060572558,0.9082007343941249,1634,817,0.5
truthfulqa_qwen3b,0D,72.0,0.7359417158934455,0.0012523087375096,0.7784577723378213,1634,817,0.5
truthfulqa_qwen3b,LEN,2.0,0.5287712606499883,0.000348015123501,0.5673194614443084,1634,817,0.5
truthfulqa_qwen3b,0D+SINK,144.0,0.7405650130563949,0.0015182454961595,0.7760097919216646,1634,817,0.5
truthfulqa_qwen3b,PH_ENT,576.0,0.856568422850414,0.0012653289120643,0.9008567931456548,1634,817,0.5
truthfulqa_qwen3b,PH_SINK,576.0,0.8511481088077856,0.0015079247277187,0.8702570379436965,1634,817,0.5
truthfulqa_qwen3b,PH_0DTOT,576.0,0.8421562003268968,0.0010855379369116,0.8690330477356181,1634,817,0.5
truthfulqa_qwen3b,PH_0D,1152.0,0.8525863347560784,0.0012675879185024,0.8616891064871481,1634,817,0.5
truthfulqa_qwen3b,SINK+1D,216.0,0.7656216057493083,0.000668079504427,0.7870257037943696,1634,817,0.5
truthfulqa_qwen3b,SINK+ANS,288.0,0.7847320330372486,0.0030642983323833,0.7968176254589964,1634,817,0.5
truthfulqa_qwen3b,HIDDEN+0D,2120.0,0.9133768496559492,0.0007335663842399,0.920440636474908,1634,817,0.5
truthfulqa_qwen3b,NONTOPO,2738.0,0.9262744404776708,0.0005918772935952,0.9363525091799264,1634,817,0.5
truthfulqa_qwen3b,LOGPROB+0D,78.0,0.7762659759187043,0.0022264267555474,0.8102815177478581,1634,817,0.5
truthfulqa_qwen3b,NONTOPO+DEFL,2954.0,0.9277096701219046,0.000600760001606,0.9326805385556916,1634,817,0.5
truthfulqa_qwen3b,NONTOPO+0D,2810.0,0.9263493480791444,0.0004266779764024,0.9363525091799264,1634,817,0.5
truthfulqa_qwen3b,LOGPROB,6.0,0.6300613193625663,0.0005825664974688,0.6940024479804161,1634,817,0.5
truthfulqa_qwen3b,0D+1D,216.0,0.7692066835558339,0.0004298434629339,0.7906976744186046,1634,817,0.5
truthfulqa_qwen3b,LEX+DEFL,,0.829854874012905,0.0003547222732541,0.8543451652386781,1634,817,0.5
truthfulqa_qwen3b,LEX+SINK,,0.8425322364862942,0.0020096041535526,0.8506731946144431,1634,817,0.5
truthfulqa_qwen3b,SINK+DEFL,288.0,0.7659991400607351,0.0024327922454266,0.799265605875153,1634,817,0.5
truthfulqa_qwen3b,PH_SINK+PH_0DTOT,1152.0,0.8597340180886877,0.0022471990797482,0.8922888616891065,1634,817,0.5
truthfulqa_qwen3b,LEGACY_MSTPROXY,36.0,0.7130259824506471,0.0007572897945579,0.7882496940024479,1634,817,0.5
truthfulqa_qwen3b,LLMCHECK,36.0,0.6931544939317352,0.0011401303328325,0.7637698898408812,1634,817,0.5
truthfulqa_qwen3b,1D,144.0,0.6601007657055022,0.0001379113839822,0.6744186046511628,1634,817,0.5
truthfulqa_qwen3b,HIDDEN,2048.0,0.9133498829194188,0.0008216616896078,0.9179926560587516,1634,817,0.5
truthfulqa_qwen3b,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_qwen3b,ROWSTAT,72.0,0.7498190981424413,0.0003458110771945,0.8225214198286414,1634,817,0.5
truthfulqa_qwen3b,ANS,216.0,0.7482100828627888,0.001673009624607,0.7490820073439413,1634,817,0.5
truthfulqa_qwen3b,DEFL,216.0,0.715093432251318,0.002786089393743,0.7527539779681762,1634,817,0.5
truthfulqa_qwen3b,SINK,72.0,0.737287056415911,0.0021918277655082,0.7674418604651163,1634,817,0.5
truthfulqa_qwen1.5b,LEGACY_MSTPROXY,28.0,0.698372557450385,0.0009851516336365,0.7858017135862914,1634,817,0.5
truthfulqa_qwen1.5b,LOOKBACK,336.0,0.8509473564358364,0.0019515833820601,0.8555691554467564,1634,817,0.5
truthfulqa_qwen1.5b,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_qwen1.5b,1D,112.0,0.5857849342835613,0.0013740305782742,0.6438188494492044,1634,817,0.5
truthfulqa_qwen1.5b,DEFL,168.0,0.7031172049277217,0.0042496139741625,0.7552019583843329,1634,817,0.5
truthfulqa_qwen1.5b,0D,56.0,0.7260658977151684,0.0006937333670505,0.7674418604651163,1634,817,0.5
truthfulqa_qwen1.5b,SINK,56.0,0.7231325160414629,0.0019013516124468,0.7711138310893513,1634,817,0.5
truthfulqa_qwen1.5b,LEN,2.0,0.5287712606499883,0.000348015123501,0.5673194614443084,1634,817,0.5
truthfulqa_qwen1.5b,ANS,168.0,0.6974886477529967,0.0040495129723554,0.7001223990208079,1634,817,0.5
truthfulqa_qwen1.5b,HIDDEN,1536.0,0.9157409335584556,0.0012094853910518,0.9228886168910648,1634,817,0.5
truthfulqa_qwen1.5b,LOGPROB,6.0,0.6384629559438433,0.0006844571156966,0.6817625458996328,1634,817,0.5
truthfulqa_qwen1.5b,ROWSTAT,56.0,0.7383267739243643,0.0013592135599389,0.8151774785801713,1634,817,0.5
truthfulqa_qwen1.5b,SINK+1D,168.0,0.715436509066067,0.0016740721087871,0.7686658506731946,1634,817,0.5
truthfulqa_qwen1.5b,0D+1D,168.0,0.7177796188401606,0.0013280762609611,0.7674418604651163,1634,817,0.5
truthfulqa_qwen1.5b,SINK+DEFL,224.0,0.756727077150335,0.0027885548555459,0.8017135862913096,1634,817,0.5
truthfulqa_qwen1.5b,NONTOPO+DEFL,2130.0,0.9166488136883154,0.0013632976761888,0.9228886168910648,1634,817,0.5
truthfulqa_qwen1.5b,LOGPROB+0D,62.0,0.7397500183523623,0.0013064990938242,0.7968176254589964,1634,817,0.5
truthfulqa_qwen1.5b,SINK+ANS,224.0,0.7610507439073902,0.0027201746350488,0.7527539779681762,1634,817,0.5
truthfulqa_qwen1.5b,0D+SINK,112.0,0.7354383368115429,0.0011649696714139,0.7662178702570379,1634,817,0.5
truthfulqa_qwen1.5b,NONTOPO+0D,2018.0,0.9170293443038012,0.0014261254983883,0.9265605875153,1634,817,0.5
truthfulqa_qwen1.5b,NONTOPO,1962.0,0.9166203487997556,0.0012728946740469,0.9277845777233782,1634,817,0.5
truthfulqa_qwen1.5b,PH_SINK+PH_0DTOT,672.0,0.8408617969734332,0.0012607815480754,0.8665850673194615,1634,817,0.5
truthfulqa_qwen1.5b,LEX+SINK,,0.8333395756334562,0.0007804057205792,0.8457772337821298,1634,817,0.5
truthfulqa_qwen1.5b,LEX+0D,,0.8349351075448435,0.0016775540579364,0.8408812729498164,1634,817,0.5
truthfulqa_qwen1.5b,LEX+DEFL,,0.825182137832983,0.0019492798359443,0.835985312117503,1634,817,0.5
truthfulqa_qwen1.5b,LLMCHECK,28.0,0.6659480530765302,0.0005248556827992,0.7429620563035496,1634,817,0.5
truthfulqa_qwen1.5b,PH_SINK,336.0,0.8303207992940708,0.0007833095682248,0.8506731946144431,1634,817,0.5
truthfulqa_qwen1.5b,PH_ENT,336.0,0.8334294647552244,0.0024727718206745,0.8518971848225214,1634,817,0.5
truthfulqa_qwen1.5b,PH_0D,672.0,0.8377471389041617,0.0011696703573008,0.847001223990208,1634,817,0.5
truthfulqa_qwen1.5b,PH_0DTOT,336.0,0.8194427174080772,0.0010685912346658,0.8384332925336597,1634,817,0.5
truthfulqa_qwen1.5b,HIDDEN+0D,1592.0,0.9164360761001304,0.0013856085875836,0.9241126070991432,1634,817,0.5
truthfulqa_phi3,LLMCHECK,32.0,0.6532646979950232,0.0008118540387494,0.7552019583843329,1634,817,0.5
truthfulqa_phi3,LEGACY_MSTPROXY,32.0,0.6133269611933679,0.0008264541333589,0.6940024479804161,1634,817,0.5
truthfulqa_phi3,PH_SINK+PH_0DTOT,2048.0,0.870836822779102,0.0006773341036909,0.90452876376989,1634,817,0.5
truthfulqa_phi3,NONTOPO,4198.0,0.9362566274500403,0.0005877191833738,0.9424724602203184,1634,817,0.5
truthfulqa_phi3,1D,128.0,0.5263068005615074,0.0029560358917172,0.5507955936352509,1634,817,0.5
truthfulqa_phi3,SINK,64.0,0.6509006140925169,0.000566739029758,0.7001223990208079,1634,817,0.5
truthfulqa_phi3,LOGPROB,6.0,0.5778297470070668,0.0016198528602588,0.5973072215422277,1634,817,0.5
truthfulqa_phi3,ROWSTAT,64.0,0.6609367345379474,0.0010756914723885,0.7380660954712362,1634,817,0.5
truthfulqa_phi3,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_phi3,HIDDEN,3072.0,0.9327239849645462,0.0006887430687959,0.944920440636475,1634,817,0.5
truthfulqa_phi3,PH_0DTOT,1024.0,0.8453128066529936,0.0014226462680464,0.8824969400244798,1634,817,0.5
truthfulqa_phi3,PH_SINK,1024.0,0.8709117303805756,0.0008295870221865,0.9008567931456548,1634,817,0.5
truthfulqa_phi3,SINK+1D,192.0,0.6512796465559733,0.0010589918049074,0.6964504283965728,1634,817,0.5
truthfulqa_phi3,SINK+ANS,256.0,0.6746613052799372,0.001524748352722,0.6976744186046512,1634,817,0.5
truthfulqa_phi3,SINK+DEFL,256.0,0.6842974191334988,0.0023178753749809,0.7184822521419829,1634,817,0.5
