setting,test,A,B,auc_A,auc_B,delta,se,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_superiority,n_groups,tost_p_0.01,equiv_0.01,tost_power_0.01,tost_p_0.015,equiv_0.015,tost_power_0.015,tost_p_0.02,equiv_0.02,tost_power_0.02,tost_p_0.025,equiv_0.025,tost_power_0.025
truthfulqa_qwen3b,I_0D_beyond_hidden,HIDDEN,HIDDEN+0D,0.9133498829194188,0.9133768496559492,2.6966736530464885e-05,0.000555518218053,-0.0010906546774552,0.0010876958271971,-0.000895894913624,0.0009334236219623,0.9332,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen3b,I_0D_beyond_logprob,LOGPROB,LOGPROB+0D,0.6300613193625663,0.7762659759187043,0.146204656556138,0.0112825704868778,0.1242520475992862,0.1684954358798421,0.1274418005390351,0.1648058619692608,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.1016864724767927,1.0,False,0.4319688304474911
truthfulqa_qwen3b,I_defl_beyond_lex,LEX,LEX+DEFL,0.8200734394124847,0.829854874012905,0.0097814346004203,0.0079332117376502,-0.0056257106858689,0.0254043886865551,-0.0029712100124495,0.0228004506441304,0.2172,817,0.4896,False,0.0,0.2586,False,0.1942648616975351,0.1013,False,0.6190751053235548,0.0284,True,0.8680496348886027
truthfulqa_qwen3b,I_sink_beyond_lex,LEX,LEX+SINK,0.8200734394124847,0.8425322364862942,0.0224587970738094,0.0060861279487461,0.0105737697550071,0.034703493241087,0.0125898703948678,0.0325265285270618,0.0,817,0.9808,False,0.0,0.8925,False,0.5876513828995995,0.6554,False,0.8992664995572877,0.3388,False,0.9862161809787492
truthfulqa_qwen3b,I_0D_beyond_lex,LEX,LEX+0D,0.8200734394124847,0.840397369844297,0.0203239304318123,0.0059167059935354,0.0088299582465028,0.0319123236487793,0.0106141824060021,0.0300874621154806,0.0002,817,0.9605,False,0.0361126703440228,0.8155,False,0.6267170748608759,0.5183,False,0.917331010276883,0.2156,False,0.9901334185917924
truthfulqa_qwen3b,I_defl_beyond_nontopo,NONTOPO,NONTOPO+DEFL,0.9262744404776708,0.9277096701219046,0.0014352296442338,0.0009151397553885,-0.000356597636815,0.0032315888351718,-8.389651365037776e-05,0.0028825943199064,0.1216,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen3b,I_0D_beyond_nontopo,NONTOPO,NONTOPO+0D,0.9262744404776708,0.9263493480791444,7.490760147355058e-05,0.0004018972198166,-0.000728139340124,0.0008464558966514,-0.0006022571158476,0.0007251055822642,0.8382,817,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0,0.0,True,1.0
truthfulqa_qwen3b,B_len,0D,LEN,0.7359417158934455,0.5287712606499883,-0.2071704552434572,0.0134468135227129,-0.2331385610849017,-0.1807385589874889,-0.2287957554356701,-0.1850088915322949,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.169704735004337
truthfulqa_qwen3b,T1_reduction,0D,SINK,0.7359417158934455,0.737287056415911,0.0013453405224654,0.0045346450802198,-0.0075852186328163,0.0102744764333193,-0.0061401011851879,0.0087659871548445,0.766,817,0.0289,True,0.4247869755091746,0.0014,True,0.9036901170198116,0.0,True,0.9943187894507468,0.0,True,0.9998903839016636
truthfulqa_qwen3b,T1_legacy_proxy,0D,LEGACY_MSTPROXY,0.7359417158934455,0.7130259824506471,-0.0229157334427984,0.0068071490553702,-0.0360487963097518,-0.0095521424323097,-0.0340186879484156,-0.0116774958089197,0.0006,817,0.9706,False,0.0,0.8763,False,0.4236417441768392,0.6672,False,0.8040698392821826,0.3789,False,0.9574148256246852
truthfulqa_qwen3b,T2_topo_beyond_sink,SINK,0D+SINK,0.737287056415911,0.7405650130563949,0.0032779566404839,0.0038633719429883,-0.0043253147242875,0.0108602538768428,-0.0031389281321489,0.0096376869131925,0.3878,817,0.0401,True,0.6546048526272266,0.0011,True,0.9747636182649158,0.0,True,0.9995875258094552,0.0,True,0.999998608215064
truthfulqa_qwen3b,T3_deflated_beyond_sink,SINK,SINK+DEFL,0.737287056415911,0.7659991400607351,0.0287120836448241,0.0073666088495344,0.014158959922935,0.0431594003796317,0.0166443941398285,0.040785840665539,0.0,817,0.9939,False,0.0,0.9683,False,0.3044699165052122,0.8827,False,0.7154256144540374,0.6988,False,0.919681002653643
truthfulqa_qwen3b,T4_1D_beyond_0D,0D,0D+1D,0.7359417158934455,0.7692066835558339,0.0332649676623884,0.0069994318362382,0.0197767304030479,0.0470704760677703,0.0217809581880749,0.0446602865365571,0.0,817,0.9996,False,0.0,0.9948,False,0.381641030464058,0.9723,False,0.7746870494423055,0.8824,False,0.94600352465315
truthfulqa_qwen3b,T4b_1D_beyond_sink,SINK,SINK+1D,0.737287056415911,0.7656216057493083,0.0283345493333972,0.0066313642922432,0.0154259845480599,0.0413955136339325,0.0174075527836414,0.0393504612061021,0.0,817,0.9972,False,0.0,0.979,False,0.4628472926028295,0.899,False,0.829661517332376,0.6884,False,0.9664225372376178
truthfulqa_qwen3b,T6_answer_only_beyond_sink,SINK,SINK+ANS,0.737287056415911,0.7847320330372486,0.0474449766213376,0.0089109031845101,0.0296318740833182,0.0650740311825363,0.0326201630289038,0.061807085959469,0.0,817,1.0,False,0.0,1.0,False,0.0306929667961126,0.9989,False,0.4512190008058994,0.9933,False,0.7542353135038753
truthfulqa_qwen3b,PH_reduction,PH_0DTOT,PH_SINK,0.8421562003268968,0.8511481088077856,0.0089919084808888,0.0043660833406347,0.0002486183292908,0.0173082627578881,0.0017123128620846,0.0160692535757144,0.0444,817,0.4093,False,0.4814153562584793,0.0835,False,0.926661732779022,0.0049,True,0.9966743024496584,0.0001,True,0.9999551773451903
truthfulqa_qwen3b,PH_topo_beyond_sink,PH_SINK,PH_SINK+PH_0DTOT,0.8511481088077856,0.8597340180886877,0.008585909280902,0.0021566209980653,0.004355127949674,0.0128931338194336,0.0051055523012365,0.0121875416673533,0.0,817,0.262,False,0.9972287072115116,0.0022,True,0.9999998906579566,0.0,True,0.9999999999999762,0.0,True,1.0
truthfulqa_qwen3b,PH_0D_vs_entropy,PH_0D,PH_ENT,0.8525863347560784,0.856568422850414,0.0039820880943356,0.0061782619885785,-0.0080111432547951,0.0161266327984431,-0.0061096137913882,0.0141577614013114,0.5018,817,0.1629,False,0.0,0.0365,True,0.5663808931190251,0.0054,True,0.888683297569794,0.0006,True,0.9836760875506698
truthfulqa_qwen3b,B_logprob,0D,LOGPROB,0.7359417158934455,0.6300613193625663,-0.1058803965308792,0.0137218375970275,-0.1330959012058626,-0.0793296968189738,-0.1285612197354562,-0.0834708137512378,0.0,817,1.0,False,0.0,1.0,False,0.0,1.0,False,0.0,1.0,False,0.1405385728994486
truthfulqa_qwen3b,B_hidden,0D,HIDDEN,0.7359417158934455,0.9133498829194188,0.1774081670259734,0.008918591641412,0.1598452184230751,0.1947824233807598,0.1625688962664553,0.192006609846754,0.0,817,1.0,False,0.0,1.0,False,0.0295359411545483,1.0,False,0.4499284435364936,1.0,False,0.7532500204497921
truthfulqa_qwen3b,B_lookback,0D,LOOKBACK,0.7359417158934455,0.8966859378956058,0.1607442220021603,0.0090140094335548,0.1427946378142561,0.1783476581636552,0.1456557336525396,0.1754204938208719,0.0,817,1.0,False,0.0,1.0,False,0.0153365767612461,1.0,False,0.433974577777799,1.0,False,0.7409363316126789
