setting,n_rows,layers,mean_N,cells,bound_violations_h1,bound_violations_p0,bound_violations_maxdeath,frac_cells_coned,frac_cells_coned_any_apex,mean_sink_mass,frac_cells_h1_zero,frac_h1zero_given_coned,median_delta0,median_layer_spearman_P0_star,median_layer_spearman_P0_star_norm,min_layer_spearman_P0_star_norm,median_layer_rel_gap,cell_spearman_delta0_h1
truthfulqa_qwen3b,1634,36,44.20685434516524,58824,0,0,0,0.6217870257037944,0.6217870257037944,0.4959237211500648,0.7617979056167551,1.0,0.0,0.999996931721148,0.9999800073645568,0.0920079223207515,0.0,0.845552368001554
truthfulqa_qwen1.5b,1634,28,44.20685434516524,45752,0,0,0,0.6454362650813079,0.6454362650813079,0.5293511929593034,0.80359328553943,1.0,0.0,0.9999990524230709,0.9999881614772036,0.2095343815326636,2.1238152197011562e-09,0.8011912825874024
truthfulqa_phi3,1634,32,28.961444308445532,52288,0,0,0,0.8840651774785802,0.8840651774785802,0.6918711359763469,0.9128863219094248,1.0,0.0,1.0,1.0,0.0402095853127611,0.0,0.8661689354587754
truthfulqa_tinyllama,1634,22,42.28151774785802,35948,0,0,0,0.361633470568599,0.361633470568599,0.5263551152909208,0.7476354734616668,1.0,0.1456570327281952,0.9996746902385802,0.9823357247197532,0.8207775275791132,0.0404423239458816,0.3216229548155397
truthfulqa_smollm,1634,24,32.350673194614444,39216,0,0,0,0.0,0.0,0.0209390899659969,0.1333639330885352,,0.8414441049098969,0.967383098317866,0.4119216798924361,-0.0497815563557728,0.5714462041489081,-0.0807963859754386
truthfulqa_mistral,1634,32,33.03304773561811,52288,0,0,0,0.982060893512852,0.982060893512852,0.7547856451183713,0.9999235006119952,1.0,0.0,1.0,1.0,0.9938237843445836,0.0,0.0653688032568219
truthfulqa_mistral_chat,1634,32,34.03304773561811,52288,0,0,0,0.9820417686658508,0.9820417686658508,0.7546789877371413,0.9999235006119952,1.0,0.0,1.0,1.0,0.99394076127244,0.0,0.0653276867807079
truthfulqa_qwen7b,1634,28,44.20685434516524,45752,0,0,0,0.0,0.0978099318062598,0.0078359256538638,0.3843110683685959,,0.8244892656803131,0.9763903245133976,0.5128019094073959,0.0714171196578347,0.5919698138611547,-0.2094376478831242
halueval_qwen3b,2000,36,126.947,72000,0,0,0,0.52725,0.5272777777777777,0.4220519088431319,0.7220555555555556,1.0,0.0,0.999995847998962,0.9999013307253326,-0.1386560071640017,0.0001004162250441,0.8048078907601152
halueval_qwen1.5b,1000,28,128.092,28000,0,0,0,0.6249642857142857,0.6249642857142857,0.453911582849029,0.7911071428571429,1.0,0.0,0.999998037998038,0.999970053970054,0.4934898014898014,6.71334735200909e-10,0.7920201961625438
triviaqa_qwen3b,2000,36,68.5655,72000,0,0,0,0.6297777777777778,0.6297777777777778,0.4767100044473824,0.7141111111111111,1.0,0.0,0.9999969932490342,0.9999564497360096,0.4130389049387483,0.0,0.8932794667010339
triviaqa_qwen1.5b,2000,28,68.781,56000,0,0,0,0.5060535714285714,0.5060535714285714,0.5203266670511193,0.7693928571428571,1.0,0.0,0.9999859569954676,0.999729462912684,0.4588981548593794,7.756414154016345e-09,0.7552541717824482
triviaqa_phi3,2000,32,46.137,64000,0,0,0,0.871296875,0.871296875,0.689544495929469,0.9018125,1.0,0.0,1.0,1.0,0.8424033296356745,0.0,0.8681748294392704
triviaqa_tinyllama,2000,22,72.0405,44000,0,0,0,0.3636363636363636,0.3636363636363636,0.5021108052878234,0.6397727272727273,1.0,0.156280517578125,0.9999443657323362,0.9914575827877824,0.7437251301327288,0.0294780835077328,0.4658896369754677
triviaqa_mistral,2000,32,58.719,64000,0,0,0,0.657515625,0.657515625,0.6389851380852954,0.751703125,1.0,0.0,0.9999996092498736,0.9999952404984604,0.9921540539618366,0.0,0.8208706804638515
triviaqa_qwen7b,2000,28,68.2775,56000,0,0,0,0.0,0.1003035714285714,0.0050787078128643,0.4480178571428571,,0.8359767622314394,0.985856709164038,0.4889099222790422,-0.2644569340001608,0.5753175907181041,-0.3254623987589555
