N,draws,mean_P1,std_P1,morse_lower_bound,trivial_upper_bound,bound_holds
16,20,1.9059635823592544,0.441682649851862,0.7911283494238815,60.0,True
24,20,4.186000140011311,0.6940664508434882,2.22762838304513,138.0,True
32,20,5.830042837187648,0.7244746392110007,3.9202857638615853,248.0,True
48,20,10.191883698152377,1.2545538847403166,7.731898210842184,564.0,True
64,20,15.52193602884654,1.4546949709181822,11.887070046095884,1008.0,True
96,20,25.201142185693605,1.619578473987866,20.78978220047608,2280.0,True
128,20,36.16897636338835,1.8673830886289016,30.176054382378123,4064.0,True
160,8,46.42504263110459,0.9337837656510247,39.87166870868219,6360.0,True
200,8,60.42340410515317,1.347577263482228,52.293818104477594,9950.0,True
256,8,79.30063598282868,2.241272182965752,70.08433184070809,16320.0,True
